Gene_names,RFWD2_vs_BirA_logFC,RFWD2_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_RFWD2_N1,Peptides_RFWD2_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_RFWD2_N1,Razor___unique_peptides_RFWD2_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_RFWD2_N1,Unique_peptides_RFWD2_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_RFWD2_N1,Identification_type_RFWD2_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_RFWD2_N1,Ratio_H_L_RFWD2_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_RFWD2_N1,Ratio_H_L_normalized_RFWD2_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____RFWD2_N1,Ratio_H_L_variability_____RFWD2_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_RFWD2_N1,Ratio_H_L_count_RFWD2_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_RFWD2_N1,Ratio_H_L_iso_count_RFWD2_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_RFWD2_N1,Ratio_H_L_type_RFWD2_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_RFWD2_N1____,Sequence_coverage_RFWD2_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_RFWD2_N1,Intensity_L_RFWD2_N1,Intensity_H_RFWD2_N1,Intensity_RFWD2_N2,Intensity_L_RFWD2_N2,Intensity_H_RFWD2_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_RFWD2_N1,metacell_Intensity_L_RFWD2_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
CDK1;CDC2,-0.27188161399668,0.718554709751612,P06493;A0A024QZP7;E5RIU6;A0A087WZZ9;Q00526;K7ELV5,P06493;A0A024QZP7;E5RIU6;A0A087WZZ9,13;13;8;8;2;2,13;13;8;8;2;2,11;11;6;6;0;0,Cyclin-dependent kinase 1,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|E5RIU6|E5RIU6_HUMAN Cyclin-depend",6,13,13,11,11,11,7,6,11,11,7,6,9,9,5,4,47.8,47.8,45.1,34.095,297,297;297;189;224;305;164,0.0,22.266,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.65552,1.9636,19.65,41,10,Leave out requantified,0.64048,0.73456,0.55842,0.69138,2.3004,2.0284,1.4375,1.8416,24.043,11.96,34.748,150.25,12,12,8,9,1,1,4,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,38.7,38.7,24.2,20.5,3131200000,1922700000,1208500000,592900000,339920000,252980000,707270000,409400000,297870000,646410000,383830000,262580000,1184600000,789590000,395040000,,,,0,599;1378;3255;7914;7915;8806;10134;13320;13321;13454;13818;17576;21947,True;True;True;True;True;True;True;True;True;True;True;True;True,612;1425;3379;8236;8237;9165;10556;13844;13845;13982;14366;14367;18225;22735,1448;1449;1450;1451;3449;3450;8130;8131;18987;18988;18989;18990;18991;18992;21250;21251;24427;24428;24429;24430;24431;24432;24433;24434;31880;31881;31882;31883;32221;32222;33056;33057;33058;33059;33060;33061;33062;41786;41787;41788;41789;41790;41791;52571,2915;2916;2917;2918;2919;2920;7017;7018;16938;39122;39123;39124;39125;39126;39127;39128;39129;39130;39131;39132;39133;43935;43936;43937;43938;50391;50392;50393;50394;50395;50396;50397;50398;50399;50400;50401;50402;50403;50404;50405;50406;50407;50408;65605;65606;65607;65608;65609;65610;65611;65612;66263;66264;66265;66266;66267;66268;67914;67915;67916;67917;67918;67919;67920;67921;67922;67923;67924;67925;85340;85341;85342;85343;85344;85345;85346;85347;85348;108579;108580;108581;108582;108583,2915;7017;16938;39123;39133;43938;50400;65609;65612;66268;67915;85344;108580,,,,,-1;-1;-1;-1;-1;-1,protein_1,quanti,quanti,quanti,quanti
HDLBP,1.23056474072772,0.061769821649777,Q00341;A0A024R4E5;H0Y394;H7C0A4;C9JIZ1;C9JHS7;C9J5E5;C9JZI8;C9JES8;C9JHZ8;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;H7BZC3;H7C2D1;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;H0Y394,11;11;6;5;5;4;4;4;4;4;3;3;2;2;2;2;2;2;2;1;1,11;11;6;5;5;4;4;4;4;4;3;3;2;2;2;2;2;2;2;1;1,11;11;6;5;5;4;4;4;4;4;3;3;2;2;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|H0Y394|H0Y394_HUMAN Vigilin (Fragment) O",21,11,11,11,3,3,6,8,3,3,6,8,3,3,6,8,10.0,10.0,10.0,141.45,1268,1268;1268;973;332;224;126;221;164;147;141;128;96;81;79;69;267;308;53;46;19;17,0.0,22.095,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.7825,1.8808,28.387,20,3,Leave out requantified,0.70857,0.98858,0.8107,0.67048,2.2744,2.6272,1.9606,1.5788,35.092,20.988,15.274,16.051,3,3,6,8,0,1,0,2,Leave out requantified,Median,Leave out requantified,Leave out requantified,2.8,2.8,5.8,6.7,854080000,474180000,379900000,82838000,47807000,35031000,89520000,43745000,45775000,329090000,184830000,144260000,352640000,197800000,154830000,,,,2,609;2008;2192;3197;4000;7689;10944;12944;16751;16836;17892,True;True;True;True;True;True;True;True;True;True;True,623;2089;2277;3320;4148;8006;11394;13451;17375;17465;18547,1477;5096;5537;8032;9791;18498;18499;26389;30985;30986;30987;39685;39935;39936;39937;39938;42551;42552;42553;42554,2990;2991;2992;2993;10701;10702;10703;10704;11625;11626;11627;16757;16758;16759;20369;38178;38179;54476;54477;63569;63570;63571;81024;81549;81550;86798;86799;86800;86801;86802;86803;86804;86805,2993;10703;11627;16757;20369;38178;54477;63571;81024;81549;86801,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
PSMA2,-2.24572760548319,0.0630973496597843,P25787;A0A024RA52;H3BT36;C9JCK5;H7C402,P25787;A0A024RA52,8;8;3;3;1,8;8;3;3;1,8;8;3;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,8,8,8,8,8,4,1,8,8,4,1,8,8,4,1,41.5,41.5,41.5,25.898,234,234;234;48;164;36,0.0,18.326,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31481,0.95033,12.793,20,3,Leave out requantified,0.2832,0.35815,0.30737,0.33825,0.91895,0.99766,0.85131,0.89878,20.977,11.69,9.2206,,8,8,3,1,1,0,1,1,Leave out requantified,Leave out requantified,Median,Median,41.5,41.5,30.3,6.0,1727700000,1296300000,431440000,483000000,371200000,111810000,617120000,451360000,165760000,548030000,417030000,131000000,79574000,56703000,22871000,,,,3,532;2011;7099;7239;9689;12817;13059;17000,True;True;True;True;True;True;True;True,544;2092;7371;7521;10087;13322;13573;17636,1289;1290;5101;5102;17015;17016;17017;17018;17379;17380;17381;23330;23331;23332;30692;30693;31271;31272;31273;40356;40357,2608;2609;10709;35112;35113;35114;35115;35116;35117;35118;35119;35120;35121;35122;35884;35885;35886;35887;35888;35889;35890;48345;48346;62992;64229;64230;64231;64232;64233;64234;64235;64236;82456;82457;82458;82459;82460,2608;10709;35113;35884;48345;62992;64229;82460,,,,,-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
BAG6;BAT3,2.25232058379381,0.0195492535188985,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6UR09;F6U1F2;F6XTU0;A0A0G2JJR8;A0A1B0GX79;F6WML8;F6VEM6;F6X9W3;F6U341,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6UR09;F6U1F2;F6XTU0;A0A0G2JJR8;A0A1B0GX79;F6WML8;F6VEM6;F6X9W3;F6U341,4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2,4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2,4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,16,4,4,4,1,2,3,2,1,2,3,2,1,2,3,2,3.5,3.5,3.5,119.41,1132,1132;515;742;742;1077;1126;1132;197;206;215;232;243;244;258;259;262,0.0,12.607,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.63495,1.4006,62.343,9,0,Leave out requantified,0.46795,0.62493,0.72587,0.20846,1.1676,1.3341,1.9338,0.57466,,9.0673,23.724,90.886,1,2,3,3,0,0,0,0,Median,Median,Leave out requantified,Median,1.1,2.0,2.8,2.4,436960000,292820000,144140000,16787000,10550000,6236800,38951000,21741000,17210000,182930000,109310000,73627000,198290000,151220000,47069000,,,,4,11212;11590;13003;13004,True;True;True;True,11670;12058;13514;13515,26997;26998;26999;27944;27945;27946;31139;31140;31141,55671;55672;55673;55674;55675;55676;57618;57619;57620;57621;57622;57623;57624;57625;63913;63914;63915;63916;63917;63918;63919;63920;63921;63922;63923;63924,55672;57622;63913;63923,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_5,quanti,quanti,quanti,quanti
ENAH,21.1370813365253,2.87858475013528e-05,Q8N8S7;A0A075B6E5;A0A0U1RRM6;A0A0U1RQP7,Q8N8S7;A0A075B6E5;A0A0U1RRM6;A0A0U1RQP7,3;3;3;2,3;3;3;2,3;3;3;2,Protein enabled homolog,sp|Q8N8S7|ENAH_HUMAN Protein enabled homolog OS=Homo sapiens OX=9606 GN=ENAH PE=1 SV=2;tr|A0A075B6E5|A0A075B6E5_HUMAN Protein enabled homolog (Fragment) OS=Homo sapiens OX=9606 GN=ENAH PE=1 SV=2;tr|A0A0U1RRM6|A0A0U1RRM6_HUMAN Protein enabled homolog OS=Hom,4,3,3,3,0,0,2,3,0,0,2,3,0,0,2,3,6.6,6.6,6.6,66.509,591,591;213;802;242,0.0,4.5957,,,By MS/MS,By MS/MS,0.42712,1.1039,57.727,5,2,Median,,,0.4519,0.42712,,,0.93367,1.1039,,,53.182,64.199,0,0,2,3,0,0,1,1,Median,Median,Median,Median,0.0,0.0,4.6,6.6,333190000,182200000,150990000,0,0,0,0,0,0,64437000,41183000,23254000,268750000,141020000,127730000,,,,5,9648;22063;22680,True;True;True,10045;22853;23477,23229;23230;52809;54174;54175,48127;48128;109058;111696;111697;111698,48127;109058;111696,,,,,-1;-1;-1;-1,protein_6,quanti,quanti,imputed MEC,imputed MEC
TAF15,0.724134515367659,0.260154077401329,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,4;4;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,3,4,2,2,1,1,2,3,1,1,2,1,1,1,2,1,8.3,5.9,5.9,61.829,592,592;449;214,0.0,5.1521,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43932,1.2273,5.7991,9,2,Leave out requantified,0.31464,0.44007,0.42325,0.3981,1.1343,1.3016,1.1561,1.0855,,2.5173,11.48,6.5072,1,2,4,2,0,0,2,0,Median,Median,Median,Median,2.9,2.9,5.9,6.9,1513500000,1076500000,437020000,115510000,87691000,27820000,244970000,161260000,83710000,889840000,634420000,255410000,263170000,193100000,70071000,,,,11,130;131;5672;16786,False;True;False;True,131;132;5870;17414,305;306;307;308;309;310;13560;39803;39804;39805;39806,608;609;610;611;612;613;614;615;616;617;618;619;620;28003;28004;81326;81327;81328;81329;81330;81331;81332,610;616;28003;81329,,,,,-1;-1;-1,protein_12,quanti,quanti,quanti,quanti
TXNRD1,-1.94784227843372,0.23235584020554,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",21,16,16,16,10,16,10,2,10,16,10,2,10,16,10,2,34.2,34.2,34.2,70.905,649,649;648;568;548;482;498;460;175;103;139;70;72;53;501;523;44;494;524;338;306;463,0.0,67.497,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.30366,0.84199,20.177,46,13,Leave out requantified,0.20536,0.31134,0.33785,0.53862,0.72991,0.87662,0.93248,1.3769,22.836,18.504,13.81,50.268,12,18,14,2,3,7,3,0,Leave out requantified,Leave out requantified,Leave out requantified,Median,17.4,34.2,24.0,3.9,4362600000,3284000000,1078600000,894700000,733610000,161090000,1149300000,831230000,318120000,2206900000,1639800000,567050000,111660000,79320000,32339000,,,,13,3885;4891;5717;7955;9755;10024;10049;13675;15446;15447;21030;21579;21617;21761;21913;22518,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4032;5062;5917;8280;10158;10440;10466;14215;16038;16039;21790;22352;22396;22546;22700;23312,9555;9556;11779;11780;11781;11782;11783;11784;13659;19103;19104;23503;23504;23505;24125;24197;24198;24199;24200;24201;24202;32739;32740;36875;36876;36877;36878;36879;50381;50382;50383;50384;51653;51796;51797;51798;51799;52152;52153;52154;52495;52496;52497;52498;53819;53820,19939;19940;19941;24241;24242;24243;24244;24245;24246;24247;28198;39399;39400;48669;48670;48671;48672;48673;48674;49782;49914;49915;49916;49917;49918;49919;49920;49921;49922;49923;49924;49925;67340;67341;67342;75723;75724;75725;75726;75727;75728;75729;75730;75731;75732;75733;103938;103939;103940;103941;103942;103943;103944;103945;106660;107028;107029;107030;107031;107032;107033;107034;107035;107036;107037;107770;107771;107772;107773;107774;107775;107776;108437;108438;108439;108440;108441;108442;108443;108444;108445;108446;108447;108448;108449;110974;110975;110976,19941;24244;28198;39399;48673;49782;49922;67342;75726;75733;103944;106660;107036;107770;108448;110976,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_14,quanti,quanti,quanti,quanti
HMOX2,1.66558581618782,0.0467016290858006,P30519;I3L159;I3L1F5;A0A087WT44;I3L276;I3L4P8;A0A1B0GXH0;I3L463;I3L1Y2,P30519;I3L159;I3L1F5;A0A087WT44,5;5;5;5;2;2;2;2;1,5;5;5;5;2;2;2;2;1,5;5;5;5;2;2;2;2;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,9,5,5,5,1,3,3,3,1,3,3,3,1,3,3,3,21.8,21.8,21.8,36.032,316,316;229;238;370;110;130;131;132;110,0.0,8.6573,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45114,1.1001,19.585,11,3,Leave out requantified,0.5018,0.45056,0.45027,0.4717,1.563,0.94976,1.1021,1.1001,,18.691,27.766,18.759,1,3,4,3,0,1,2,0,Median,Median,Median,Leave out requantified,6.0,13.0,14.9,9.8,772060000,521630000,250430000,29652000,21118000,8533300,95160000,65726000,29434000,402600000,271360000,131240000,244650000,163430000,81222000,,,,16,8054;10358;13285;13920;22630,True;True;True;True;True,8380;10791;13806;14472;23427,19341;19342;19343;19344;25041;31800;33287;33288;33289;54072;54073,39883;39884;39885;39886;39887;39888;39889;39890;39891;39892;39893;39894;51621;51622;65437;65438;68341;68342;68343;68344;68345;68346;111512;111513;111514,39892;51621;65437;68345;111514,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_17,quanti,quanti,quanti,quanti
CUL3,-4.22317497863176,0.00571094209702178,Q13618;A0A087WTG3,Q13618;A0A087WTG3,3;3,3;3,3;3,Cullin-3,sp|Q13618|CUL3_HUMAN Cullin-3 OS=Homo sapiens OX=9606 GN=CUL3 PE=1 SV=2;tr|A0A087WTG3|A0A087WTG3_HUMAN Cullin-3 OS=Homo sapiens OX=9606 GN=CUL3 PE=1 SV=1,2,3,3,3,1,1,2,1,1,1,2,1,1,1,2,1,10.4,10.4,10.4,88.929,768,768;342,0.0,2.749,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.18902,0.61867,44.51,5,0,Median,0.16493,0.18902,0.69331,0.71468,0.61867,0.57815,1.2091,1.4414,,0.0,,,1,2,1,1,0,0,0,0,Median,Median,Median,Median,4.0,4.0,6.4,1.7,826930000,687850000,139080000,177110000,146380000,30727000,569450000,478550000,90901000,57924000,50220000,7704400,22442000,12695000,9747500,,,,20,1543;5443;7244,True;True;True,1598;5628;7526,3862;3863;13013;13014;13015;17387,7866;7867;7868;7869;7870;26811;35905,7867;26811;35905,,,,,-1;-1,protein_21,quanti,quanti,quanti,quanti
NDUFS7,1.51822359281756,0.0136997111737246,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,5;5;5;5;5,5;5;5;5;5,5;5;5;5;5,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial","sp|O75251|NDUS7_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS7 PE=1 SV=3;tr|F5H5N1|F5H5N1_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=ND",5,5,5,5,1,1,3,2,1,1,3,2,1,1,3,2,35.2,35.2,35.2,23.563,213,213;182;214;214;236,0.0,4.7017,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.64159,1.3498,31.747,7,0,Leave out requantified,0.57883,0.59369,0.98977,0.59649,1.3537,1.2412,1.8989,1.3158,,,37.04,3.6146,1,1,3,2,0,0,0,0,Median,Median,Leave out requantified,Median,5.2,5.2,25.8,11.7,188290000,111360000,76923000,14775000,8271000,6504300,17203000,9797200,7405800,98222000,54731000,43492000,58086000,38565000,19521000,,,,21,2363;10450;15792;16301;22181,True;True;True;True;True,2454;10887;16391;16910;22971,5975;5976;25314;37610;38674;53061;53062,12465;12466;52264;77097;77098;79110;109514;109515;109516;109517,12466;52264;77098;79110;109516,,0,,103,-1;-1;-1;-1;-1,protein_22,quanti,quanti,quanti,quanti
