Gene_names,DCAF17_vs_zBirA_logFC,DCAF17_vs_zBirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DCAF17_N1,Peptides_DCAF17_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DCAF17_N1,Razor___unique_peptides_DCAF17_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DCAF17_N1,Unique_peptides_DCAF17_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DCAF17_N1,Identification_type_DCAF17_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DCAF17_N1,Ratio_H_L_DCAF17_N2,X,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DCAF17_N1,Ratio_H_L_normalized_DCAF17_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DCAF17_N1,Ratio_H_L_variability_____DCAF17_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DCAF17_N1,Ratio_H_L_count_DCAF17_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DCAF17_N1,Ratio_H_L_iso_count_DCAF17_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DCAF17_N1,Ratio_H_L_type_DCAF17_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DCAF17_N1____,Sequence_coverage_DCAF17_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DCAF17_N1,Intensity_L_DCAF17_N1,Intensity_H_DCAF17_N1,Intensity_DCAF17_N2,Intensity_L_DCAF17_N2,Intensity_H_DCAF17_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF17_N1,metacell_Intensity_L_DCAF17_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
CDK1;CDC2,-1.25659466346021,0.00673410457485172,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6;Q00526;K7ELV5;E7ESI2;G3V317,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6,14;14;8;7;2;2;2;1,14;14;8;7;2;2;2;1,12;12;6;5;0;0;0;0,Cyclin-dependent kinase 1,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|A0A087WZZ9|A0A087WZZ9_HUMAN Cycli",8,14,14,12,11,11,6,7,11,11,6,7,9,9,5,5,51.5,51.5,48.8,34.095,297,297;297;224;189;305;164;238;39,0.0,18.307,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.64711,1.984,18.374,38,5,Leave out requantified,0.64048,0.73456,0.60676,0.61181,,2.3004,2.0284,1.9337,1.622,24.043,11.96,28.245,42.588,12,12,6,8,1,1,1,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,38.7,38.7,29.3,30.0,2532200000,1497400000,1034800000,592900000,339920000,252980000,707270000,409400000,297870000,557320000,341110000,216210000,674740000,406990000,267740000,,,,0,577;1275;7386;7387;8187;9095;9330;12101;12102;12243;12563;13333;16035;19901,True;True;True;True;True;True;True;True;True;True;True;True;True;True,603;1359;7964;7965;8826;9801;10072;13012;13013;13161;13501;14309;17142;21268,1616;1617;3748;3749;3750;3751;21229;21230;21231;21232;21233;23681;23682;26303;26304;27064;27065;27066;27067;27068;27069;27070;34946;34947;34948;34949;34950;35363;35364;36216;36217;36218;38351;45866;45867;45868;45869;45870;57219;57220,2929;2930;6896;6897;6898;6899;6900;39447;39448;39449;39450;39451;39452;39453;39454;39455;39456;39457;44054;44055;44056;44057;48879;48880;48881;50178;50179;50180;50181;50182;50183;50184;50185;50186;50187;50188;50189;50190;50191;50192;50193;64478;64479;64480;64481;64482;64483;64484;64485;64486;64487;65201;65202;65203;65204;65205;65206;66756;66757;66758;66759;66760;66761;70694;70695;84242;84243;84244;84245;84246;84247;84248;84249;106274,2929;6897;39448;39457;44057;48879;50187;64482;64487;65206;66757;70694;84246;106274,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_1,quanti,quanti,quanti,quanti
HDLBP,0.840253003503364,0.101669599813905,Q00341;A0A024R4E5;H0Y394;C9JHZ8;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;H7C2D1;C9JHS9,Q00341;A0A024R4E5;H0Y394,7;7;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1,7;7;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1,7;7;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|H0Y394|H0Y394_HUMAN Vigilin (Fragment) O",20,7,7,7,3,4,5,4,3,4,5,4,3,4,5,4,9.0,9.0,9.0,141.45,1268,1268;1268;973;141;332;224;221;164;147;128;126;96;81;79;69;53;46;19;308;17,0.0,8.5017,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.76974,1.7892,49.766,18,5,Leave out requantified,0.70857,0.98858,0.65032,0.6499,,2.2744,2.547,1.9814,1.6346,35.092,19.513,54.566,28.283,3,4,6,5,0,1,2,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,2.8,4.0,6.4,5.0,894420000,536370000,358050000,82838000,47807000,35031000,103830000,48663000,55162000,453460000,296820000,156640000,254300000,143080000,111220000,,,,2,585;1989;8393;11773;15373;16319;18585,True;True;True;True;True;True;True,612;2133;9046;12662;16439;17437;19845,1639;1640;5975;5976;24301;34003;34004;34005;34006;34007;34008;43918;43919;46636;46637;46638;46639;53280,2977;2978;2979;2980;11227;11228;45188;62616;62617;62618;62619;62620;62621;62622;80519;85553;85554;85555;85556;85557;85558;85559;85560;85561;85562;98671,2978;11228;45188;62617;80519;85556;98671,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
PSMA2,-1.34664093639677,0.128246732641427,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,9;9;4;3;1,9;9;4;3;1,9;9;4;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,9,9,9,8,8,5,6,8,8,5,6,8,8,5,6,49.6,49.6,49.6,25.898,234,234;234;164;48;36,0.0,18.66,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32007,0.90708,14.364,29,3,Leave out requantified,0.2832,0.35815,0.23887,0.33446,,0.91895,0.99766,0.74075,0.89537,20.977,11.69,9.4399,5.0656,8,8,5,8,1,0,1,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,41.5,41.5,35.0,44.4,2367000000,1751800000,615230000,483000000,371200000,111810000,617120000,451360000,165760000,256810000,203180000,53634000,1010100000,726090000,284030000,,,,3,503;1833;6620;6763;8945;11658;11874;15526;20524,True;True;True;True;True;True;True;True;True,529;1968;7126;7288;9637;12545;12773;16603;21918,1409;1410;5512;5513;18926;18927;18928;18929;19394;19395;19396;19397;19398;19399;25866;25867;25868;33680;33681;33682;33683;34299;34300;34301;34302;44356;44357;58920;58921;58922,2541;2542;10357;35036;35037;35038;35039;35040;35041;35042;35043;35044;35045;35046;35047;35048;35959;35960;35961;35962;35963;35964;35965;35966;35967;35968;35969;35970;48190;48191;62087;63228;63229;63230;63231;63232;63233;63234;63235;63236;63237;81406;81407;81408;81409;81410;109210;109211;109212,2541;10357;35037;35966;48190;62087;63228;81410;109212,,,,,-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
BAG6;BAT3,0.186808882798321,0.734643315356194,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,7,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,2.0,2.0,2.0,119.41,1132,1132;515;742;742;1077;1126;1132,0.0,9.5898,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.61969,1.5633,27.317,7,2,Leave out requantified,0.46795,0.62493,0.86001,0.74796,,1.1676,1.3341,2.1738,1.8964,,9.0673,10.489,,1,2,3,1,0,0,2,0,Median,Median,Median,Median,1.1,2.0,2.0,0.9,231760000,122000000,109760000,16787000,10550000,6236800,38951000,21741000,17210000,127900000,62730000,65172000,48124000,26979000,21146000,,,,4,10275;10612,True;True,11075;11438,29854;29855;29856;30879;30880;30881;30882,55338;55339;55340;55341;57163;57164;57165;57166;57167;57168;57169,55339;57167,,,,,-1;-1;-1;-1;-1;-1;-1,protein_5,quanti,quanti,quanti,quanti
TAF15,0.583400864916253,0.210804656979053,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,4;4;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,3,4,2,2,1,1,4,3,1,1,2,2,1,1,2,2,8.3,5.9,5.9,61.829,592,592;449;214,0.0,40.18,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35782,1.1396,4.745,10,1,Leave out requantified,0.31464,0.44007,0.33052,0.37808,,1.1343,1.3016,1.1733,0.98832,,2.5173,3.2094,4.6565,1,2,4,3,0,0,1,0,Median,Median,Median,Median,2.9,2.9,8.3,8.3,1570800000,1136100000,434760000,115510000,87691000,27820000,244970000,161260000,83710000,767660000,569840000,197820000,442710000,317300000,125410000,,,,7,114;115;5378;15322,False;True;False;True,115;116;5748;16387,296;297;298;299;300;301;302;15135;15136;43767;43768;43769;43770,533;534;535;536;537;538;539;540;541;542;543;544;545;546;547;548;28084;28085;28086;80291;80292;80293;80294;80295;80296,533;544;28085;80296,,,,,-1;-1;-1,protein_8,quanti,quanti,quanti,quanti
TXNRD1,-0.361480344318842,0.455856106845171,Q16881;E9PIR7;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PRI8;E9PQI3;A0A182DWF2;D3YTF8;A0A182DWF3;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;E9PIR7;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E2QRB9,21;21;21;21;21;21;18;10;5;5;4;4;3;3;1;1;1;1;1;1;1,21;21;21;21;21;21;18;10;5;5;4;4;3;3;1;1;1;1;1;1;1,21;21;21;21;21;21;18;10;5;5;4;4;3;3;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|E9PIR7|E9PIR7_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reduct",21,21,21,21,11,17,13,15,11,17,13,15,11,17,13,15,42.7,42.7,42.7,70.905,649,649;482;648;568;548;498;460;175;103;139;70;72;44;53;494;501;523;524;338;306;463,0.0,78.693,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.24855,0.72903,23.822,65,17,Leave out requantified,0.20601,0.31156,0.25027,0.25054,,0.74826,0.91268,0.8033,0.65811,22.121,17.938,30.673,15.389,13,19,15,18,3,7,3,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.3,38.4,27.4,33.6,6101300000,4729100000,1372200000,917210000,749820000,167400000,1170000000,845750000,324250000,1375800000,1050300000,325550000,2638300000,2083300000,555000000,,,,8,3644;4419;4420;4670;5427;7429;7430;8895;9014;9227;9252;12437;14098;14099;16620;19126;19561;19602;19731;19868;20416,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3900;4722;4723;4984;5804;8013;8014;9586;9715;9954;9982;13366;15106;15107;17751;20446;20899;20952;21092;21233;21805,10537;10538;12512;12513;12514;12515;13170;13171;13172;13173;13174;13175;15278;21356;21357;21358;21359;25716;25717;26078;26079;26080;26081;26082;26739;26817;26818;26819;26820;26821;26822;26823;26824;35881;35882;40460;40461;40462;40463;40464;40465;47517;54977;54978;54979;54980;54981;56181;56182;56183;56184;56353;56354;56355;56736;56737;56738;56739;57116;57117;57118;57119;58618;58619;58620,19696;19697;19698;23211;23212;23213;24384;24385;24386;24387;24388;24389;24390;24391;24392;24393;24394;24395;28352;39724;39725;39726;47917;48552;48553;48554;48555;48556;48557;48558;48559;48560;49588;49706;49707;49708;49709;49710;49711;49712;49713;49714;49715;49716;49717;49718;49719;49720;49721;66166;66167;66168;74618;74619;74620;74621;74622;74623;74624;74625;74626;74627;74628;74629;74630;74631;74632;74633;74634;74635;87208;102061;102062;102063;102064;102065;102066;102067;102068;104377;104378;104379;104380;104381;104382;104705;104706;104707;104708;104709;104710;104711;104712;105430;105431;105432;105433;105434;105435;105436;105437;105438;105439;105440;106092;106093;106094;106095;106096;106097;106098;106099;106100;106101;106102;106103;106104;106105;108632;108633;108634;108635,19698;23212;23213;24388;28352;39724;39725;47917;48553;49588;49717;66168;74623;74635;87208;102067;104382;104712;105438;106094;108633,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_9,quanti,quanti,quanti,quanti
HMOX2,1.5501451915616,0.0747580543236817,P30519;I3L159;I3L1F5;A0A087WT44;I3L4P8;A0A1B0GXH0;I3L463;I3L276;I3L1Y2,P30519;I3L159;I3L1F5;A0A087WT44,5;5;5;5;2;2;2;1;1,5;5;5;5;2;2;2;1;1,5;5;5;5;2;2;2;1;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,9,5,5,5,1,4,4,4,1,4,4,4,1,4,4,4,23.1,23.1,23.1,36.032,316,316;229;238;370;130;131;132;110;110,0.0,9.1678,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47549,1.2034,26.445,14,4,Leave out requantified,0.5018,0.45056,0.28974,0.59806,,1.563,1.0139,0.94343,1.4836,,14.057,124.11,7.5399,1,4,5,4,0,1,3,0,Median,Leave out requantified,Median,Leave out requantified,6.0,20.3,15.8,15.8,1326300000,702650000,623670000,29652000,21118000,8533300,119410000,82523000,36883000,812210000,367240000,444970000,365060000,231770000,133280000,,,,10,3360;7511;12073;12654;20512,True;True;True;True;True,3594;8097;12979;13593;21906,9783;21610;21611;21612;21613;21614;34859;34860;36450;36451;36452;58875;58876;58877,18291;40212;40213;40214;40215;40216;40217;40218;40219;40220;40221;40222;40223;40224;40225;40226;40227;40228;40229;40230;40231;64299;64300;64301;67142;67143;67144;67145;67146;109136;109137;109138,18291;40220;64300;67146;109136,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
EIF2B4,-0.0519722350155014,0.910111203735589,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69,4;4;4;2;2;1,4;4;4;2;2;1,4;4;4;2;2;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,4,4,4,2,1,2,3,2,1,2,3,2,1,2,3,11.7,11.7,11.7,57.557,523,523;520;544;194;228;235,0.0,7.6949,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45923,1.1435,4.3804,8,2,Leave out requantified,1.1583,0.43715,0.45984,0.47276,,3.831,1.107,1.1336,1.1608,166.4,,27.08,10.698,2,1,2,3,1,0,1,0,Median,Median,Median,Leave out requantified,4.4,2.1,6.1,7.6,307810000,192030000,115780000,75850000,34652000,41198000,32800000,23465000,9334600,75493000,53758000,21735000,123670000,80152000,43516000,,,,11,14369;14647;18486;19385,True;True;True;True,15388;15680;19737;20715,41182;41897;52969;52970;52971;52972;55707;55708,75840;77053;98116;98117;98118;98119;98120;98121;98122;98123;103462;103463,75840;77053;98116;103463,,,,,-1;-1;-1;-1;-1;-1,protein_12,quanti,quanti,quanti,quanti
NDUFS7,0.89091961685536,0.17314096908204,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial","sp|O75251|NDUS7_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS7 PE=1 SV=3;tr|F5H5N1|F5H5N1_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=ND",5,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,11.7,11.7,11.7,23.563,213,213;182;214;214;236,0.0,9.1714,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.7836,1.9336,25.35,6,0,Leave out requantified,0.57883,0.59369,0.7591,1.0043,,1.3537,1.2412,2.3314,2.1145,,,1.3348,12.928,1,1,2,2,0,0,0,0,Median,Median,Median,Median,5.2,5.2,11.7,11.7,204900000,109420000,95475000,14775000,8271000,6504300,17203000,9797200,7405800,116920000,68025000,48899000,55993000,23328000,32665000,,,,14,14433;20110,True;True,15452;21486,41334;41335;57775;57776;57777;57778,76078;76079;76080;107221;107222,76079;107222,,,,,-1;-1;-1;-1;-1,protein_15,quanti,quanti,quanti,quanti
KHSRP,-0.109959787813157,0.668759524999836,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,20;20;12;8;5;2,18;18;10;6;4;2,18;18;10;6;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,20,18,18,12,13,14,14,10,12,14,14,10,12,14,14,39.9,37.4,37.4,73.114,711,711;711;279;169;116;269,0.0,78.955,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47715,1.4581,24.226,51,6,Leave out requantified,0.39889,0.4807,0.43351,0.58199,,1.412,1.338,1.6148,1.5879,14.577,13.055,29.129,18.339,10,12,14,15,1,1,1,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,31.6,27.1,7049300000,4660700000,2388600000,976380000,671810000,304580000,1158500000,772440000,386020000,2693400000,1829100000,864230000,2221100000,1387300000,833810000,,,,16,769;770;1000;2655;3107;5551;5552;5561;6933;7047;7395;7399;7568;7604;8948;12457;12639;16563;17617;19257,False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,810;811;1061;2839;3326;5947;5948;5959;7481;7611;7975;7979;8156;8193;9640;13386;13577;17692;18807;20585,2174;2175;2176;2177;2178;2888;2889;2890;2891;7895;7896;7897;9130;9131;15721;15722;15723;15757;19966;19967;19968;19969;20316;21258;21259;21260;21261;21269;21270;21271;21272;21273;21773;21774;21875;21876;21877;25873;35925;35926;35927;35928;36417;36418;36419;36420;47341;47342;47343;47344;50373;50374;50375;50376;55371;55372,3970;3971;3972;3973;3974;3975;3976;3977;3978;3979;3980;3981;3982;3983;3984;3985;3986;5303;5304;5305;5306;5307;5308;5309;14754;14755;14756;14757;14758;14759;14760;14761;14762;17152;17153;29197;29198;29199;29274;37159;37160;37161;37162;37163;37164;37165;37166;37167;37168;37808;39520;39521;39522;39523;39524;39525;39526;39527;39532;39533;39534;39535;39536;39537;39538;39539;39540;39541;39542;39543;39544;39545;40541;40542;40765;40766;40767;40768;40769;40770;40771;40772;48198;48199;66245;66246;66247;66248;66249;66250;66251;66252;66253;66254;66255;66256;66257;66258;67091;67092;67093;67094;67095;67096;67097;67098;67099;86879;86880;86881;86882;86883;86884;86885;86886;86887;92887;92888;92889;92890;92891;92892;92893;92894;92895;92896;102910;102911;102912;102913;102914,3971;3979;5307;14760;17153;29197;29199;29274;37166;37808;39525;39539;40542;40770;48199;66247;67098;86879;92895;102914,,,,,-1;-1;-1;-1;-1;-1,protein_17,quanti,quanti,quanti,quanti
