Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity CIAO1-N1,Intensity CIAO1-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
A0A096LP25;Q6ZSR9;A0A096LNZ0;A0A096LP60,A0A096LP25;Q6ZSR9;A0A096LNZ0,20;16;14;3,17;16;11;0,17;16;11;0,Uncharacterized protein FLJ45252,AAK1,tr|A0A096LP25|A0A096LP25_HUMAN AP2-associated protein kinase 1 (Fragment) OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1;sp|Q6ZSR9|YJ005_HUMAN Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=2 SV=2;tr|A0A096LNZ0|A0A096LNZ0_HUMAN AP2-associated prote,20,17,58.5,29.9169836103218,28.4888024936268,29.9003793368762,29.7176094389667
Q2M2I8;E9PG46,Q2M2I8;E9PG46,29;24,29;24,24;22,AP2-associated protein kinase 1,AAK1,sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3;tr|E9PG46|E9PG46_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1,29,24,37.3,29.8046127322591,29.3045424258654,30.5220620562157,30.3376672557894
P49588;H3BPK7,P49588,29;8,29;8,29;8,"Alanine--tRNA ligase, cytoplasmic",AARS,"sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2",29,29,40.2,28.534823993871,27.1506402613665,28.8554902454605,28.8204639932177
Q4L235;R4GNB1,Q4L235;R4GNB1,8;8,8;8,8;8,Acyl-CoA synthetase family member 4,AASDH,sp|Q4L235|ACSF4_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=3;tr|R4GNB1|R4GNB1_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=2,8,8,10.3,24.9757878059573,23.6779888351007,25.154952502708,26.2962635554593
Q9NRN7;E9PLW6,Q9NRN7,3;1,3;1,3;1,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT,sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2,3,3,10.7,4.29321427599828,4.26311898798562,24.8779251409578,24.397412467283
Q86UK0,Q86UK0,4,4,4,ATP-binding cassette sub-family A member 12,ABCA12,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,4,4,2.4,25.917547086375,25.2036909768913,24.1592326418786,24.4664898880543
Q86UQ4;A0A0A0MT16;F5H7B7,Q86UQ4;A0A0A0MT16;F5H7B7,2;2;1,2;2;1,2;2;1,ATP-binding cassette sub-family A member 13,ABCA13,sp|Q86UQ4|ABCAD_HUMAN ATP-binding cassette sub-family A member 13 OS=Homo sapiens OX=9606 GN=ABCA13 PE=2 SV=3;tr|A0A0A0MT16|A0A0A0MT16_HUMAN ATP-binding cassette sub-family A member 13 OS=Homo sapiens OX=9606 GN=ABCA13 PE=1 SV=1;tr|F5H7B7|F5H7B7_HUMAN ATP-,2,2,0.7,26.0760024887743,25.4319686314405,22.6663757205658,22.0625982504955
P21439;P08183;H7C0M2,P21439;P08183;H7C0M2,2;1;1,2;1;1,2;1;1,Multidrug resistance protein 3;Multidrug resistance protein 1,ABCB4;ABCB1,sp|P21439|MDR3_HUMAN Phosphatidylcholine translocator ABCB4 OS=Homo sapiens OX=9606 GN=ABCB4 PE=1 SV=2;sp|P08183|MDR1_HUMAN ATP-dependent translocase ABCB1 OS=Homo sapiens OX=9606 GN=ABCB1 PE=1 SV=3;tr|H7C0M2|H7C0M2_HUMAN Phosphatidylcholine translocator A,2,2,2.0,4.29321427599828,4.26311898798562,25.4010964315382,25.3548105652978
P28288;A0A3B3ITW3,P28288;A0A3B3ITW3,23;23,23;23,23;23,ATP-binding cassette sub-family D member 3,ABCD3,sp|P28288|ABCD3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1;tr|A0A3B3ITW3|A0A3B3ITW3_HUMAN ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=2,23,23,33.5,30.2324930603005,29.0157923213582,28.0267018211971,27.8053817676833
P61221;D6R9I9;D6RGF4;H0Y990,P61221;D6R9I9,11;10;5;4,11;10;5;4,11;10;5;4,ATP-binding cassette sub-family E member 1,ABCE1,sp|P61221|ABCE1_HUMAN ATP-binding cassette sub-family E member 1 OS=Homo sapiens OX=9606 GN=ABCE1 PE=1 SV=1;tr|D6R9I9|D6R9I9_HUMAN ATP-binding cassette sub-family E member 1 OS=Homo sapiens OX=9606 GN=ABCE1 PE=1 SV=1,11,11,26.4,27.1867860230187,26.7322096666533,4.42522191267267,4.39210376514955
Q8NE71;H0YGW7;A0A0G2JIC2;Q5STZ8,Q8NE71;H0YGW7,20;18;5;3,20;18;5;3,20;18;5;3,ATP-binding cassette sub-family F member 1,ABCF1,sp|Q8NE71|ABCF1_HUMAN ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2;tr|H0YGW7|H0YGW7_HUMAN ATP-binding cassette sub-family F member 1 (Fragment) OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=1,20,20,24.4,27.1006918508009,27.2129886380343,27.9493791539647,27.777936515309
Q9UG63;C9JHK9;C9JZV3,Q9UG63,18;8;8,18;8;8,18;8;8,ATP-binding cassette sub-family F member 2,ABCF2,sp|Q9UG63|ABCF2_HUMAN ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2,18,18,29.1,28.5145384749127,27.3058256044983,27.0952685564084,26.4249116808208
Q9NUQ8;F8WCU6,Q9NUQ8,13;1,13;1,13;1,ATP-binding cassette sub-family F member 3,ABCF3,sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2,13,13,24.4,27.207227514023,26.7845661569375,26.4675281888522,26.3658465047751
Q96IU4;B4DQI4;F8W9U3,Q96IU4;B4DQI4;F8W9U3,3;2;2,3;2;2,3;2;2,Alpha/beta hydrolase domain-containing protein 14B,ABHD14B,sp|Q96IU4|ABHEB_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|B4DQI4|B4DQI4_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|F8W9U3|F8W9U3_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1,3,3,23.3,4.29321427599828,4.26311898798562,25.9899067138378,25.4482141271051
Q8IZP0;B6VEX4;A0A0A0MRT6;H0Y6B5,Q8IZP0;B6VEX4;A0A0A0MRT6,8;8;8;1,8;8;8;1,5;5;5;0,Abl interactor 1,ABI1,sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4;tr|B6VEX4|B6VEX4_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1;tr|A0A0A0MRT6|A0A0A0MRT6_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1,8,5,21.3,27.0703011390444,25.7993415096179,26.247750523388,26.039005367772
O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,O14639;A0A3B3IS55;F8W8M4;A0A0A0MRL6;A0A494C1P1;A0A494C1G0,23;23;22;22;13;13,23;23;22;22;13;13,3;3;2;2;2;2,Actin-binding LIM protein 1,ABLIM1,sp|O14639|ABLM1_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3;tr|A0A3B3IS55|A0A3B3IS55_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=1;tr|F8W8M4|F8W8M4_HUMAN Actin-binding LIM protein 1 OS=Homo,23,3,33.3,28.1940862926263,26.2823133163853,28.2451318806885,27.9545466242509
Q13085;Q59FY4;A0A0C4DGT1;A0A087WWN5;A0A087X2F8;A0A087X126;S4R3S7;A0A087WYS8,Q13085;Q59FY4,197;102;9;6;4;4;4;1,197;102;9;6;4;4;4;1,171;94;2;6;1;1;0;1,Acetyl-CoA carboxylase 1;Biotin carboxylase,ACACA,sp|Q13085|ACACA_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2;tr|Q59FY4|Q59FY4_HUMAN Acetyl-CoA carboxylase 1 (Fragment) OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=1,197,171,77.3,36.7757103643232,35.6031096360361,33.2629054256207,33.0838217176306
O00763;F8W8T8;H0YGH5;A0A087WUA1,O00763,38;13;12;2,21;8;7;2,21;8;7;2,Acetyl-CoA carboxylase 2;Biotin carboxylase,ACACB,sp|O00763|ACACB_HUMAN Acetyl-CoA carboxylase 2 OS=Homo sapiens OX=9606 GN=ACACB PE=1 SV=3,38,21,20.7,28.6646856050537,26.8875090206137,24.5036093439039,24.7960023656898
Q9H3P7,Q9H3P7,12,12,12,Golgi resident protein GCP60,ACBD3,sp|Q9H3P7|GCP60_HUMAN Golgi resident protein GCP60 OS=Homo sapiens OX=9606 GN=ACBD3 PE=1 SV=4,12,12,32.6,26.1698968724501,26.1509888132679,26.6438892100658,26.9017319939852
S4R3H4;Q9UKV3;E7EQT4;G3V3B0;A0A087WYN3;G3V3T3,S4R3H4;Q9UKV3;E7EQT4;G3V3B0,31;30;30;16;1;1,31;30;30;16;1;1,31;30;30;16;1;1,Apoptotic chromatin condensation inducer in the nucleus,ACIN1,tr|S4R3H4|S4R3H4_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=1;sp|Q9UKV3|ACINU_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2;tr|E7EQT4|E7E,31,31,33.5,29.9600272167497,29.0575244015159,28.0513397312771,28.055224420578
P53396,P53396,6,6,6,ATP-citrate synthase,ACLY,sp|P53396|ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,6,6,6.9,24.2583216153102,23.8883686873757,25.354743320895,24.9626108126827
P21399,P21399,5,5,5,Cytoplasmic aconitate hydratase,ACO1,sp|P21399|ACOC_HUMAN Cytoplasmic aconitate hydratase OS=Homo sapiens OX=9606 GN=ACO1 PE=1 SV=3,5,5,7.5,4.29321427599828,4.26311898798562,25.2578901873642,24.5850299163451
Q86TX2;G3V4F2,Q86TX2;G3V4F2,20;17,20;17,2;1,Acyl-coenzyme A thioesterase 1,ACOT1,sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,20,2,65.6,29.9875288037765,28.8778023063799,30.6256652328299,30.463339894737
O95573;C9JC11;F5H062,O95573,12;1;1,12;1;1,9;1;1,Long-chain-fatty-acid--CoA ligase 3,ACSL3,sp|O95573|ACSL3_HUMAN Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens OX=9606 GN=ACSL3 PE=1 SV=3,12,9,19.9,28.187682883871,26.6310369157856,23.3490835722093,24.9977869505682
P12814;H9KV75;H7C5W8;G3V2N5;G3V2W4;H0YJW3;H0YJ11;P35609;A0A494C1A0;G3V2X9;G3V5M4;A0A494C033;A0A494C166;F6THM6;A0A494C060;G3V2E8;G3V380;A0A494C0Q3;A0A494C031,P12814;H9KV75,40;36;13;12;12;10;8;8;8;5;5;4;4;4;3;3;2;2;1,40;36;13;12;12;10;8;8;8;5;5;4;4;4;3;3;2;2;1,27;24;9;7;6;7;5;2;2;2;3;1;1;1;0;1;2;1;1,Alpha-actinin-1,ACTN1,sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2;tr|H9KV75|H9KV75_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=1,40,27,53.3,29.3544532934989,28.72159118059,29.3565116463114,29.1412412469208
Q08043;A0A087WSZ2;D6RH00,Q08043;A0A087WSZ2,6;4;1,2;1;1,2;1;1,Alpha-actinin-3,ACTN3,sp|Q08043|ACTN3_HUMAN Alpha-actinin-3 OS=Homo sapiens OX=9606 GN=ACTN3 PE=1 SV=2;tr|A0A087WSZ2|A0A087WSZ2_HUMAN Alpha-actinin-3 OS=Homo sapiens OX=9606 GN=ACTN3 PE=1 SV=1,6,2,7.7,23.2162530188271,20.9735123992943,24.8720465520388,24.651299626074
O43707;F5GXS2;H7C144;K7EJH8;K7EP19,O43707,31;14;11;6;1,18;10;8;4;0,17;10;8;4;0,Alpha-actinin-4,ACTN4,sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,31,17,44.2,27.6363713845466,26.3247616482947,26.8217720359998,27.2360796111341
P55265,P55265,29,29,3,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,29,3,31.6,27.4608429369333,27.5305887467158,30.2859281605847,29.8986506955819
P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2;D6RAH3;D6RF25;D6RJE2;P35612;H0YFD8,P35611;E7EV99;E7ENY0;A0A0A0MSR2;H0Y9H2,13;13;13;9;7;4;4;3;1;1,13;13;13;9;7;4;4;3;1;1,13;13;13;9;7;4;4;3;1;1,Alpha-adducin,ADD1,sp|P35611|ADDA_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2;tr|E7EV99|E7EV99_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|E7ENY0|E7ENY0_HUMAN Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1;tr|A0A0A0MSR2|A0A0A0M,13,13,23.7,25.9467940377325,25.3493509042333,28.269458025184,27.2819774132684
Q9UEY8,Q9UEY8,23,23,23,Gamma-adducin,ADD3,sp|Q9UEY8|ADDG_HUMAN Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1,23,23,33.1,28.7037181601087,27.1708329369555,28.8468803167183,28.6387551199059
Q9H2P0;A0A669KBJ7;A0A2R8Y6X0;A0A2R8YCL6,Q9H2P0;A0A669KBJ7;A0A2R8Y6X0,40;38;30;6,40;38;30;6,40;38;30;6,Activity-dependent neuroprotector homeobox protein,ADNP,sp|Q9H2P0|ADNP_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=1 SV=1;tr|A0A669KBJ7|A0A669KBJ7_HUMAN Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=4 SV=1;tr|A0A2R8Y6X0|A0A2,40,40,50.2,30.2698592629724,29.3563437275484,29.7188345051673,29.5120155889228
Q9UHB7;C9JCE0,Q9UHB7,12;2,12;2,12;2,AF4/FMR2 family member 4,AFF4,sp|Q9UHB7|AFF4_HUMAN AF4/FMR2 family member 4 OS=Homo sapiens OX=9606 GN=AFF4 PE=1 SV=1,12,12,14.4,24.3095252031343,22.7659157286756,27.17216911928,26.5519790306276
Q9Y4W6,Q9Y4W6,3,2,2,AFG3-like protein 2,AFG3L2,sp|Q9Y4W6|AFG32_HUMAN AFG3-like protein 2 OS=Homo sapiens OX=9606 GN=AFG3L2 PE=1 SV=2,3,2,3.4,24.845558961999,23.099167354356,23.8906895511704,24.1515640185276
Q6ULP2;B8ZZI9;A0A0A0MSN6;A0A0U1RR74,Q6ULP2;B8ZZI9,15;9;2;1,15;9;2;1,15;9;2;1,Aftiphilin,AFTPH,sp|Q6ULP2|AFTIN_HUMAN Aftiphilin OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=3;tr|B8ZZI9|B8ZZI9_HUMAN Aftiphilin (Fragment) OS=Homo sapiens OX=9606 GN=AFTPH PE=1 SV=2,15,15,23.6,26.4278071981832,25.6945285669477,27.9667525659425,27.0991874239822
P52594;C9J2I0;B8ZZY2,P52594;C9J2I0;B8ZZY2,6;5;5,6;5;5,6;5;5,Arf-GAP domain and FG repeat-containing protein 1,AGFG1,sp|P52594|AGFG1_HUMAN Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=2;tr|C9J2I0|C9J2I0_HUMAN Arf-GAP domain and FG repeat-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=8;tr|B8ZZY2|B8ZZ,6,6,17.4,26.2794113629623,25.4844681722645,27.4186046493561,27.0851712654646
Q86UL3;E5RIA1;E5RHA6,Q86UL3,8;3;3,6;3;3,6;3;3,Glycerol-3-phosphate acyltransferase 4,AGPAT6,sp|Q86UL3|GPAT4_HUMAN Glycerol-3-phosphate acyltransferase 4 OS=Homo sapiens OX=9606 GN=GPAT4 PE=1 SV=1,8,6,19.5,25.8167524356445,23.3255338449844,4.42522191267267,4.39210376514955
Q53EU6,Q53EU6,13,13,11,Glycerol-3-phosphate acyltransferase 3,AGPAT9,sp|Q53EU6|GPAT3_HUMAN Glycerol-3-phosphate acyltransferase 3 OS=Homo sapiens OX=9606 GN=GPAT3 PE=1 SV=2,13,11,33.6,27.967522325882,27.4027560297112,4.42522191267267,4.39210376514955
Q8WYP5;H7C4S1,Q8WYP5,58;3,58;3,58;3,Protein ELYS,AHCTF1,sp|Q8WYP5|ELYS_HUMAN Protein ELYS OS=Homo sapiens OX=9606 GN=AHCTF1 PE=1 SV=3,58,58,38.9,30.3707761242655,29.4757602677399,28.7441630566847,28.5188210328606
O43865,O43865,6,6,2,Putative adenosylhomocysteinase 2,AHCYL1,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2,6,2,12.1,24.4723398154134,24.6726579786463,26.6035695268123,26.3900490072837
