Gene_names,FBXW8_vs_BirA_logFC,FBXW8_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_FBXW8_N1,Peptides_FBXW8_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_FBXW8_N1,Razor___unique_peptides_FBXW8_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_FBXW8_N1,Unique_peptides_FBXW8_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_FBXW8_N1,Identification_type_FBXW8_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_FBXW8_N1,Ratio_H_L_FBXW8_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_FBXW8_N1,Ratio_H_L_normalized_FBXW8_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____FBXW8_N1,Ratio_H_L_variability_____FBXW8_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_FBXW8_N1,Ratio_H_L_count_FBXW8_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_FBXW8_N1,Ratio_H_L_iso_count_FBXW8_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_FBXW8_N1,Ratio_H_L_type_FBXW8_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_FBXW8_N1____,Sequence_coverage_FBXW8_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_FBXW8_N1,Intensity_L_FBXW8_N1,Intensity_H_FBXW8_N1,Intensity_FBXW8_N2,Intensity_L_FBXW8_N2,Intensity_H_FBXW8_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_FBXW8_N1,metacell_Intensity_L_FBXW8_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
SERPINB6,2.33296755475934,0.000445466498937099,P35237;A0A2R8YD12;A0A024QZX5;A0A087X1N8;A0A2R8Y6A7,P35237;A0A2R8YD12;A0A024QZX5;A0A087X1N8;A0A2R8Y6A7,2;2;2;2;1,2;2;2;2;1,2;2;2;2;1,Serpin B6,sp|P35237|SPB6_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=3;tr|A0A2R8YD12|A0A2R8YD12_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0A024QZX5|A0A024QZX5_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0,5,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,6.6,6.6,6.6,42.621,376,376;332;380;395;171,0.0,5.3475,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34628,0.70117,13.862,6,2,Leave out requantified,0.416,0.55399,0.33853,0.3542,0.94878,1.0771,0.67616,0.72711,,,20.975,6.7498,1,1,2,2,1,1,0,0,Median,Median,Median,Median,2.7,2.7,6.6,6.6,163470000,117410000,46061000,11834000,8098900,3734700,13509000,8089900,5418700,75755000,56613000,19142000,62370000,44605000,17765000,,,,0,3590;10214,True;True,4159;12022,11258;11259;32731;32732;32733;32734,22923;22924;67377;67378;67379;67380;67381,22923;67377,,,,,-1;-1;-1;-1;-1,protein_1,quanti,quanti,quanti,quanti
HDLBP,0.821472815026393,0.0226476934427944,Q00341;A0A024R4E5;H0Y394;C9JIZ1;C9JHZ8;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;H7C2D1;C9JHS9,Q00341;A0A024R4E5;H0Y394;C9JIZ1,7;7;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1,7;7;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1,7;7;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|H0Y394|H0Y394_HUMAN Vigilin (Fragment) O",20,7,7,7,3,3,5,6,3,3,5,6,3,3,5,6,8.0,8.0,8.0,141.45,1268,1268;1268;973;224;141;332;221;164;147;128;126;96;81;79;69;53;46;19;308;17,0.0,13.433,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.97595,2.0737,27.816,17,3,Leave out requantified,0.70857,0.98858,0.93162,0.93259,2.2744,2.6272,1.9253,1.9444,35.092,20.988,22.281,20.76,3,3,5,6,0,1,1,1,Leave out requantified,Median,Leave out requantified,Leave out requantified,2.8,2.8,6.4,7.3,578940000,290710000,288230000,82838000,47807000,35031000,89520000,43745000,45775000,204100000,99266000,104830000,202490000,99894000,102590000,,,,1,517;1631;1779;10174;13126;13932;15910,True;True;True;True;True;True;True,573;1892;2056;11968;15351;16251;18520,1533;1534;5306;5307;5759;5760;32562;32563;32564;41429;41430;43968;43969;43970;43971;43972;50222;50223,3044;3045;3046;3047;3048;10964;10965;10966;10967;11899;11900;66983;66984;66985;84887;90099;90100;90101;90102;90103;90104;90105;90106;90107;90108;103644,3044;10967;11900;66985;84887;90107;103644,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2,quanti,quanti,quanti,quanti
PSMA2,-0.45646638935429,0.169265633707909,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52;C9JCK5,11;11;6;3;1,11;11;6;3;1,11;11;6;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1;tr|C9JCK5|C9JCK5_HUMAN Proteasome endopeptidase complex ,5,11,11,11,7,8,7,4,7,8,7,4,7,8,7,4,50.0,50.0,50.0,25.898,234,234;234;164;48;36,0.0,21.336,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3599,1.0027,11.685,26,3,Leave out requantified,0.27664,0.35815,0.48046,0.50148,0.99254,0.99766,0.98455,1.0791,22.967,11.69,13.912,15.107,7,8,7,4,1,0,2,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,35.5,41.5,41.9,23.5,2095100000,1526800000,568300000,447970000,344540000,103430000,617120000,451360000,165760000,628760000,455740000,173030000,401240000,275150000,126080000,,,,2,451;1635;5644;5766;7744;8260;10078;10252;12580;13264;17658,True;True;True;True;True;True;True;True;True;True;True,504;1896;6610;6773;9139;9776;11866;12073;14731;15502;20594,1328;1329;5313;5314;17872;17873;18315;18316;18317;18318;24789;24790;24791;24792;26559;26560;32273;32877;32878;32879;39822;41857;41858;41859;55814;55815,2651;2652;10973;36534;36535;36536;36537;36538;36539;36540;36541;36542;37509;37510;37511;37512;37513;37514;37515;37516;37517;37518;37519;37520;37521;51385;51386;54909;54910;54911;54912;54913;66465;67712;67713;67714;67715;67716;67717;67718;81645;85856;85857;85858;85859;85860;85861;115563;115564;115565;115566,2651;10973;36535;37512;51386;54913;66465;67715;81645;85861;115563,,,,,-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
BAG6;BAT3,0.133742501810389,0.764476853462407,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,7,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,2.0,2.0,2.0,119.41,1132,1132;515;742;742;1077;1126;1132,0.0,6.7999,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.62493,1.3279,5.2726,6,0,Leave out requantified,0.46795,0.62493,0.77671,0.63178,1.1676,1.3341,1.4636,1.2793,,9.0673,8.4853,,1,2,2,1,0,0,0,0,Median,Median,Median,Median,1.1,2.0,2.0,0.9,135860000,75126000,60735000,16787000,10550000,6236800,38951000,21741000,17210000,52249000,27705000,24544000,27874000,15130000,12745000,,,,4,8934;9225,True;True,10554;10897,28770;28771;28772;29742;29743;29744,59526;59527;59528;59529;61425;61426;61427;61428;61429;61430;61431,59527;61429,,,,,-1;-1;-1;-1;-1;-1;-1,protein_5,quanti,quanti,quanti,quanti
TAF15,0.646871167680803,0.076087318760148,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9;A0A075B7F4,2;2;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7F4|A0A075B7F4_HUMAN TA,3,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,5.9,5.9,5.9,61.829,592,592;449;214,0.0,24.294,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40731,0.92473,12.079,11,1,Leave out requantified,0.31464,0.44007,0.41709,0.40506,1.1343,1.3016,0.87626,0.85698,,2.5173,9.5123,2.3356,1,2,4,4,0,0,1,0,Median,Median,Median,Leave out requantified,2.9,2.9,5.9,5.9,1033100000,707800000,325350000,115510000,87691000,27820000,244970000,161260000,83710000,346260000,229190000,117070000,326410000,229660000,96751000,,,,7,114;13077,True;True,123;15300,291;292;293;294;295;296;297;41290;41291;41292;41293,581;582;583;584;585;586;587;588;589;590;591;592;593;594;595;596;84641;84642;84643;84644,582;84644,,,,,-1;-1;-1,protein_8,quanti,quanti,quanti,quanti
TXNRD1,-1.14569470196179,0.00253833636329705,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",21,16,16,16,10,16,9,9,10,16,9,9,10,16,9,9,34.2,34.2,34.2,70.905,649,649;648;568;548;482;498;460;175;103;139;70;72;53;501;523;44;494;524;338;306;463,0.0,43.855,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44739,1.0657,29.514,50,13,Leave out requantified,0.20536,0.31134,0.63393,0.66698,0.72991,0.87662,1.3284,1.4239,22.836,18.504,15.862,15.082,12,18,10,10,3,7,2,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,17.4,34.2,21.3,21.4,3527500000,2434600000,1092900000,894700000,733610000,161090000,1149300000,831230000,318120000,751900000,438820000,313080000,731590000,430990000,300600000,,,,8,3115;3918;4567;6364;7799;8011;8038;10734;12094;12095;16377;16776;16813;16930;17050;17552,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3615;4533;5300;7493;9210;9480;9514;12615;14162;14163;19104;19559;19615;19755;19894;20467,9926;9927;12244;12245;12246;12247;12248;12249;14260;20269;20270;24998;25708;25797;25798;25799;25800;25801;25802;25803;25804;34292;34293;34294;38359;38360;38361;38362;38363;38364;51897;51898;51899;51900;53090;53091;53272;53273;53274;53275;53637;53638;53639;53640;54026;54027;54028;54029;55491;55492,20357;20358;20359;24861;24862;24863;24864;24865;24866;24867;24868;24869;24870;24871;29062;41777;41778;51768;53109;53297;53298;53299;53300;53301;53302;53303;53304;53305;53306;53307;53308;53309;53310;70523;70524;70525;70526;78842;78843;78844;78845;78846;78847;78848;78849;78850;78851;107386;107387;107388;107389;107390;107391;107392;107393;109848;109849;109850;109851;110285;110286;110287;110288;110289;110290;110291;110292;110293;110294;111038;111039;111040;111041;111042;111043;111044;111045;111046;111047;111048;111828;111829;111830;111831;111832;111833;111834;111835;111836;111837;111838;111839;111840;111841;114783;114784;114785,20359;24870;29062;41777;51768;53109;53301;70524;78843;78851;107388;109849;110288;111041;111834;114785,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_9,quanti,quanti,quanti,quanti
HMOX2,-0.837757992209305,0.262639035725908,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,8,4,4,4,1,4,1,1,1,4,1,1,1,4,1,1,20.3,20.3,20.3,36.032,316,316;229;238;370;110;130;131;132,0.0,5.4027,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48841,1.0139,31.981,7,1,Leave out requantified,0.5018,0.45056,1.0504,0.84773,1.563,1.0139,2.2563,1.8547,,14.057,,,1,4,1,1,0,1,0,0,Median,Leave out requantified,Median,Median,6.0,20.3,6.0,6.0,263030000,161250000,101770000,29652000,21118000,8533300,119410000,82523000,36883000,58582000,27590000,30992000,55388000,30022000,25365000,,,,10,2905;6442;10909;17646,True;True;True;True,3380;7584;12816;20580,9312;20527;20528;20529;20530;34777;55775,19100;42375;42376;42377;42378;42379;42380;42381;42382;42383;42384;42385;42386;42387;42388;71443;115479,19100;42384;71443;115479,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
EIF2B4,1.10220523117068,0.0422567906387564,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,4;4;4;1;1;1,4;4;4;1;1;1,4;4;4;1;1;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,4,4,4,2,1,4,3,2,1,4,3,2,1,4,3,12.6,12.6,12.6,57.557,523,523;520;544;194;228;235,0.0,8.1274,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.46906,1.091,44.952,10,3,Leave out requantified,1.1583,0.43715,0.55612,0.68413,3.831,1.107,1.0752,1.4968,166.4,,43.005,50.125,2,1,4,3,1,0,1,1,Median,Median,Leave out requantified,Median,4.4,2.1,12.6,7.6,404730000,210710000,194030000,75850000,34652000,41198000,32800000,23465000,9334600,152130000,87752000,64377000,143960000,64838000,79117000,,,,12,12445;13573;15825;16631,True;True;True;True,14576;15849;18419;19396,39401;39402;42851;49934;49935;49936;49937;52652;52653;52654,80825;80826;80827;80828;80829;80830;80831;87871;87872;103022;103023;103024;103025;103026;103027;103028;103029;108912;108913;108914,80831;87871;103029;108912,,,,,-1;-1;-1;-1;-1;-1,protein_13,quanti,quanti,quanti,quanti
KHSRP,-0.680240869720663,0.0132644719618481,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,19;19;12;9;5;2,16;16;9;6;4;2,16;16;9;6;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,19,16,16,12,13,15,12,10,12,14,12,10,12,14,12,34.5,31.9,31.9,73.114,711,711;711;279;169;116;269,0.0,75.188,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.50275,1.268,22.282,48,5,Leave out requantified,0.39889,0.4807,0.62741,0.5405,1.412,1.338,1.283,1.1405,14.577,13.055,19.86,24.559,10,12,14,12,1,1,3,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,30.5,24.9,3924600000,2553600000,1371000000,976380000,671810000,304580000,1158500000,772440000,386020000,951970000,583720000,368240000,837810000,525660000,312150000,,,,15,688;689;895;2356;4675;4676;4677;5929;6043;6334;6337;6485;6512;7746;10750;10896;14148;15066;16506,False;False;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True,775;776;1025;2740;5440;5441;5442;6993;7140;7457;7460;7630;7663;9141;12634;12801;16491;17535;19250,2072;2073;2074;2075;2076;2771;2772;2773;2774;7585;7586;14665;14666;14667;14668;18950;18951;18952;18953;19337;19338;20177;20178;20179;20180;20184;20185;20186;20187;20649;20735;20736;20737;20738;24795;24796;34333;34334;34335;34336;34748;34749;34750;34751;44625;44626;44627;44628;47462;47463;47464;47465;52293;52294,4147;4148;4149;4150;4151;4152;4153;4154;4155;4156;4157;4158;4159;4160;4161;4162;4163;5616;5617;5618;5619;5620;5621;5622;15590;15591;15592;29968;29969;29970;29971;39073;39074;39075;39076;39077;39078;39079;39080;39081;39082;39083;39084;39085;39086;39087;39088;39869;39870;39871;39872;39873;41549;41550;41551;41552;41553;41554;41555;41556;41560;41561;41562;41563;41564;41565;41566;41567;41568;41569;42631;42632;42824;42825;42826;42827;42828;42829;42830;42831;42832;51390;51391;51392;51393;70603;70604;70605;70606;70607;70608;70609;70610;70611;71406;71407;71408;71409;71410;71411;71412;91449;91450;91451;91452;91453;91454;91455;91456;91457;97589;97590;97591;97592;97593;97594;97595;97596;97597;97598;97599;108254;108255;108256;108257,4148;4156;5617;15592;29968;29970;29971;39087;39873;41551;41561;42631;42832;51393;70604;71407;91453;97589;108256,,,,,-1;-1;-1;-1;-1;-1,protein_16,quanti,quanti,quanti,quanti
PYCR2,-0.497653071120762,0.597009449470632,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12,5;5;4;2;1;1,4;4;3;1;1;1,4;4;3;1;1;1,Pyrroline-5-carboxylate reductase 2,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,6,5,4,4,3,3,4,2,2,2,3,1,2,2,3,1,20.6,16.6,16.6,33.637,320,320;246;359;319;87;157,0.0,3.6598,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.56423,1.2056,23.064,8,1,Leave out requantified,0.58045,0.4806,0.57527,0.55339,1.4289,1.2016,1.0758,1.0211,7.9277,35.738,26.06,,2,2,3,1,0,0,1,0,Median,Median,Median,Median,11.2,14.7,18.4,9.1,202020000,123800000,78222000,31401000,19066000,12335000,59603000,40066000,19536000,93950000,53869000,40081000,17070000,10800000,6269900,,,,16,4652;10707;13492;14074;16025,True;True;False;True;True,5413;12584;15765;16411;18677,14596;34217;42617;42618;42619;42620;42621;42622;42623;42624;44392;44393;44394;44395;50704;50705,29836;70389;87421;87422;87423;87424;87425;87426;87427;87428;87429;87430;87431;87432;87433;87434;87435;87436;90989;90990;90991;90992;90993;90994;90995;90996;90997;90998;90999;91000;91001;91002;91003;91004;91005;91006;104839;104840,29836;70389;87424;91000;104840,,,,,-1;-1;-1;-1;-1;-1,protein_17,quanti,quanti,quanti,quanti
