WDTC1_vs_BirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Gene_names,logFC (WDTC1_vs_zBirA),P_Value (WDTC1_vs_zBirA),isDifferential (WDTC1_vs_zBirA),Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Gene_names,Fasta_headers,Peptides,Unique_peptides,Sequence_coverage____,Sequence_length
HDLBP,-0.142896541,0.305534852132671,0,Q00341;A0A024R4E5;C9JHS7;H0Y394;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHZ8;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;H7C0A4;C9JMQ6;C9J739;H7BZC3;H7C2D1;C9JHS9,Q00341;A0A024R4E5;C9JHS7;H0Y394;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHZ8;C9JT62,6;6;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;1;1;1;1,6;6;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;1;1;1;1,6;6;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;1;1;1;1,Vigilin,HDLBP,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JHS7|C9JHS7_HUMAN Vigilin (Fragment) O",6,6,5.5,1268
PSMA2,-0.0232377402,0.797899006370998,0,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52;C9JCK5,12;12;6;3;1,12;12;6;3;1,12;12;6;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,PSMA2,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1;tr|C9JCK5|C9JCK5_HUMAN Proteasome endopeptidase complex ,12,12,64.5,234
BAG6;BAT3,0.3966882867,0.0391737225277596,0,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Large proline-rich protein BAG6,BAG6;BAT3,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,2,2,2,1132
TAF15,-0.2519663999,0.08946853780808,0,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9;A0A075B7F4,2;2;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,TAF15,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7F4|A0A075B7F4_HUMAN TA,2,2,5.9,592
TXNRD1,0.8220976065,0.00422887213569063,0,Q16881;F8W809;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8;A0A182DWF2;D3YTF8;A0A182DWF3;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;F8W809;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;E2QRB9;E9PKD3,18;18;18;18;18;18;15;10;5;5;4;4;3;2;1;1;1;1;1;1;1,18;18;18;18;18;18;15;10;5;5;4;4;3;2;1;1;1;1;1;1;1,18;18;18;18;18;18;15;10;5;5;4;4;3;2;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,"sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|F8W809|F8W809_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reduct",18,18,38.5,649
HMOX2,0.2083663539,0.340369777086535,0,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,Heme oxygenase 2,HMOX2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,4,4,20.3,316
EIF2B4,-0.9290937541,0.194384478727399,0,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,2;2;2;1;1;1,2;2;2;1;1;1,2;2;2;1;1;1,Translation initiation factor eIF-2B subunit delta,EIF2B4,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,2,2,4.4,523
KHSRP,-0.0633089241,0.481104084698769,0,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3;M0QYG1;M0R0C6,Q92945;A0A087WTP3;M0R0I5;M0QYH3,20;20;12;10;6;2;1;1,18;18;10;8;5;2;1;1,18;18;10;8;5;2;1;1,Far upstream element-binding protein 2,KHSRP,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,20,18,36.1,711
