Gene_names,KATNB1_vs_zBirA_logFC,KATNB1_vs_zBirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_KATNB1_N1,Peptides_KATNB1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_KATNB1_N1,Razor___unique_peptides_KATNB1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_KATNB1_N1,Unique_peptides_KATNB1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_KATNB1_N1,Identification_type_KATNB1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_KATNB1_N1,Ratio_H_L_KATNB1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_KATNB1_N1,Ratio_H_L_normalized_KATNB1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____KATNB1_N1,Ratio_H_L_variability_____KATNB1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_KATNB1_N1,Ratio_H_L_count_KATNB1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_KATNB1_N1,Ratio_H_L_iso_count_KATNB1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_KATNB1_N1,Ratio_H_L_type_KATNB1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_KATNB1_N1____,Sequence_coverage_KATNB1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_KATNB1_N1,Intensity_L_KATNB1_N1,Intensity_H_KATNB1_N1,Intensity_KATNB1_N2,Intensity_L_KATNB1_N2,Intensity_H_KATNB1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_KATNB1_N1,metacell_Intensity_L_KATNB1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
SERPINB6,1.35715650591202,0.102679518841701,P35237;A0A2R8YD12;A0A024QZX5;A0A087X1N8;A0A2R8Y6A7,P35237;A0A2R8YD12;A0A024QZX5;A0A087X1N8;A0A2R8Y6A7,3;3;3;3;2,3;3;3;3;2,3;3;3;3;2,Serpin B6,sp|P35237|SPB6_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=3;tr|A0A2R8YD12|A0A2R8YD12_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0A024QZX5|A0A024QZX5_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0,5,3,3,3,1,1,1,3,1,1,1,3,1,1,1,3,9.0,9.0,9.0,42.621,376,376;332;380;395;171,0.0,5.7318,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43615,0.78585,18.264,6,3,Median,0.416,0.55399,0.45727,0.39196,0.94878,1.0771,0.78989,0.68656,,,,7.8861,1,1,1,3,1,1,0,1,Median,Median,Median,Median,2.7,2.7,4.0,9.0,149260000,103510000,45750000,11834000,8098900,3734700,13509000,8089900,5418700,38774000,27001000,11773000,85146000,60323000,24823000,,,,0,4438;12370;15579,True;True;True,4742;13267;16663,12347;12348;35394;35395;35396;44160,25724;25725;74281;74282;74283;92218,25724;74281;92218,,,,,-1;-1;-1;-1;-1,protein_1,quanti,quanti,quanti,quanti
HDLBP,0.178446400509177,0.440707905004415,Q00341;A0A024R4E5;H0Y394;C9JIZ1;C9JHZ8;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;H0Y394;C9JIZ1,7;7;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,7;7;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,7;7;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|H0Y394|H0Y394_HUMAN Vigilin (Fragment) O",19,7,7,7,3,3,6,4,3,3,6,4,3,3,6,4,7.0,7.0,7.0,141.45,1268,1268;1268;973;224;141;332;221;164;147;128;126;96;81;79;69;53;46;19;17,0.0,19.041,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.1537,2.1608,22.915,15,2,Leave out requantified,0.70857,0.98858,1.2837,1.2568,2.2744,2.6272,2.223,2.1754,35.092,20.988,17.023,24.509,3,3,5,4,0,1,1,0,Leave out requantified,Median,Leave out requantified,Leave out requantified,2.8,2.8,6.3,4.3,607470000,295130000,312340000,82838000,47807000,35031000,89520000,43745000,45775000,256550000,116500000,140050000,178570000,87083000,91485000,,,,1,588;1835;1997;12317;15066;15902;16861,True;True;True;True;True;True;True,620;1972;2141;13203;16121;16999;18004,1610;1611;5435;5436;5887;35224;35225;35226;35227;42666;45019;45020;47730;47731;47732;47733,3332;3333;3334;3335;3336;11535;11536;11537;11538;12509;73876;73877;73878;73879;89139;94011;99726;99727;99728;99729;99730;99731;99732;99733;99734;99735;99736,3332;11538;12509;73877;89139;94011;99735,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2,quanti,quanti,quanti,quanti
PSMA2,-0.952750998837228,0.00690907205334377,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52;C9JCK5,11;11;6;3;1,11;11;6;3;1,11;11;6;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1;tr|C9JCK5|C9JCK5_HUMAN Proteasome endopeptidase complex ,5,11,11,11,7,8,5,6,7,8,5,6,7,8,5,6,50.0,50.0,50.0,25.898,234,234;234;164;48;36,0.0,23.455,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39231,0.99417,11.012,26,1,Leave out requantified,0.27664,0.35815,0.55758,0.51764,0.99254,0.99766,0.99773,0.92952,22.967,11.69,7.5334,9.1138,7,8,5,6,1,0,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,35.5,41.5,32.5,38.9,2297700000,1593700000,704030000,447970000,344540000,103430000,617120000,451360000,165760000,686040000,442160000,243880000,546570000,355610000,190960000,,,,3,516;1839;6947;7103;9400;10020;12197;12420;15274;16063;21324,True;True;True;True;True;True;True;True;True;True;True,547;1976;7452;7621;10101;10770;13078;13325;16339;17170;22755,1415;1416;5442;5443;19626;19627;20104;20105;20106;20107;26856;26857;26858;26859;28744;28745;34909;35552;35553;35554;35555;43278;45484;45485;60499;60500,2929;2930;11544;41060;41061;41062;41063;41064;41065;41066;41067;41068;42097;42098;42099;42100;42101;42102;42103;42104;42105;42106;42107;42108;56653;56654;56655;56656;60539;60540;73254;74627;74628;74629;74630;74631;74632;74633;74634;74635;74636;74637;90402;95034;95035;95036;95037;95038;127463;127464;127465;127466,2929;11544;41061;42101;56656;60540;73254;74634;90402;95038;127463,,,,,-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
NUDT4;NUDT11;NUDT10,21.3499407378834,3.60771033086203e-07,A0A024RBG1;Q96G61;Q8NFP7;Q9NZJ9;F8VRL4;F8VRR0;A0A0C4DGJ4,A0A024RBG1;Q96G61;Q8NFP7;Q9NZJ9;F8VRL4;F8VRR0;A0A0C4DGJ4,2;1;1;1;1;1;1,2;1;1;1;1;1;1,2;1;1;1;1;1;1,Diphosphoinositol polyphosphate phosphohydrolase 3-beta;Diphosphoinositol polyphosphate phosphohydrolase 3-alpha;Diphosphoinositol polyphosphate phosphohydrolase 2,sp|A0A024RBG1|NUD4B_HUMAN Diphosphoinositol polyphosphate phosphohydrolase NUDT4B OS=Homo sapiens OX=9606 GN=NUDT4B PE=3 SV=1;sp|Q96G61|NUD11_HUMAN Diphosphoinositol polyphosphate phosphohydrolase 3-beta OS=Homo sapiens OX=9606 GN=NUDT11 PE=1 SV=1;sp|Q8NFP,7,2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,14.9,14.9,14.9,20.434,181,181;164;164;180;95;112;128,0.0,9.0178,,,By MS/MS,By MS/MS,1.1828,2.1595,50.673,4,1,Median,,,1.2127,1.1633,,,2.2017,2.1016,,,61.419,62.526,0,0,2,2,0,0,1,0,Median,Median,Median,Median,0.0,0.0,14.9,14.9,466000000,188610000,277390000,0,0,0,0,0,0,233110000,92520000,140590000,232880000,96088000,136790000,,,,4,11172;19588,True;True,11992;20904,32134;32135;55687;55688,67654;67655;117339;117340;117341;117342;117343;117344;117345;117346;117347,67654;117343,,,,,-1;-1;-1;-1;-1;-1;-1,protein_5,quanti,quanti,imputed MEC,imputed MEC
BAG6;BAT3,0.733425758722646,0.118631793779483,P46379;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;H0Y7K4;H0Y759;A0A0G2JJ92;A0A0G2JIB3;A0A0G2JIA9,P46379;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2,3;3;3;3;3;3;2;1;1;1;1;1,3;3;3;3;3;3;2;1;1;1;1;1,3;3;3;3;3;3;2;1;1;1;1;1,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=7;tr|A0A0G2JJM1|A0A0G2JJM1_HUMAN Large proline-rich pro,12,3,3,3,1,2,3,2,1,2,3,2,1,2,3,2,3.1,3.1,3.1,119.41,1132,1132;742;742;1077;1126;1132;515;185;238;238;245;245,0.0,8.9442,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.67525,1.3337,11.112,8,2,Leave out requantified,0.46795,0.62493,0.8742,0.80365,1.1676,1.3341,1.5219,1.4084,,9.0673,1.7061,16.829,1,2,3,2,0,0,1,1,Median,Median,Median,Median,1.1,2.0,3.1,2.0,251880000,134170000,117710000,16787000,10550000,6236800,38951000,21741000,17210000,129430000,64847000,64588000,66708000,37035000,29673000,,,,5,10859;11178;20319,True;True;True,11662;11998;21691,31160;31161;31162;31163;31164;32148;32149;32150;32151;57733,65635;65636;65637;65638;65639;67683;67684;67685;67686;67687;67688;67689;67690;67691;67692;67693;121621,65635;67693;121621,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_6,quanti,quanti,quanti,quanti
ENAH,21.3673632590916,3.12969830437603e-07,Q8N8S7;A0A075B6E5;A0A0U1RRM6;A0A0U1RQP7,Q8N8S7;A0A075B6E5;A0A0U1RRM6;A0A0U1RQP7,3;3;3;2,3;3;3;2,3;3;3;2,Protein enabled homolog,sp|Q8N8S7|ENAH_HUMAN Protein enabled homolog OS=Homo sapiens OX=9606 GN=ENAH PE=1 SV=2;tr|A0A075B6E5|A0A075B6E5_HUMAN Protein enabled homolog (Fragment) OS=Homo sapiens OX=9606 GN=ENAH PE=1 SV=2;tr|A0A0U1RRM6|A0A0U1RRM6_HUMAN Protein enabled homolog OS=Hom,4,3,3,3,0,0,2,3,0,0,2,3,0,0,2,3,6.6,6.6,6.6,66.509,591,591;213;802;242,0.0,6.0797,,,By MS/MS,By MS/MS,0.63007,1.1325,24.031,5,1,Leave out requantified,,,0.63117,0.71231,,,1.1523,1.333,,,22.56,21.552,0,0,2,3,0,0,0,1,Median,Median,Median,Median,0.0,0.0,4.6,6.6,344710000,190870000,153840000,0,0,0,0,0,0,169800000,94701000,75102000,174910000,96170000,78737000,,,,6,9364;20732;21351,True;True;True,10059;22133;22782,26718;26719;58928;60564;60565,56332;56333;56334;124143;124144;127587;127588;127589;127590;127591;127592;127593;127594;127595;127596,56333;124144;127589,,,,,-1;-1;-1;-1,protein_7,quanti,quanti,imputed MEC,imputed MEC
TAF15,0.697893670785881,0.0756942446642836,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,4;4;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,3,4,2,2,1,1,3,4,1,1,2,2,1,1,2,2,8.3,5.9,5.9,61.829,592,592;449;214,0.0,17.134,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.53591,1.0291,13.731,11,0,Leave out requantified,0.31464,0.44007,0.54492,0.54559,1.1343,1.3016,0.99504,1.0071,,2.5173,13.614,8.79,1,2,4,4,0,0,0,0,Median,Median,Leave out requantified,Leave out requantified,2.9,2.9,8.3,8.3,1533900000,1009600000,524280000,115510000,87691000,27820000,244970000,161260000,83710000,673540000,441180000,232360000,499870000,319480000,180390000,,,,9,121;122;5601;15844,False;True;False;True,125;126;5973;16940,313;314;315;316;317;318;319;320;15541;15542;44872;44873;44874;44875,659;660;661;662;663;664;665;666;667;668;669;670;671;672;673;674;675;676;677;678;679;680;681;32546;32547;93749;93750;93751;93752;93753;93754;93755;93756,659;664;32546;93754,,,,,-1;-1;-1,protein_10,quanti,quanti,quanti,quanti
TXNRD1,-0.168140546167912,0.34993726658628,Q16881;F8W809;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8;A0A182DWF2;D3YTF8;A0A182DWF3;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;F8W809;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;E2QRB9;E9PKD3,19;19;19;19;19;19;16;10;5;5;4;4;3;2;1;1;1;1;1;1;1,19;19;19;19;19;19;16;10;5;5;4;4;3;2;1;1;1;1;1;1;1,19;19;19;19;19;19;16;10;5;5;4;4;3;2;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|F8W809|F8W809_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reduct",21,19,19,19,10,17,14,14,10,17,14,14,10,17,14,14,42.1,42.1,42.1,70.905,649,649;498;648;568;548;482;460;175;103;139;70;72;53;44;494;501;523;524;338;306;463,0.0,85.635,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45794,1.035,26.114,63,10,Leave out requantified,0.20536,0.31156,0.61802,0.66101,0.72991,0.91268,1.1548,1.2162,22.836,17.938,54.565,21.342,12,19,16,16,3,7,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,17.4,38.4,33.1,33.1,6654700000,4333000000,2321700000,894700000,733610000,161090000,1170000000,845750000,324250000,2577900000,1561200000,1016700000,2012100000,1192400000,819700000,,,,10,3801;4597;4848;5662;7822;9341;9467;9747;9776;12966;14599;14600;17157;19740;20267;20307;20443;20587;21201,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4068;4911;5171;6041;8406;10034;10174;10475;10506;13902;15631;15632;18313;21073;21627;21678;21826;21981;22621,10764;10765;12795;12796;13454;13455;13456;13457;13458;13459;13460;13461;15703;22174;22175;26653;26654;27070;27071;27072;27073;27074;27873;27874;27875;27965;27966;27967;27968;27969;27970;27971;27972;37026;37027;37028;41531;41532;41533;41534;41535;41536;48568;56131;56132;56133;56134;57498;57499;57500;57698;57699;57700;57701;58082;58083;58084;58085;58535;58536;58537;58538;60161;60162;60163,22609;22610;22611;26663;26664;26665;27956;27957;27958;27959;27960;27961;27962;27963;27964;27965;27966;27967;27968;27969;32902;46657;46658;56201;56202;57111;57112;57113;57114;57115;57116;57117;57118;57119;57120;57121;57122;57123;58648;58649;58650;58861;58862;58863;58864;58865;58866;58867;58868;58869;58870;58871;58872;58873;58874;58875;58876;58877;58878;58879;58880;77617;77618;77619;77620;77621;77622;77623;86955;86956;86957;86958;86959;86960;86961;86962;86963;86964;86965;101493;118294;118295;118296;118297;118298;118299;118300;118301;121078;121079;121080;121081;121082;121083;121559;121560;121561;121562;121563;121564;121565;121566;121567;121568;121569;121570;122368;122369;122370;122371;122372;122373;122374;122375;122376;122377;122378;122379;122380;122381;122382;122383;122384;123330;123331;123332;123333;123334;123335;123336;123337;123338;123339;123340;123341;123342;123343;126639;126640;126641;126642;126643;126644,22611;26665;27968;32902;46657;56201;57115;58649;58869;77618;86962;86965;101493;118295;121081;121562;122375;123331;126642,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
HMOX2,0.713336387712786,0.348485534158032,P30519;I3L159;I3L1F5;A0A087WT44;I3L4P8;A0A1B0GXH0;I3L463;I3L1Y2;I3L276,P30519;I3L159;I3L1F5;A0A087WT44,6;6;6;6;2;2;2;1;1,6;6;6;6;2;2;2;1;1,6;6;6;6;2;2;2;1;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,9,6,6,6,1,4,4,4,1,4,4,4,1,4,4,4,34.2,34.2,34.2,36.032,316,316;229;238;370;130;131;132;110;110,0.0,10.559,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.51939,0.98132,22.977,13,1,Leave out requantified,0.5018,0.45056,0.56263,0.63794,1.563,1.0139,0.99517,1.1008,,14.057,35.44,27.827,1,4,4,4,0,1,0,0,Median,Leave out requantified,Leave out requantified,Leave out requantified,6.0,20.3,24.1,24.1,631150000,377120000,254020000,29652000,21118000,8533300,119410000,82523000,36883000,294260000,167590000,126670000,187830000,105890000,81937000,,,,13,1315;3496;7904;13169;13798;21306,True;True;True;True;True;True,1405;3745;8493;14115;14788;22735,3815;3816;9987;22448;22449;22450;22451;37552;39330;39331;60443;60444;60445,7964;21000;47261;47262;47263;47264;47265;47266;47267;47268;47269;47270;47271;47272;47273;47274;47275;47276;78645;82324;82325;82326;127338;127339;127340;127341,7964;21000;47264;78645;82324;127338,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_14,quanti,quanti,quanti,quanti
DCP1A,19.2890519886735,3.21970390944281e-07,Q9NPI6;A0A087WXD0;A0A087WVE6;A0A087WT55,Q9NPI6;A0A087WXD0;A0A087WVE6;A0A087WT55,2;2;2;2,2;2;2;2,2;2;2;2,mRNA-decapping enzyme 1A,sp|Q9NPI6|DCP1A_HUMAN mRNA-decapping enzyme 1A OS=Homo sapiens OX=9606 GN=DCP1A PE=1 SV=3;tr|A0A087WXD0|A0A087WXD0_HUMAN mRNA-decapping enzyme 1A OS=Homo sapiens OX=9606 GN=DCP1A PE=1 SV=1;tr|A0A087WVE6|A0A087WVE6_HUMAN mRNA-decapping enzyme 1A (Fragment) ,4,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,5.2,5.2,5.2,63.278,582,582;102;191;260,0.017302,1.144,,,By MS/MS,By MS/MS,0.82094,1.4002,2.249,2,0,Median,,,0.83084,0.81117,,,1.4226,1.3781,,,,,0,0,1,1,0,0,0,0,Median,Median,Median,Median,0.0,0.0,5.2,2.2,72721000,45204000,27516000,0,0,0,0,0,0,36856000,23046000,13810000,35865000,22158000,13706000,,,,14,12778;15550,True;True,13701;16633,36527;44080;44081,76577;92059;92060,76577;92059,,,,,-1;-1;-1;-1,protein_15,quanti,quanti,imputed MEC,imputed MEC
