Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity RBBP5-N1,Intensity RBBP5-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q9NRN7,Q9NRN7,2,2,2,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT,sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2,2,2,5.2,4.17591035104535,4.22706700329514,23.2945994360307,24.397412467283
Q86UK0,Q86UK0,2,2,2,ATP-binding cassette sub-family A member 12,ABCA12,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,2,2,0.7,4.17591035104535,4.22706700329514,24.1592326418786,24.1601470401186
Q9NYB9;E7EW77;E7EP65;F8WAL6;E9PEZ7;A0A0C4DG21;E7EUA1;F8WAU3;F8WCD7;F8WAZ8;F8WBL5;F8WEB9,Q9NYB9;E7EW77;E7EP65;F8WAL6;E9PEZ7;A0A0C4DG21,3;3;3;3;2;2;1;1;1;1;1;1,2;2;2;2;1;1;1;1;1;1;1;1,2;2;2;2;1;1;1;1;1;1;1;1,Abl interactor 2,ABI2,sp|Q9NYB9|ABI2_HUMAN Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;tr|E7EW77|E7EW77_HUMAN Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;tr|E7EP65|E7EP65_HUMAN Abl interactor 2 (Fragment) OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;t,3,2,7.6,23.1151137474769,22.2800276314106,22.4577876538986,22.8811221778843
I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,I3L3W0;I3L259;I3L2L3;A0A0G2JQB5,2;1;1;1,2;1;1;1,2;1;1;1,,ABR,tr|I3L3W0|I3L3W0_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L259|I3L259_HUMAN Active breakpoint cluster region-related protein (Fragment) OS=Homo sapiens OX=9606 GN=ABR PE=1 SV=1;tr|I3L2L,2,2,29.3,25.1325750353803,25.8829604726863,23.1248829926369,25.6563279666607
Q86TX2;G3V4F2,Q86TX2;G3V4F2,18;16,18;16,2;1,Acyl-coenzyme A thioesterase 1,ACOT1,sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,18,2,58.7,24.3973325444979,26.1446630656306,30.4605109843891,30.4529727106544
O96019,O96019,2,2,2,Actin-like protein 6A,ACTL6A,sp|O96019|ACL6A_HUMAN Actin-like protein 6A OS=Homo sapiens OX=9606 GN=ACTL6A PE=1 SV=1,2,2,9.8,4.17591035104535,4.22706700329514,23.8714533323075,26.2085118206486
Q08043;A0A087WSZ2,Q08043;A0A087WSZ2,5;5,2;2,2;2,Alpha-actinin-3,ACTN3,sp|Q08043|ACTN3_HUMAN Alpha-actinin-3 OS=Homo sapiens OX=9606 GN=ACTN3 PE=1 SV=2;tr|A0A087WSZ2|A0A087WSZ2_HUMAN Alpha-actinin-3 OS=Homo sapiens OX=9606 GN=ACTN3 PE=1 SV=1,5,2,6.7,31.5490411380532,32.4066686559541,21.2975969684813,21.4773528382347
Q6IQ32,Q6IQ32,2,2,2,ADNP homeobox protein 2,ADNP2,sp|Q6IQ32|ADNP2_HUMAN Activity-dependent neuroprotector homeobox protein 2 OS=Homo sapiens OX=9606 GN=ADNP2 PE=1 SV=1,2,2,2.8,23.1642114098448,23.6397558053449,4.42759069901186,4.36970281032512
J3KNS1;Q9UPW5,J3KNS1;Q9UPW5,2;1,2;1,2;1,Cytosolic carboxypeptidase 1,AGTPBP1,tr|J3KNS1|J3KNS1_HUMAN Cytosolic carboxypeptidase 1 OS=Homo sapiens OX=9606 GN=AGTPBP1 PE=1 SV=1;sp|Q9UPW5|CBPC1_HUMAN Cytosolic carboxypeptidase 1 OS=Homo sapiens OX=9606 GN=AGTPBP1 PE=1 SV=3,2,2,3.7,23.3336085240731,25.1972106866652,22.0499282952772,23.7616210255957
O43865;H0Y8B3,O43865;H0Y8B3,6;4,6;4,2;0,Putative adenosylhomocysteinase 2;Adenosylhomocysteinase,AHCYL1;AHCYL2,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,12.1,4.17591035104535,4.22706700329514,26.6035695268123,26.3900490072837
