Gene_names,DCAF11_vs_BirA_logFC,DCAF11_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alon_N1,Peptides_BirA_alon_N2,Peptides_DCAF11_N1,Peptides_DCAF11_N2,Razor___unique_peptides_BirA_alon_N1,Razor___unique_peptides_BirA_alon_N2,Razor___unique_peptides_DCAF11_N1,Razor___unique_peptides_DCAF11_N2,Unique_peptides_BirA_alon_N1,Unique_peptides_BirA_alon_N2,Unique_peptides_DCAF11_N1,Unique_peptides_DCAF11_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alon_N1,Identification_type_BirA_alon_N2,Identification_type_DCAF11_N1,Identification_type_DCAF11_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alon_N1,Ratio_H_L_BirA_alon_N2,Ratio_H_L_DCAF11_N1,Ratio_H_L_DCAF11_N2,Ratio_H_L_normalized_BirA_alon_N1,Ratio_H_L_normalized_BirA_alon_N2,Ratio_H_L_normalized_DCAF11_N1,Ratio_H_L_normalized_DCAF11_N2,Ratio_H_L_variability_____BirA_alon_N1,Ratio_H_L_variability_____BirA_alon_N2,Ratio_H_L_variability_____DCAF11_N1,Ratio_H_L_variability_____DCAF11_N2,Ratio_H_L_count_BirA_alon_N1,Ratio_H_L_count_BirA_alon_N2,Ratio_H_L_count_DCAF11_N1,Ratio_H_L_count_DCAF11_N2,Ratio_H_L_iso_count_BirA_alon_N1,Ratio_H_L_iso_count_BirA_alon_N2,Ratio_H_L_iso_count_DCAF11_N1,Ratio_H_L_iso_count_DCAF11_N2,Ratio_H_L_type_BirA_alon_N1,Ratio_H_L_type_BirA_alon_N2,Ratio_H_L_type_DCAF11_N1,Ratio_H_L_type_DCAF11_N2,Sequence_coverage_BirA_alon_N1____,Sequence_coverage_BirA_alon_N2____,Sequence_coverage_DCAF11_N1____,Sequence_coverage_DCAF11_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alon_N1,Intensity_L_BirA_alon_N1,Intensity_H_BirA_alon_N1,Intensity_BirA_alon_N2,Intensity_L_BirA_alon_N2,Intensity_H_BirA_alon_N2,Intensity_DCAF11_N1,Intensity_L_DCAF11_N1,Intensity_H_DCAF11_N1,Intensity_DCAF11_N2,Intensity_L_DCAF11_N2,Intensity_H_DCAF11_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF11_N1,metacell_Intensity_L_DCAF11_N2,metacell_Intensity_L_BirA_alon_N1,metacell_Intensity_L_BirA_alon_N2
HDLBP,0.372014633916219,0.278918224037895,Q00341;A0A024R4E5;C9JIZ1;C9J5E5;C9JZI8;C9JHZ8;H0Y394;H7C0A4;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JIZ1;C9J5E5;C9JZI8;C9JHZ8;H0Y394;H7C0A4;C9JES8;C9JK79;C9JHS7;C9JT62,6;6;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;1;1,6;6;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;1;1,6;6;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JIZ1|C9JIZ1_HUMAN Vigilin (Fragment) O",19,6,6,6,3,4,4,4,3,4,4,4,3,4,4,4,6.0,6.0,6.0,141.45,1268,1268;1268;224;221;164;141;973;332;147;128;126;96;81;79;69;53;46;19;17,0.0,8.1367,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.92777,2.0277,28.657,15,3,Leave out requantified,0.70857,0.98858,0.95635,1.0379,2.2744,2.547,1.7087,1.9471,35.092,19.513,7.1046,22.888,3,4,4,4,0,1,1,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,2.8,4.0,4.3,4.3,382630000,194880000,187750000,82838000,47807000,35031000,103830000,48663000,55162000,69490000,30893000,38598000,126470000,67515000,58958000,,,,1,480;1670;9111;9525;12233;12988,True;True;True;True;True;True,529;1910;10624;11088;14187;15036,1424;1425;5350;5351;5352;28402;28403;29577;29578;37618;37619;39937;39938;39939;39940,2674;2675;2676;2677;10289;10290;53441;55492;55493;70543;74892;74893;74894;74895;74896;74897;74898,2674;10289;53441;55493;70543;74897,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2,quanti,quanti,quanti,quanti
PSMA2,-0.826209997073978,0.0970710338388772,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52;C9JCK5,10;10;5;3;1,10;10;5;3;1,10;10;5;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1;tr|C9JCK5|C9JCK5_HUMAN Proteasome endopeptidase complex ,5,10,10,10,8,8,6,5,8,8,6,5,8,8,6,5,59.4,59.4,59.4,25.898,234,234;234;164;48;36,0.0,17.29,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36945,0.94383,22.403,27,1,Leave out requantified,0.2832,0.35815,0.44105,0.49415,0.91895,0.99766,0.83838,0.92102,20.977,11.69,19.398,33.834,8,8,6,5,1,0,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,41.5,41.5,48.3,39.3,1618900000,1164300000,454680000,483000000,371200000,111810000,617120000,451360000,165760000,219980000,145160000,74822000,298830000,196540000,102290000,,,,2,419;1542;3156;5325;5436;7268;9429;9603;12365;16462,True;True;True;True;True;True;True;True;True;True,466;1766;3597;6172;6319;8480;10986;11187;14336;19060,1246;1247;4960;4961;9651;9652;9653;16415;16416;16828;16829;16830;16831;22544;22545;22546;22547;29316;29317;29318;29319;29847;29848;29849;38012;38013;50743;50744,2310;2311;9523;18234;30929;30930;30931;30932;30933;30934;30935;30936;30937;31798;31799;31800;31801;31802;31803;31804;31805;31806;42744;42745;55053;56069;56070;56071;56072;56073;71349;71350;71351;71352;71353;96251;96252;96253,2310;9523;18234;30930;31802;42745;55053;56070;71353;96252,,,,,-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
BAG6;BAT3,1.51012039681239,0.0206275537877648,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,3;3;3;3;2;2;2,3;3;3;3;2;2;2,3;3;3;3;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JL47|A0A0G2JL47_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,7,3,3,3,1,2,3,3,1,2,3,3,1,2,3,3,3.7,3.7,3.7,119.41,1132,1132;1077;1126;1132;515;742;742,0.0,10.232,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.70577,1.4191,17.193,9,0,Leave out requantified,0.46795,0.62493,0.84392,0.80606,1.1676,1.3341,1.4157,1.5716,,9.0673,14.507,17.041,1,2,3,3,0,0,0,0,Median,Median,Leave out requantified,Leave out requantified,1.1,2.0,3.7,3.7,211290000,108410000,102870000,16787000,10550000,6236800,38951000,21741000,17210000,32227000,16788000,15439000,123320000,59335000,63986000,,,,3,8377;8651;12126,True;True;True,9793;10113;14062,26190;26191;26192;27061;27062;27063;27064;37269;37270,49426;49427;49428;49429;49430;50994;50995;50996;50997;50998;50999;51000;51001;51002;69924,49428;51002;69924,,,,,-1;-1;-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
TAF15,0.681890902273196,0.228496710448284,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9;A0A075B7F4,2;2;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7F4|A0A075B7F4_HUMAN TA,3,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,5.9,5.9,5.9,61.829,592,592;449;214,0.0,3.1619,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4666,0.96334,7.2512,9,0,Leave out requantified,0.31464,0.44007,0.43928,0.50036,1.1343,1.3016,0.86459,0.94616,,2.5173,3.5941,4.6196,1,2,3,3,0,0,0,0,Median,Median,Median,Median,2.9,2.9,5.9,5.9,776970000,528940000,248030000,115510000,87691000,27820000,244970000,161260000,83710000,188380000,129160000,59215000,228120000,150830000,77288000,,,,6,102;12189,True;True,108;14140,266;267;268;269;270;271;272;37488;37489,498;499;500;501;502;503;504;505;506;507;508;509;510;511;512;70346,504;70346,,,,,-1;-1;-1,protein_7,quanti,quanti,quanti,quanti
TXNRD1,-1.2893517998361,0.0225803674731666,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,17;17;17;17;17;17;14;10;5;5;4;4;3;1;1;1;1;1;1;1;1,17;17;17;17;17;17;14;10;5;5;4;4;3;1;1;1;1;1;1;1;1,17;17;17;17;17;17;14;10;5;5;4;4;3;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",21,17,17,17,10,17,7,9,10,17,7,9,10,17,7,9,38.4,38.4,38.4,70.905,649,649;648;568;548;482;498;460;175;103;139;70;72;53;501;523;44;494;524;338;306;463,0.0,33.602,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.44252,0.98815,30.544,48,10,Leave out requantified,0.20601,0.31156,0.69546,0.76451,0.74826,0.91268,1.2749,1.4479,22.121,17.938,12.315,16.096,12,19,7,10,2,7,0,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.0,38.4,17.4,23.9,3054700000,2152400000,902240000,882330000,724720000,157610000,1170000000,845750000,324250000,203700000,118500000,85206000,798640000,463470000,335170000,,,,7,2935;3695;4304;5976;7317;7516;7539;10052;11311;11312;13233;15258;15631;15666;15773;15889;16363,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3357;4206;4914;6969;8544;8796;8824;11695;13127;13128;15308;17679;18107;18160;18283;18416;18948,9093;11190;11191;11192;11193;11194;11195;13033;18500;18501;22735;22736;22737;23378;23447;23448;23449;23450;23451;23452;23453;31177;31178;34875;34876;34877;34878;34879;34880;40663;47144;47145;47146;47147;48247;48248;48249;48413;48414;48415;48416;48738;48739;49093;49094;49095;49096;50449,17364;21098;21099;21100;21101;21102;21103;21104;21105;21106;21107;24670;35036;35037;43059;43060;43061;44180;44308;44309;44310;44311;44312;44313;44314;44315;44316;44317;44318;44319;44320;44321;58574;58575;58576;65571;65572;65573;65574;65575;65576;65577;65578;65579;65580;65581;65582;65583;76299;89406;89407;89408;89409;89410;89411;89412;91496;91497;91853;91854;91855;91856;91857;91858;91859;91860;91861;92510;92511;92512;92513;92514;93155;93156;93157;93158;93159;93160;93161;93162;93163;93164;93165;95605;95606,17364;21106;24670;35036;43061;44180;44320;58574;65574;65583;76299;89407;91497;91854;92510;93159;95606,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_8,quanti,quanti,quanti,quanti
HMOX2,-0.446174020947158,0.463125667010458,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2,P30519;I3L159;I3L1F5;A0A087WT44,4;4;4;4;1,4;4;4;4;1,4;4;4;4;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,5,4,4,4,2,4,2,2,2,4,2,2,2,4,2,2,21.2,21.2,21.2,36.032,316,316;229;238;370;110,0.0,5.7876,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48841,1.0319,31.593,10,1,Leave out requantified,0.40632,0.45056,0.82247,0.74149,1.2155,0.94976,1.4765,1.4472,35.561,28.632,32.32,35.426,2,4,2,2,0,1,0,0,Median,Leave out requantified,Median,Median,14.2,21.2,14.2,14.2,342420000,222290000,120130000,54541000,40610000,13931000,129570000,92890000,36682000,27068000,14679000,12390000,131240000,74110000,57132000,,,,9,1113;6048;10218;16447,True;True;True;True,1262;7050;11887;19044,3478;3479;3480;3481;18731;18732;18733;18734;31645;50706,6601;35484;35485;35486;35487;35488;35489;35490;35491;35492;35493;35494;35495;59368;96194,6601;35487;59368;96194,,,,,-1;-1;-1;-1;-1,protein_10,quanti,quanti,quanti,quanti
EIF2B4,0.866166688782634,0.10384497774977,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,3;3;3;1;1;1,3;3;3;1;1;1,3;3;3;1;1;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,3,3,3,2,1,2,3,2,1,2,3,2,1,2,3,7.6,7.6,7.6,57.557,523,523;520;544;194;228;235,0.0,13.55,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45768,0.99206,15.504,8,4,Leave out requantified,1.1583,0.43715,0.68589,0.56915,3.831,1.107,1.2798,1.0537,166.4,,73.542,33.932,2,1,2,3,1,0,2,1,Median,Median,Median,Median,4.4,2.1,5.5,7.6,266370000,146630000,119740000,75850000,34652000,41198000,32800000,23465000,9334600,41037000,21617000,19420000,116690000,66901000,49787000,,,,10,11638;14733;15487,True;True;True,13519;17032;17941,35846;35847;45333;45334;45335;47815;47816;47817,67351;67352;85706;85707;85708;85709;85710;85711;90679;90680;90681,67352;85707;90680,,,,,-1;-1;-1;-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
KHSRP,-0.536417979786329,0.188441530014218,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,17;17;10;7;5;2,15;15;8;5;4;2,15;15;8;5;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,17,15,15,12,13,11,11,10,12,11,11,10,12,11,11,35.0,32.5,32.5,73.114,711,711;711;279;169;116;269,0.0,65.318,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.50586,1.2783,11.688,42,5,Leave out requantified,0.39889,0.4807,0.61755,0.59559,1.412,1.338,1.2242,1.1589,14.577,13.055,15.729,16.161,10,12,9,11,1,1,1,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,24.2,21.0,3407200000,2190900000,1216300000,976380000,671810000,304580000,1158500000,772440000,386020000,501240000,287780000,213460000,771120000,458870000,312250000,,,,12,646;647;839;2218;4417;4418;5578;5950;5952;6111;7271;10070;10206;10333;13185;14023;15373,False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,717;718;945;2550;5056;5057;6514;6938;6940;7120;8483;11716;11873;12021;15256;16219;17809,1924;1925;1926;1927;1928;2588;2589;2590;2591;7042;7043;7044;13425;13426;13427;17356;17357;17358;17359;18416;18417;18418;18419;18421;18422;18423;18424;18933;18934;18935;18936;22552;31217;31218;31219;31619;31620;31621;31622;31623;32019;40520;40521;40522;40523;43085;43086;43087;47497;47498,3618;3619;3620;3621;3622;3623;3624;3625;3626;3627;3628;3629;3630;3631;3632;3633;3634;4890;4891;4892;4893;4894;4895;4896;4897;13487;13488;13489;13490;13491;25499;25500;25501;32901;32902;32903;32904;32905;32906;32907;32908;32909;32910;32911;32912;34840;34841;34842;34843;34844;34845;34846;34847;34849;34850;34851;34852;34853;34854;34855;34856;34857;34858;34859;34860;35887;35888;35889;35890;35891;35892;35893;35894;35895;35896;42749;58644;58645;58646;58647;58648;59329;59330;59331;59332;59333;59334;59335;59336;59337;59338;59339;60025;76001;76002;76003;76004;76005;76006;76007;76008;81200;81201;90138;90139;90140,3619;3627;4893;13488;25499;25501;32911;34842;34854;35896;42749;58645;59329;60025;76004;81201;90140,,,,,-1;-1;-1;-1;-1;-1,protein_13,quanti,quanti,quanti,quanti
PABPC1;PABPC3,2.21987721321409,0.00183582563676621,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2;Q9H361;E5RJB9;H0YBN4;E5RGH3;H0YB86;E5RH24;H0YAP2;H0YEQ8;Q4VXU2;E5RHG7;H0YAS6;H0YB75;Q5JQF8;H0YAS7;H0YCC8;H0YC10;E5RGC4;E5RFD8;Q96DU9,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2;Q9H361,29;29;28;27;16;15;9;9;9;8;8;7;5;4;3;3;3;3;2;2;2;1;1;1,29;29;28;27;16;15;9;9;9;8;8;7;5;4;3;3;3;3;2;2;2;1;1;1,17;17;16;16;11;10;2;3;2;5;2;7;0;3;1;3;3;1;2;0;2;1;1;1,Polyadenylate-binding protein 1;Polyadenylate-binding protein;Polyadenylate-binding protein 3,sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;tr|A0A087WTT1|A0A087WTT1_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=1;tr|E7EQV3|E7EQV3_HUMAN Polyadenylate-binding protein ,24,29,29,17,14,10,26,23,14,10,26,23,8,4,16,15,43.7,43.7,27.0,70.67,636,636;522;591;604;284;631;129;174;108;165;118;131;112;614;75;169;183;200;136;197;42;43;61;382,0.0,79.412,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.53828,1.045,19.125,95,16,Leave out requantified,0.28599,0.30003,0.55491,0.55927,1.0101,0.83688,1.069,1.0609,27.65,10.223,19.319,16.036,14,11,35,35,6,2,3,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.7,16.0,42.0,37.3,7020900000,4554800000,2466100000,698640000,513790000,184850000,646390000,482670000,163720000,1979200000,1245800000,733390000,3696600000,2312500000,1384100000,,,,14,765;900;1014;1291;1921;2817;3942;4326;4332;4333;5299;6423;6424;6789;6816;6817;7072;8017;10564;10739;11249;11827;12269;12432;12433;12458;12534;12535;16509,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,860;1017;1149;1150;1481;2208;3223;4484;4944;4951;4952;4953;6135;7494;7495;7899;7930;7931;7932;8228;8229;9387;12279;12475;13054;13731;14224;14412;14413;14443;14525;14526;14527;19116;19117,2356;2801;2802;2803;2804;3159;3160;3161;3162;3163;3164;4121;4122;4123;4124;6172;6173;6174;8767;8768;8769;11913;11914;11915;11916;13113;13136;13137;13138;13139;13140;13141;16301;16302;19985;19986;19987;19988;19989;19990;19991;19992;21080;21081;21177;21178;21179;21180;21181;21182;21183;21184;21185;21186;21885;21886;21887;21888;21889;21890;21891;25045;25046;25047;32699;32700;32701;32702;33207;33208;33209;34681;34682;34683;36396;36397;36398;36399;37719;37720;38247;38248;38249;38250;38334;38540;38541;38542;38543;38544;38545;38546;38547;38548;38549;50886;50887;50888;50889;50890,4445;5345;5346;5347;5348;5349;5350;5351;5352;5353;6006;6007;6008;6009;6010;6011;6012;6013;6014;6015;6016;6017;7933;7934;7935;7936;7937;11970;11971;11972;11973;11974;11975;16737;16738;16739;16740;16741;16742;16743;16744;22427;22428;22429;22430;22431;22432;22433;22434;22435;22436;22437;22438;22439;22440;24823;24824;24874;24875;24876;24877;24878;24879;24880;24881;24882;24883;24884;24885;24886;30732;30733;30734;30735;30736;30737;30738;37952;37953;37954;37955;37956;37957;37958;37959;37960;37961;37962;37963;37964;39913;39914;39915;40087;40088;40089;40090;40091;40092;40093;40094;40095;40096;40097;40098;40099;40100;40101;40102;40103;40104;40105;40106;40107;40108;40109;40110;40111;40112;40113;40114;40115;40116;40117;41467;41468;41469;41470;41471;41472;41473;41474;41475;41476;41477;47264;47265;47266;47267;47268;47269;47270;47271;61328;61329;61330;61331;61332;61333;61334;61335;61336;62304;62305;62306;62307;62308;62309;62310;62311;62312;65234;65235;65236;65237;68361;68362;68363;68364;68365;68366;68367;68368;70745;70746;70747;71864;71865;71866;71867;71868;71869;71870;71871;71872;71873;72017;72383;72384;72385;72386;72387;72388;72389;72390;72391;72392;72393;72394;72395;72396;72397;96527;96528;96529;96530;96531;96532;96533;96534;96535;96536;96537;96538;96539;96540;96541;96542;96543;96544;96545;96546;96547,4445;5346;6011;7935;11971;16738;22440;24824;24879;24884;30738;37954;37962;39913;40096;40117;41470;47268;61331;62308;65237;68363;70745;71871;71873;72017;72383;72395;96539,1,,312,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_15,quanti,quanti,quanti,quanti
PYCR2,0.905232545163376,0.111446482548694,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12,5;5;4;2;1;1,4;4;3;1;1;1,4;4;3;1;1;1,Pyrroline-5-carboxylate reductase 2,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,6,5,4,4,3,3,4,3,2,2,3,2,2,2,3,2,20.6,16.6,16.6,33.637,320,320;246;359;319;87;157,0.0,4.2554,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.5926,1.0911,24.596,10,1,Leave out requantified,0.58045,0.4806,0.5926,0.54706,1.4289,1.2016,1.0396,1.0106,7.9277,35.738,38.348,10.839,2,2,4,2,0,0,1,0,Median,Median,Median,Median,11.2,14.7,18.4,14.7,217000000,136160000,80836000,31401000,19066000,12335000,59603000,40066000,19536000,56769000,31504000,25265000,69226000,45527000,23699000,,,,15,4390;10025;12569;13117;14928,True;True;False;True;True,5027;11665;14572;14573;15181;17278,13359;31095;38685;38686;38687;38688;38689;38690;40312;40313;40314;40315;40316;46051;46052;46053,25372;58451;72645;72646;72647;72648;72649;72650;72651;72652;72653;72654;72655;72656;72657;72658;75633;75634;75635;75636;75637;75638;75639;75640;75641;75642;75643;75644;75645;75646;75647;75648;75649;87238,25372;58451;72656;75638;87238,,,,,-1;-1;-1;-1;-1;-1,protein_16,quanti,quanti,quanti,quanti
