RFWD2_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Gene_names,logFC (RFWD2_vs_zCtl),P_Value (RFWD2_vs_zCtl),isDifferential (RFWD2_vs_zCtl),Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Gene_names,Fasta_headers,Peptides,Unique_peptides,Sequence_coverage____,Sequence_lengths
CDK1;CDC2,-0.303801622,0.125288782844707,0,P06493;A0A024QZP7;E5RIU6;A0A087WZZ9;Q00526;K7ELV5,P06493;A0A024QZP7;E5RIU6;A0A087WZZ9,13;13;8;8;2;2,13;13;8;8;2;2,11;11;6;6;0;0,Cyclin-dependent kinase 1,CDK1;CDC2,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|E5RIU6|E5RIU6_HUMAN Cyclin-depend",13,11,47.8,297;297;189;224;305;164
HDLBP,-0.3441522663,0.0904883623218708,0,Q00341;A0A024R4E5;H0Y394;H7C0A4;C9JIZ1;C9JHS7;C9J5E5;C9JZI8;C9JES8;C9JHZ8;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;H7BZC3;H7C2D1;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;H0Y394,11;11;6;5;5;4;4;4;4;4;3;3;2;2;2;2;2;2;2;1;1,11;11;6;5;5;4;4;4;4;4;3;3;2;2;2;2;2;2;2;1;1,11;11;6;5;5;4;4;4;4;4;3;3;2;2;2;2;2;2;2;1;1,Vigilin,HDLBP,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|H0Y394|H0Y394_HUMAN Vigilin (Fragment) O",11,11,10,1268;1268;973;332;224;126;221;164;147;141;128;96;81;79;69;267;308;53;46;19;17
PSMA2,-0.1433588906,0.322038945083109,0,P25787;A0A024RA52;H3BT36;C9JCK5;H7C402,P25787;A0A024RA52,8;8;3;3;1,8;8;3;3;1,8;8;3;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,PSMA2,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,8,8,41.5,234;234;48;164;36
BAG6;BAT3,-0.6364830417,0.351546578943496,0,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6UR09;F6U1F2;F6XTU0;A0A0G2JJR8;A0A1B0GX79;F6WML8;F6VEM6;F6X9W3;F6U341,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6UR09;F6U1F2;F6XTU0;A0A0G2JJR8;A0A1B0GX79;F6WML8;F6VEM6;F6X9W3;F6U341,4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2,4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2,4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2,Large proline-rich protein BAG6,BAG6;BAT3,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,4,4,3.5,1132;515;742;742;1077;1126;1132;197;206;215;232;243;244;258;259;262
TAF15,-0.0195965232,0.893173176460701,0,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,4;4;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,TAF15,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,4,2,8.3,592;449;214
TXNRD1,0.5933028219,0.100373028032844,0,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,"sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",16,16,34.2,649;648;568;548;482;498;460;175;103;139;70;72;53;501;523;44;494;524;338;306;463
HMOX2,-0.2062853098,0.314565460128042,0,P30519;I3L159;I3L1F5;A0A087WT44;I3L276;I3L4P8;A0A1B0GXH0;I3L463;I3L1Y2,P30519;I3L159;I3L1F5;A0A087WT44,5;5;5;5;2;2;2;2;1,5;5;5;5;2;2;2;2;1,5;5;5;5;2;2;2;2;1,Heme oxygenase 2,HMOX2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,5,5,21.8,316;229;238;370;110;130;131;132;110
CUL3,1.8340031905,5.02046611122919e-05,1,Q13618;A0A087WTG3,Q13618;A0A087WTG3,3;3,3;3,3;3,Cullin-3,CUL3,sp|Q13618|CUL3_HUMAN Cullin-3 OS=Homo sapiens OX=9606 GN=CUL3 PE=1 SV=2;tr|A0A087WTG3|A0A087WTG3_HUMAN Cullin-3 OS=Homo sapiens OX=9606 GN=CUL3 PE=1 SV=1,3,3,10.4,768;342
