Gene_names,RBBP7_vs_BirA_logFC,RBBP7_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_RBBP7_N1,Peptides_RBBP7_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_RBBP7_N1,Razor___unique_peptides_RBBP7_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_RBBP7_N1,Unique_peptides_RBBP7_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_RBBP7_N1,Identification_type_RBBP7_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_RBBP7_N1,Ratio_H_L_RBBP7_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_RBBP7_N1,Ratio_H_L_normalized_RBBP7_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____RBBP7_N1,Ratio_H_L_variability_____RBBP7_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_RBBP7_N1,Ratio_H_L_count_RBBP7_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_RBBP7_N1,Ratio_H_L_iso_count_RBBP7_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_RBBP7_N1,Ratio_H_L_type_RBBP7_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_RBBP7_N1____,Sequence_coverage_RBBP7_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_RBBP7_N1,Intensity_L_RBBP7_N1,Intensity_H_RBBP7_N1,Intensity_RBBP7_N2,Intensity_L_RBBP7_N2,Intensity_H_RBBP7_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_RBBP7_N1,metacell_Intensity_L_RBBP7_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
HDLBP,-1.22808990418839,0.0122075684467058,Q00341;A0A024R4E5;C9JHS7;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHZ8;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;H7C0A4;H0Y394;C9JHS9,Q00341;A0A024R4E5;C9JHS7;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHZ8;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6,3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JHS7|C9JHS7_HUMAN Vigilin (Fragment) O",19,3,3,3,3,3,1,1,3,3,1,1,3,3,1,1,2.8,2.8,2.8,141.45,1268,1268;1268;126;224;221;164;147;141;128;96;81;79;69;53;46;19;332;973;17,0.0,6.2755,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.807,2.4444,33.174,8,3,Leave out requantified,0.70857,0.98858,0.12541,0.19699,2.2744,2.6272,0.13609,0.22277,35.092,20.988,,,3,3,1,1,0,1,1,1,Leave out requantified,Median,Median,Median,2.8,2.8,1.2,1.2,217500000,129570000,87932000,82838000,47807000,35031000,89520000,43745000,45775000,25557000,22514000,3042600,19587000,15504000,4083100,,,,1,9328;12171;12930,True;True;True,11352;14692;15586,25087;25088;32377;32378;34400;34401;34402;34403,41025;41026;52885;56261;56262;56263;56264;56265;56266;56267,41026;52885;56264,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2,quanti,quanti,quanti,quanti
PSMA2,-1.02616532223329,0.0158671340787603,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,9;9;4;3;1,9;9;4;3;1,9;9;4;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,9,9,9,8,8,3,2,8,8,3,2,8,8,3,2,49.6,49.6,49.6,25.898,234,234;234;164;48;36,0.0,21.036,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32559,0.97921,20.478,23,6,Leave out requantified,0.2832,0.35815,0.10641,1.7344,0.91895,0.99766,0.12659,2.9681,20.977,11.69,152.43,224.21,8,8,4,3,1,0,3,2,Leave out requantified,Leave out requantified,Median,Plateau,41.5,41.5,20.1,12.0,1766100000,1211500000,554520000,483000000,371200000,111810000,617120000,451360000,165760000,366660000,223310000,143350000,299280000,165680000,133600000,,,,2,433;1558;5247;5355;7093;9242;9413;12309;16348,True;True;True;True;True;True;True;True;True,510;1896;6433;6578;6579;8695;11257;11459;14859;19672,1167;1168;4388;4389;14202;14203;14204;14205;14552;14553;14554;14555;14556;14557;19288;19289;24871;24872;25317;25318;32753;32754;43562,1988;1989;7523;23527;23528;23529;23530;23531;23532;23533;23534;23535;24145;24146;24147;24148;24149;24150;24151;24152;24153;24154;24155;31997;40712;41440;41441;41442;41443;53503;53504;53505;53506;71729,1988;7523;23528;24145;31997;40712;41440;53506;71729,,,,,-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
BAG6;BAT3,1.78469117381153,0.0153399935905626,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,3;3;3;3;2;2;2,3;3;3;3;2;2;2,3;3;3;3;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JL47|A0A0G2JL47_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,7,3,3,3,1,2,2,3,1,2,2,3,1,2,2,3,3.2,3.2,3.2,119.41,1132,1132;1077;1126;1132;515;742;742,0.0,10.287,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38136,0.43016,86.377,8,4,Median,0.46795,0.62493,0.28224,0.20018,1.1676,1.3341,0.3154,0.22349,,9.0673,53.151,44.266,1,2,2,3,0,0,1,3,Median,Median,Median,Median,1.1,2.0,2.0,3.2,184550000,132250000,52296000,16787000,10550000,6236800,38951000,21741000,17210000,65467000,47926000,17540000,63347000,52037000,11309000,,,,5,684;8195;8450,True;True;True,802;10031;10338,1861;22289;22290;22291;22981;22982;22983;22984,3140;36717;36718;37786;37787;37788;37789;37790;37791;37792;37793,3140;36718;37790,,,,,-1;-1;-1;-1;-1;-1;-1,protein_6,quanti,quanti,quanti,quanti
TXNRD1,-0.589003032578386,0.153358059001949,Q16881;F8W809;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8;A0A182DWF2;D3YTF8;A0A182DWF3;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;F8W809;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;E2QRB9;E9PKD3,19;19;19;19;19;19;16;11;6;6;4;4;3;2;1;1;1;1;1;1;1,19;19;19;19;19;19;16;11;6;6;4;4;3;2;1;1;1;1;1;1;1,19;19;19;19;19;19;16;11;6;6;4;4;3;2;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|F8W809|F8W809_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reduct",21,19,19,19,11,17,8,7,11,17,8,7,11,17,8,7,38.5,38.5,38.5,70.905,649,649;498;648;568;548;482;460;175;103;139;70;72;53;44;494;501;523;524;338;306;463,0.0,63.611,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.26399,0.78378,22.073,51,30,Leave out requantified,0.20536,0.31156,0.16718,0.12944,0.72991,0.91268,0.20012,0.14661,22.836,17.938,116.46,85.033,13,19,10,9,4,7,10,9,Leave out requantified,Leave out requantified,Median,Median,21.4,38.4,13.9,18.2,3375400000,2738600000,636850000,930700000,765320000,165380000,1170000000,845750000,324250000,898550000,799980000,98566000,376180000,327530000,48653000,,,,10,2971;3693;4273;5896;7046;7145;7326;7349;8663;9885;11207;11208;13175;15186;15550;15585;15687;15801;16246,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3612;4459;4460;5163;7254;8638;8764;8765;8766;9006;9037;9038;10579;12005;13560;13561;15875;18313;18733;18784;18913;19044;19045;19558,8115;8116;9883;9884;9885;9886;9887;9888;11404;16014;16015;19164;19451;19452;19453;19454;19455;19456;19457;19964;20016;20017;20018;20019;20020;20021;20022;20023;23491;26547;26548;29896;29897;29898;29899;29900;29901;35043;40605;40606;40607;40608;41522;41660;41661;41949;41950;41951;42228;42229;42230;42231;43320;43321;43322,13707;13708;13709;16486;16487;16488;16489;16490;16491;16492;16493;19056;26538;26539;31793;32241;32242;32243;32244;32245;32246;32247;32248;32987;33063;33064;33065;33066;33067;33068;33069;33070;33071;33072;33073;33074;33075;33076;33077;38665;38666;38667;43462;43463;43464;43465;48992;48993;48994;48995;48996;48997;48998;48999;49000;57381;66937;66938;66939;66940;66941;66942;68453;68675;68676;68677;68678;68679;68680;69177;69178;69179;69180;69181;69182;69183;69184;69636;69637;69638;69639;69640;69641;69642;69643;69644;69645;69646;69647;69648;71305;71306;71307;71308;71309,13709;16490;19056;26538;31793;32242;32987;33073;38665;43465;48995;49000;57381;66937;68453;68677;69183;69639;71307,7,,274,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
HMOX2,-0.0776208728785583,0.91575280258357,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,8,4,4,4,1,4,1,1,1,4,1,1,1,4,1,1,20.3,20.3,20.3,36.032,316,316;229;238;370;110;130;131;132,0.0,17.79,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47549,1.0139,20.534,8,4,Leave out requantified,0.5018,0.45056,0.26259,0.34585,1.563,1.0139,0.29973,0.38734,,14.057,,97.499,1,4,1,2,0,1,1,2,Median,Leave out requantified,Median,Median,6.0,20.3,6.0,6.0,249760000,179450000,70312000,29652000,21118000,8533300,119410000,82523000,36883000,44944000,36093000,8851600,55757000,39713000,16044000,,,,12,2775;5961;10066;16333,True;True;True;True,3380;7328;7329;12226;19656,7622;16206;16207;16208;16209;16210;26992;43524,12898;26842;26843;26844;26845;26846;26847;26848;26849;26850;26851;44147;71678,12898;26849;44147;71678,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_13,quanti,quanti,quanti,quanti
EIF2B4,1.83669696167625,0.0498942220700653,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69,4;4;4;2;2;1,4;4;4;2;2;1,4;4;4;2;2;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,4,4,4,2,1,2,3,2,1,2,3,2,1,2,3,10.7,10.7,10.7,57.557,523,523;520;544;194;228;235,0.0,26.428,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.10809,0.12207,194.4,7,5,Median,1.1583,0.43715,0.10554,0.069882,3.831,1.107,0.11596,0.082434,166.4,,,30.977,2,1,1,3,1,0,1,3,Median,Median,Median,Median,4.4,2.1,4.4,8.4,323920000,263590000,60339000,75850000,34652000,41198000,32800000,23465000,9334600,72068000,70296000,1772200,143210000,135170000,8034000,,,,13,7979;11595;14654;15403,True;True;True;True,9785;14029;17629;18561,21729;30896;39052;39053;39054;39055;41153;41154,35822;50512;64311;64312;64313;64314;64315;64316;64317;64318;64319;67860;67861,35822;50512;64316;67860,,,,,-1;-1;-1;-1;-1;-1,protein_14,quanti,quanti,quanti,quanti
UCHL3,19.5337571341016,1.31508312659322e-07,P15374;A0A087WTB8;Q5TBK7,P15374;A0A087WTB8;Q5TBK7,2;2;2,2;2;2,2;2;2,Ubiquitin carboxyl-terminal hydrolase isozyme L3;Ubiquitin carboxyl-terminal hydrolase,sp|P15374|UCHL3_HUMAN Ubiquitin carboxyl-terminal hydrolase isozyme L3 OS=Homo sapiens OX=9606 GN=UCHL3 PE=1 SV=1;tr|A0A087WTB8|A0A087WTB8_HUMAN Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens OX=9606 GN=UCHL3 PE=1 SV=1;tr|Q5TBK7|Q5TBK7_HUMAN Ubiquit,3,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,10.0,10.0,10.0,26.182,230,230;194;228,0.012352,1.2374,,,By MS/MS,By MS/MS,,,,0,0,Median,,,,,,,,,,,,,0,0,0,0,0,0,0,0,Median,Median,Median,Median,0.0,0.0,6.1,10.0,34016000,34016000,0,0,0,0,0,0,0,19000000,19000000,0,15016000,15016000,0,,,,14,3793;12778,True;True,4574;15416,10146;34005;34006,16917;55627;55628,16917;55627,,,,,-1;-1;-1,protein_15,quanti,quanti,imputed MEC,imputed MEC
KHSRP,-0.784231977726083,0.0580847275404723,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,16;16;10;7;5;2,14;14;8;5;4;2,14;14;8;5;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,16,14,14,13,13,8,10,11,12,8,9,11,12,8,9,29.4,26.9,26.9,73.114,711,711;711;279;169;116;269,0.0,123.03,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4357,1.3378,19.919,42,20,Leave out requantified,0.39889,0.4807,0.14203,0.083136,1.412,1.338,0.17527,0.10352,14.577,13.055,96.751,96.135,11,12,9,10,2,1,8,9,Leave out requantified,Leave out requantified,Median,Median,25.2,26.4,15.6,20.4,3101700000,2293400000,808360000,1012900000,701330000,311590000,1158500000,772440000,386020000,499470000,435130000,64347000,430870000,384480000,46398000,,,,18,660;661;851;2268;4375;4376;5493;5867;5870;6019;7095;9900;10052;13127;13975;15303,False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True,774;775;776;1018;2759;5296;5297;6775;7219;7222;7223;7394;8697;12023;12209;15820;16827;18444,1783;1784;1785;1786;1787;1788;2359;2360;2361;2362;6302;11707;11708;11709;11710;14996;14997;15939;15940;15941;15942;15945;15946;15947;15948;15949;15950;16362;16363;16364;16365;19292;26578;26579;26580;26581;26962;26963;26964;26965;34916;34917;34918;34919;37174;37175;40906;40907,3018;3019;3020;3021;3022;3023;3024;3025;3026;3027;3028;3029;3030;3031;3032;3033;3034;3035;4009;4010;4011;4012;4013;10687;10688;19577;19578;19579;19580;24930;24931;24932;24933;26401;26402;26403;26404;26405;26406;26409;26410;26411;26412;26413;26414;26415;26416;26417;26418;26419;26420;27118;27119;27120;27121;27122;27123;32000;43512;43513;43514;43515;43516;43517;44109;44110;44111;44112;44113;44114;44115;44116;57157;57158;57159;57160;57161;57162;57163;61087;61088;61089;61090;61091;61092;61093;67471;67472;67473;67474,3020;3028;4010;10688;19577;19580;24932;26406;26410;27121;32000;43514;44109;57157;61088;67473,13,,251,,-1;-1;-1;-1;-1;-1,protein_19,quanti,quanti,quanti,quanti
PYCR2,0.130286709074706,0.771401112175881,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12,5;5;4;2;1;1,4;4;3;1;1;1,4;4;3;1;1;1,Pyrroline-5-carboxylate reductase 2,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,6,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,20.6,16.6,16.6,33.637,320,320;246;359;319;87;157,0.0,7.713,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.55665,1.4457,26.644,8,4,Leave out requantified,0.58045,0.4806,0.46349,0.53857,1.4289,1.2016,0.52458,0.63894,7.9277,35.738,193.26,207.82,2,2,2,2,0,0,2,2,Median,Median,Median,Median,11.2,14.7,12.8,8.8,220890000,117060000,103840000,31401000,19066000,12335000,59603000,40066000,19536000,55544000,29749000,25795000,74344000,28175000,46169000,,,,19,4354;9857;12521;13060;14842,True;True;False;True;True,5272;11973;15118;15119;15738;17888,11653;11654;26478;33347;33348;33349;33350;34728;34729;34730;34731;39651,19490;19491;19492;19493;43364;54515;54516;54517;54518;54519;54520;54521;54522;54523;54524;56841;56842;56843;56844;56845;56846;56847;56848;56849;56850;56851;56852;56853;56854;56855;56856;56857;56858;65324,19493;43364;54523;56844;65324,,,,,-1;-1;-1;-1;-1;-1,protein_20,quanti,quanti,quanti,quanti
HNRNPDL,-0.16502718553598,0.679119095378043,A0A087WU03,A0A087WU03,2,2,2,,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,40.4,40.4,40.4,6.7215,57,57,0.00061312,2.4736,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37448,0.98212,38.532,3,0,Plateau,0.33858,0.32527,,,1.0106,0.70866,,,,46.15,,,1,2,0,0,0,0,0,0,Median,Median,Median,Median,40.4,40.4,31.6,31.6,113980000,93920000,20058000,27175000,19945000,7229600,44137000,31308000,12829000,20936000,20936000,0,21732000,21732000,0,,,,22,9717;9718,True;True,11818;11819,26121;26122;26123;26124;26125,42768;42769;42770;42771;42772;42773;42774,42770;42772,,,,,-1,protein_23,quanti,quanti,quanti,quanti
