PWP1_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Gene_names,logFC (PWP1_vs_zCtl),P_Value (PWP1_vs_zCtl),isDifferential (PWP1_vs_zCtl),Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Gene_names,Fasta_headers,Peptides,Unique_peptides,Sequence_coverage____,Sequence_length
CDK1;CDC2,-0.5886664754,0.00357279004027514,0,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6;Q00526;K7ELV5;E7ESI2;G3V317,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6,13;13;8;7;2;2;2;1,13;13;8;7;2;2;2;1,11;11;6;5;0;0;0;0,Cyclin-dependent kinase 1,CDK1;CDC2,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|A0A087WZZ9|A0A087WZZ9_HUMAN Cycli",13,11,47.8,297
HDLBP,-0.1346543618,0.520743615737,0,Q00341;A0A024R4E5;H0Y394;H7C0A4;C9JIZ1;C9J5E5;C9JHZ8;C9JZI8;C9JES8;C9JHS7;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;H7C2D1;C9JHS9,Q00341;A0A024R4E5;H0Y394;H7C0A4;C9JIZ1;C9J5E5,7;7;4;4;4;4;3;3;3;3;2;2;2;2;2;2;2;1;1;1,7;7;4;4;4;4;3;3;3;3;2;2;2;2;2;2;2;1;1;1,7;7;4;4;4;4;3;3;3;3;2;2;2;2;2;2;2;1;1;1,Vigilin,HDLBP,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|H0Y394|H0Y394_HUMAN Vigilin (Fragment) O",7,7,7.3,1268
PSMA2,-0.1935593281,0.209461157940519,0,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,9;9;4;3;1,9;9;4;3;1,9;9;4;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,PSMA2,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,9,9,49.6,234
BAG6;BAT3,0.7077350142,0.00324291786757232,0,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Large proline-rich protein BAG6,BAG6;BAT3,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,2,2,2,1132
TAF15,-0.1417675586,0.320605932298563,0,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,4;4;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,TAF15,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,4,2,8.3,592
TXNRD1,0.0413287094,0.816123596903279,0,Q16881;E9PIR7;F8W809;A0A087WSW9;A0A182DWI3;A0A087WSY9;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8;A0A096LPD9;A0A182DWF2,Q16881;E9PIR7;F8W809;A0A087WSW9;A0A182DWI3;A0A087WSY9;E2QRB9;E9PKD3,18;18;18;18;18;18;15;10;5;5;4;4;3;2;1;1,18;18;18;18;18;18;15;10;5;5;4;4;3;2;1;1,17;17;17;17;17;17;14;9;4;4;3;3;3;2;0;0,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,"sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|E9PIR7|E9PIR7_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|F8W809|F8W809_HUMAN Thioredoxin reductase 1, c",18,17,38.4,649
HMOX2,0.051068623,0.661351016563378,0,P30519;A0A087WT44;I3L159;I3L1F5;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463;I3L276,P30519;A0A087WT44;I3L159;I3L1F5,7;7;6;6;2;2;2;2;1,7;7;6;6;2;2;2;2;1,7;7;6;6;2;2;2;2;1,Heme oxygenase 2,HMOX2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|A0A087WT44|A0A087WT44_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2,7,7,38,316
EIF2B4,-0.7840318776,0.243534520294613,0,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,4;4;4;1;1;1,4;4;4;1;1;1,4;4;4;1;1;1,Translation initiation factor eIF-2B subunit delta,EIF2B4,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,4,4,10.9,523
KHSRP,0.1842228566,0.122211397011064,0,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,18;18;11;8;5;2,16;16;9;6;4;2,16;16;9;6;4;2,Far upstream element-binding protein 2,KHSRP,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,18,16,36.6,711
PABPC1,-0.2687113188,0.122276264418673,0,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2;Q9H361;H0YBN4;E5RGH3;E5RJB9;H0YAP2;H0YB86;E5RH24;H0YB75;H0YAS6;H0YAS7;E5RHG7;H0YC10;E5RGC4;E5RFD8;Q96DU9,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2,30;30;29;28;16;14;11;8;8;8;7;7;4;4;3;3;2;1;1;1,30;30;29;28;16;14;11;8;8;8;7;7;4;4;3;3;2;1;1;1,15;15;15;15;10;10;3;1;0;7;5;0;3;3;2;0;2;0;0;0,Polyadenylate-binding protein 1;Polyadenylate-binding protein,PABPC1,sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;tr|A0A087WTT1|A0A087WTT1_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=1;tr|E7EQV3|E7EQV3_HUMAN Polyadenylate-binding protein ,30,15,46.9,636
HNRNPDL,-0.5161403021,0.0231274527314921,0,A0A087WU03,A0A087WU03,2,2,2,,HNRNPDL,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,2,2,40.4,57
