AMBRA1_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Gene_names,logFC (AMBRA1_vs_zCtl),P_Value (AMBRA1_vs_zCtl),isDifferential (AMBRA1_vs_zCtl),Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Gene_names,Fasta_headers,Peptides,Unique_peptides,Sequence_coverage____,Sequence_length
HDLBP,0.3623984134,0.19592861006956,0,Q00341;A0A024R4E5;C9JHS7;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHZ8;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;H7C0A4;H0Y394;C9JHS9,Q00341;A0A024R4E5;C9JHS7;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHZ8;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6,3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,Vigilin,HDLBP,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JHS7|C9JHS7_HUMAN Vigilin (Fragment) O",3,3,2.8,1268
PSMA2,2.1714816097,0.0387813833669739,1,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,9;9;4;2;1,9;9;4;2;1,9;9;4;2;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,PSMA2,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,9,9,53.4,234
BAG6;BAT3,1.1154468783,0.00914803386960152,1,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1;F6UR09;F6U1F2;F6XTU0;A0A0G2JJR8;A0A1B0GX79;F6WML8;F6VEM6;F6X9W3;F6U341,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,4;4;4;4;3;3;3;1;1;1;1;1;1;1;1;1,4;4;4;4;3;3;3;1;1;1;1;1;1;1;1;1,4;4;4;4;3;3;3;1;1;1;1;1;1;1;1;1,Large proline-rich protein BAG6,BAG6;BAT3,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JL47|A0A0G2JL47_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,4,4,4,1132
TAF15,0.1810035568,0.66298421881801,0,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9;A0A075B7F4,2;2;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,TAF15,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7F4|A0A075B7F4_HUMAN TA,2,2,5.9,592
TXNRD1,1.0090975376,0.0557383908153975,0,Q16881;A0A087WSY9;A0A182DWI3;E9PIR7;A0A087WSW9;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;A0A182DWF3;E9PRI8;D3YTF8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;E9PIR7;A0A087WSW9;F8W809;E2QRB9;E9PKD3,17;17;17;17;17;17;14;10;5;5;4;4;3;1;1;1;1;1;1;1,17;17;17;17;17;17;14;10;5;5;4;4;3;1;1;1;1;1;1;1,16;16;16;16;16;16;13;9;4;4;3;3;3;0;1;0;0;0;0;0,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,"sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",17,16,38.4,649
HMOX2,2.7319363439,0.00577924206392408,1,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,Heme oxygenase 2,HMOX2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,4,4,20.3,316
KHSRP,0.0116902251,0.962457915184773,0,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3;M0R251;M0QYG1;M0R263;M0R0C6,Q92945;A0A087WTP3;M0R0I5,18;18;10;7;5;3;1;1;1;1,15;15;8;5;4;2;0;0;0;0,15;15;8;5;4;2;0;0;0;0,Far upstream element-binding protein 2,KHSRP,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,18,15,33.1,711
PABPC1,0.3886247551,0.155040296456819,0,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2;Q9H361;H0YBN4;E5RGH3;E5RJB9;E5RH24;H0YAP2;H0YB86;H0YEQ8;Q4VXU2;E5RHG7;H0YAS6;H0YB75;H0YCC8;H0YAS7;Q5JQF8;E5RFD8;E5RGC4;Q96DU9;H0YC10,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2,31;31;30;29;18;13;10;9;9;8;8;8;4;4;3;3;3;3;2;2;1;1;1;1,31;31;30;29;18;13;10;9;9;8;8;8;4;4;3;3;3;3;2;2;1;1;1;1,18;18;17;17;12;9;3;3;3;3;8;5;0;3;1;2;2;0;1;1;1;1;1;1,Polyadenylate-binding protein 1;Polyadenylate-binding protein,PABPC1,sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;tr|A0A087WTT1|A0A087WTT1_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=1;tr|E7EQV3|E7EQV3_HUMAN Polyadenylate-binding protein ,31,18,46.2,636
