Gene_names,DCAF7_vs_BirA_logFC,DCAF7_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_R10K8_N1,Peptides_BirA_alone_R10K8_N2,Peptides_DCAF7_R10K8_N2_04_02,Peptides_DCAF7_R10K8_N2_20_01,Razor___unique_peptides_BirA_alone_R10K8_N1,Razor___unique_peptides_BirA_alone_R10K8_N2,Razor___unique_peptides_DCAF7_R10K8_N2_04_02,Razor___unique_peptides_DCAF7_R10K8_N2_20_01,Unique_peptides_BirA_alone_R10K8_N1,Unique_peptides_BirA_alone_R10K8_N2,Unique_peptides_DCAF7_R10K8_N2_04_02,Unique_peptides_DCAF7_R10K8_N2_20_01,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_R10K8_N1,Identification_type_BirA_alone_R10K8_N2,Identification_type_DCAF7_R10K8_N2_04_02,Identification_type_DCAF7_R10K8_N2_20_01,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_R10K8_N1,Ratio_H_L_BirA_alone_R10K8_N2,Ratio_H_L_DCAF7_R10K8_N2_04_02,Ratio_H_L_DCAF7_R10K8_N2_20_01,Ratio_H_L_normalized_BirA_alone_R10K8_N1,Ratio_H_L_normalized_BirA_alone_R10K8_N2,Ratio_H_L_normalized_DCAF7_R10K8_N2_04_02,Ratio_H_L_normalized_DCAF7_R10K8_N2_20_01,Ratio_H_L_variability_____BirA_alone_R10K8_N1,Ratio_H_L_variability_____BirA_alone_R10K8_N2,Ratio_H_L_variability_____DCAF7_R10K8_N2_04_02,Ratio_H_L_variability_____DCAF7_R10K8_N2_20_01,Ratio_H_L_count_BirA_alone_R10K8_N1,Ratio_H_L_count_BirA_alone_R10K8_N2,Ratio_H_L_count_DCAF7_R10K8_N2_04_02,Ratio_H_L_count_DCAF7_R10K8_N2_20_01,Ratio_H_L_iso_count_BirA_alone_R10K8_N1,Ratio_H_L_iso_count_BirA_alone_R10K8_N2,Ratio_H_L_iso_count_DCAF7_R10K8_N2_04_02,Ratio_H_L_iso_count_DCAF7_R10K8_N2_20_01,Ratio_H_L_type_BirA_alone_R10K8_N1,Ratio_H_L_type_BirA_alone_R10K8_N2,Ratio_H_L_type_DCAF7_R10K8_N2_04_02,Ratio_H_L_type_DCAF7_R10K8_N2_20_01,Sequence_coverage_BirA_alone_R10K8_N1____,Sequence_coverage_BirA_alone_R10K8_N2____,Sequence_coverage_DCAF7_R10K8_N2_04_02____,Sequence_coverage_DCAF7_R10K8_N2_20_01____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_R10K8_N1,Intensity_L_BirA_alone_R10K8_N1,Intensity_H_BirA_alone_R10K8_N1,Intensity_BirA_alone_R10K8_N2,Intensity_L_BirA_alone_R10K8_N2,Intensity_H_BirA_alone_R10K8_N2,Intensity_DCAF7_R10K8_N2_04_02,Intensity_L_DCAF7_R10K8_N2_04_02,Intensity_H_DCAF7_R10K8_N2_04_02,Intensity_DCAF7_R10K8_N2_20_01,Intensity_L_DCAF7_R10K8_N2_20_01,Intensity_H_DCAF7_R10K8_N2_20_01,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF7_R10K8_N2_04_02,metacell_Intensity_L_DCAF7_R10K8_N2_20_01,metacell_Intensity_L_BirA_alone_R10K8_N1,metacell_Intensity_L_BirA_alone_R10K8_N2
SERPINB6,1.08791737938584,0.300274385881834,P35237;A0A2R8YD12;A0A024QZX5;A0A087X1N8;A0A2R8Y6A7,P35237;A0A2R8YD12;A0A024QZX5;A0A087X1N8;A0A2R8Y6A7,4;4;4;4;2,4;4;4;4;2,4;4;4;4;2,Serpin B6,sp|P35237|SPB6_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=3;tr|A0A2R8YD12|A0A2R8YD12_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0A024QZX5|A0A024QZX5_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0,5,4,4,4,1,1,2,4,1,1,2,4,1,1,2,4,12.2,12.2,12.2,42.621,376,376;332;380;395;171,0.0,5.7801,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.41051,0.68796,26.059,7,4,Leave out requantified,0.416,0.55399,0.3409,0.41051,0.94878,1.0771,0.65316,0.68796,,,,26.059,1,1,1,4,1,1,1,1,Median,Median,Median,Leave out requantified,2.7,2.7,6.6,12.2,174710000,120550000,54164000,11834000,8098900,3734700,13509000,8089900,5418700,25555000,17413000,8141500,123820000,86947000,36869000,,,,0,4625;12548;14085;15713,True;True;True;True,5019;13702;15337;17098,13067;13068;36336;36337;36338;36339;40598;45068,26872;26873;74947;74948;74949;74950;83509;92566,26873;74948;83509;92566,,,,,-1;-1;-1;-1;-1,protein_1,quanti,quanti,quanti,quanti
HDLBP,0.632175491011449,0.0634331227446379,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JHS7;H0Y394;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JHS7,7;7;5;4;4;4;4;4;4;3;3;3;2;2;2;2;2;1;1,7;7;5;4;4;4;4;4;4;3;3;3;2;2;2;2;2;1;1,7;7;5;4;4;4;4;4;4;3;3;3;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JIZ1|C9JIZ1_HUMAN Vigilin (Fragment) O",19,7,7,7,3,3,6,4,3,3,6,4,3,3,6,4,6.8,6.8,6.8,141.45,1268,1268;1268;224;141;332;221;164;147;126;973;128;96;81;79;69;53;46;19;17,0.0,16.323,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.96254,2.233,26.807,17,6,Leave out requantified,0.70857,0.98858,0.86537,1.2111,2.2744,2.6272,1.9832,2.1408,35.092,20.988,23.052,18.175,3,3,7,4,0,1,4,1,Leave out requantified,Median,Leave out requantified,Leave out requantified,2.8,2.8,6.1,4.5,861520000,413330000,448190000,82838000,47807000,35031000,89520000,43745000,45775000,401100000,174810000,226290000,288050000,146970000,141090000,,,,1,617;1907;2074;7682;12496;16047;16993,True;True;True;True;True;True;True,657;2069;2244;8419;13640;17454;18459,1708;1709;5742;5743;6238;6239;6240;22144;36162;36163;36164;45972;45973;48697;48698;48699;48700;48701,3500;3501;3502;12228;12229;12230;13278;13279;13280;45806;74536;74537;74538;94443;100023;100024;100025;100026;100027;100028;100029;100030,3501;12230;13280;45806;74536;94443;100029,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2,quanti,quanti,quanti,quanti
PSMA2,-0.627749770218198,0.0661168966072857,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52;C9JCK5,10;10;5;3;1,10;10;5;3;1,10;10;5;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1;tr|C9JCK5|C9JCK5_HUMAN Proteasome endopeptidase complex ,5,10,10,10,7,8,6,5,7,8,6,5,7,8,6,5,49.6,49.6,49.6,25.898,234,234;234;164;48;36,0.0,20.601,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35057,0.98337,13.687,27,6,Leave out requantified,0.27664,0.35815,0.34016,0.48851,0.99254,0.99766,0.85748,0.85921,22.967,11.69,0.79123,15.54,7,8,7,5,1,0,4,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,35.5,41.5,35.5,32.5,2805200000,1969400000,835740000,447970000,344540000,103430000,617120000,451360000,165760000,948550000,692550000,256000000,791540000,480990000,310540000,,,,3,539;1910;7090;7240;9568;10169;12368;12600;16190;21469,True;True;True;True;True;True;True;True;True;True,576;2072;7737;7914;10474;11137;13504;13762;17607;23296,1489;1490;5748;5749;20253;20254;20739;20740;20741;20742;27629;27630;27631;27632;29497;29498;35818;36498;36499;36500;36501;36502;46415;46416;46417;61727;61728,3072;3073;12235;41689;41690;41691;41692;41693;41694;41695;41696;41697;42731;42732;42733;42734;42735;42736;42737;42738;42739;42740;42741;42742;42743;42744;42745;57363;57364;57365;57366;57367;61113;61114;61115;61116;73906;75297;75298;75299;75300;75301;75302;75303;75304;95448;95449;95450;95451;95452;95453;127632;127633;127634,3072;12235;41690;42733;57367;61116;73906;75301;95453;127633,,,,,-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
BAG6;BAT3,1.49159841454532,0.0171879605824675,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;X6REW1;A0A0G2JJM1;F6S6P2;H0Y7K4;H0Y759;A0A0G2JJ92;A0A0G2JIB3;A0A0G2JIA9,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;X6REW1;A0A0G2JJM1;F6S6P2,4;4;4;4;3;3;2;1;1;1;1;1,4;4;4;4;3;3;2;1;1;1;1;1,4;4;4;4;3;3;2;1;1;1;1;1,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JL47|A0A0G2JL47_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,12,4,4,4,1,2,3,4,1,2,3,4,1,2,3,4,4.2,4.2,4.2,119.41,1132,1132;1077;1126;1132;742;742;515;185;238;238;245;245,0.0,15.862,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.6533,1.4131,20.603,10,0,Leave out requantified,0.46795,0.62493,0.64335,0.85562,1.1676,1.3341,1.4255,1.4996,,9.0673,17.646,18.2,1,2,3,4,0,0,0,0,Median,Median,Leave out requantified,Leave out requantified,1.1,2.0,3.2,4.2,409170000,225320000,183850000,16787000,10550000,6236800,38951000,21741000,17210000,149710000,90201000,59507000,203730000,102830000,100900000,,,,5,844;10996;11329;20492,True;True;True;True,901;12031;12391;22254,2356;2357;31965;31966;31967;32992;32993;32994;32995;58985,4847;4848;4849;66294;66295;66296;66297;66298;66299;68370;68371;68372;68373;68374;68375;68376;68377;68378;68379;122108,4847;66295;68379;122108,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_6,quanti,quanti,quanti,quanti
TAF15,0.285984129420623,0.485445900334458,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,3;3;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,3,3,2,2,1,1,3,3,1,1,2,2,1,1,2,2,8.3,5.9,5.9,61.829,592,592;449;214,0.0,23.708,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43415,1.0301,13.623,10,1,Leave out requantified,0.31464,0.44007,0.38682,0.55496,1.1343,1.3016,1.0003,1.0176,,2.5173,7.717,13.405,1,2,3,4,0,0,0,1,Median,Median,Plateau,Median,2.9,2.9,8.3,8.3,1352100000,911010000,441100000,115510000,87691000,27820000,244970000,161260000,83710000,388950000,285500000,103440000,602680000,376550000,226130000,,,,10,129;5742;15990,True;False;True,133;6227;17395,315;316;317;318;319;320;16208;16209;45815;45816;45817;45818,653;654;655;656;657;658;659;660;661;662;663;664;33413;33414;94167;94168;94169;94170;94171;94172;94173,657;33413;94169,,,,,-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
TXNRD1,-0.477299408404711,0.0895007883106933,Q16881;E9PIR7;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PRI8;E9PKI4;E9PLT3;E9PQI3;Q9NNW7;A0A182DWF2;E7EWK1;D3YTF8;A0A182DWF3;A0A096LPD9;A0A096LPK7,Q16881;E9PIR7;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E2QRB9,21;21;21;21;21;21;19;10;5;4;3;3;3;2;1;1;1;1;1;1;1,21;21;21;21;21;21;19;10;5;4;3;3;3;2;1;1;1;1;1;1;1,21;21;21;21;21;21;19;10;5;4;3;3;3;2;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|E9PIR7|E9PIR7_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reduct",21,21,21,21,11,16,15,14,11,16,15,14,11,16,15,14,39.6,39.6,39.6,70.905,649,649;482;648;568;548;498;460;175;103;139;44;72;70;53;524;494;338;501;523;306;463,0.0,62.267,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37613,0.89391,22.453,64,16,Leave out requantified,0.2047,0.31134,0.40975,0.69429,0.71201,0.87662,1.0037,1.2515,22.365,18.504,20.455,14.15,13,18,17,16,3,7,4,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.0,34.2,36.2,33.1,6181300000,4163600000,2017600000,919710000,753310000,166400000,1149300000,831230000,318120000,2011100000,1392500000,618670000,2101100000,1186600000,914430000,,,,11,3946;4776;5011;5795;7925;7971;7972;9507;9637;9902;9930;13160;14798;14799;19003;19926;20438;20478;20616;20759;21351,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4290;5180;5428;6286;8672;8724;8725;10401;10550;10843;10874;14354;16107;16108;20606;21641;22184;22239;22391;22543;23164,11379;11380;13494;13495;14142;14143;14144;14145;14146;14147;14148;16351;16352;22727;22857;22858;22859;27437;27847;27848;27849;27850;27851;28613;28614;28713;28714;28715;28716;28717;28718;28719;28720;38039;38040;38041;42578;42579;42580;42581;42582;42583;54496;54497;57422;57423;57424;57425;58764;58765;58766;58951;58952;58953;58954;59340;59341;59342;59343;59794;59795;59796;59797;61394;61395;61396,23640;23641;27729;28998;28999;29000;29001;29002;29003;29004;29005;29006;29007;29008;29009;33700;33701;46993;47299;47300;47301;56939;57793;57794;57795;57796;57797;57798;57799;59250;59251;59252;59445;59446;59447;59448;59449;59450;59451;59452;59453;59454;59455;59456;59457;59458;59459;78388;78389;78390;78391;78392;78393;87643;87644;87645;87646;87647;87648;87649;87650;87651;87652;87653;87654;87655;112623;112624;112625;118900;118901;118902;118903;118904;118905;118906;118907;118908;121602;121603;121604;121605;121606;122048;122049;122050;122051;122052;122053;122054;122055;122056;122057;122058;122059;122841;122842;122843;122844;122845;122846;122847;122848;123699;123700;123701;123702;123703;123704;123705;123706;123707;123708;123709;123710;123711;123712;126865;126866;126867;126868;126869;126870,23641;27729;29008;33701;46993;47299;47300;56939;57798;59251;59458;78388;87646;87655;112624;118904;121605;122050;122844;123699;126867,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_12,quanti,quanti,quanti,quanti
HMOX2,0.939655875801531,0.222540630978453,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,5;5;5;5;1;1;1;1,5;5;5;5;1;1;1;1,5;5;5;5;1;1;1;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,8,5,5,5,1,4,3,4,1,4,3,4,1,4,3,4,28.5,28.5,28.5,36.032,316,316;229;238;370;110;130;131;132,0.0,7.3108,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.51608,1.1047,14.387,12,3,Leave out requantified,0.5018,0.45056,0.46805,0.6694,1.563,1.0139,1.2021,1.1892,,14.057,30.112,15.18,1,4,3,4,0,1,1,1,Median,Leave out requantified,Median,Leave out requantified,6.0,20.3,18.4,21.2,749980000,465860000,284120000,29652000,21118000,8533300,119410000,82523000,36883000,289060000,184590000,104460000,311860000,177630000,134240000,,,,13,1364;3615;8058;13366;21455,True;True;True;True;True,1474;3934;8815;14576;23281,4027;4028;10525;23135;23136;23137;23138;38576;38577;61682;61683;61684,8347;8348;8349;21899;47929;47930;47931;47932;47933;47934;47935;47936;47937;47938;47939;47940;47941;47942;47943;47944;47945;79380;79381;127528;127529;127530;127531,8348;21899;47937;79381;127531,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_14,quanti,quanti,quanti,quanti
EIF2B4,0.237072610841079,0.845496423331915,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,5;5;5;2;2;1,5;5;5;2;2;1,5;5;5;2;2;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,5,5,5,2,1,1,5,2,1,1,5,2,1,1,5,15.7,15.7,15.7,57.557,523,523;520;544;194;228;235,0.0,9.2662,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.59524,1.1995,24.121,9,2,Leave out requantified,1.1583,0.43715,0.39607,0.67273,3.831,1.107,0.91117,1.2004,166.4,,,24.119,2,1,1,5,1,0,0,1,Median,Median,Median,Leave out requantified,4.4,2.1,2.1,15.7,528320000,292330000,235980000,75850000,34652000,41198000,32800000,23465000,9334600,40154000,28013000,12141000,379510000,206200000,173310000,,,,14,10733;15267;16559;19282;20242,True;True;True;True;True,11749;16616;17998;20910;21974,31199;43806;47486;55343;55344;55345;55346;58246;58247,64774;90002;90003;90004;90005;90006;97613;97614;97615;114381;114382;114383;114384;114385;114386;114387;114388;120525;120526,64774;90002;97613;114384;120525,,,,,-1;-1;-1;-1;-1;-1,protein_15,quanti,quanti,quanti,quanti
NDUFS7,-0.0279489214062139,0.939618534057848,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial","sp|O75251|NDUS7_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS7 PE=1 SV=3;tr|F5H5N1|F5H5N1_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=ND",5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,9.4,9.4,9.4,23.563,213,213;182;214;214;236,0.0019305,2.4065,By MS/MS,By MS/MS,By MS/MS,By matching,0.71047,1.4557,16.41,4,0,Leave out requantified,0.57883,0.59369,0.68732,1.0787,1.3537,1.2412,1.5341,1.7423,,,,,1,1,1,1,0,0,0,0,Median,Median,Median,Median,5.2,5.2,4.2,4.2,110500000,60215000,50282000,14775000,8271000,6504300,17203000,9797200,7405800,46298000,27814000,18485000,32221000,14333000,17887000,,,,15,10296;21022,True;True,11281;22818,29994;29995;60486;60487,62239;62240;125073;125074,62240;125074,,,,,-1;-1;-1;-1;-1,protein_16,quanti,quanti,quanti,quanti
KHSRP,-0.729334360048281,0.0291019675936805,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,20;20;11;8;5;2,18;18;9;6;4;2,18;18;9;6;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,20,18,18,12,13,15,15,10,12,15,15,10,12,15,15,41.4,38.8,38.8,73.114,711,711;711;279;169;116;269,0.0,60.7,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.49902,1.2738,20.626,52,6,Leave out requantified,0.39889,0.4807,0.5237,0.6678,1.412,1.338,1.2337,1.2029,14.577,13.055,22.13,24.116,10,12,15,15,1,1,3,1,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,30.2,31.5,5342800000,3409500000,1933300000,976380000,671810000,304580000,1158500000,772440000,386020000,1555700000,988060000,567640000,1652300000,977220000,675090000,,,,18,810;811;866;1055;2756;5924;5925;5936;7428;7558;7937;7941;8134;9570;13176;13349;13517;17236;18355;20098,False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,867;868;923;1133;3003;6433;6434;6447;8143;8290;8686;8690;8897;10476;14372;14559;14742;18714;19909;21824,2264;2265;2266;2267;2268;2406;2407;3037;3038;3039;3040;8251;8252;8253;16786;16787;16788;16819;21386;21387;21388;21389;21791;21792;22762;22763;22764;22765;22771;22772;22773;22774;23367;23368;23369;23370;27636;27637;38076;38077;38078;38079;38545;38546;38547;38548;39039;49387;49388;49389;49390;52565;52566;52567;52568;57884;57885;57886,4680;4681;4682;4683;4684;4685;4686;4687;4688;4689;4690;4691;4692;4693;4694;4695;4696;4964;6333;6334;6335;6336;6337;6338;17305;17306;17307;17308;34692;34693;34694;34764;44276;44277;44278;44279;44280;44281;44282;44283;44284;44285;44286;44287;44288;45108;45109;47079;47080;47081;47082;47083;47084;47085;47086;47091;47092;47093;47094;47095;47096;47097;47098;47099;47100;47101;47102;47103;47104;48449;48450;48451;48452;48453;48454;48455;48456;48457;48458;57373;57374;57375;57376;78455;78456;78457;78458;78459;78460;78461;79331;79332;79333;79334;79335;79336;79337;79338;79339;79340;80269;101428;101429;101430;101431;101432;101433;101434;101435;101436;108275;108276;108277;108278;108279;108280;108281;108282;108283;108284;119910;119911;119912,4681;4682;4964;6335;17306;34692;34694;34764;44287;45109;47082;47097;48452;57376;78456;79335;80269;101432;108277;119910,,,,,-1;-1;-1;-1;-1;-1,protein_19,quanti,quanti,quanti,quanti
