Gene_names,CIAO1_vs_BirA_logFC,CIAO1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_CIAO1_N1,Peptides_CIAO1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_CIAO1_N1,Razor___unique_peptides_CIAO1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_CIAO1_N1,Unique_peptides_CIAO1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_CIAO1_N1,Identification_type_CIAO1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_CIAO1_N1,Ratio_H_L_CIAO1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_CIAO1_N1,Ratio_H_L_normalized_CIAO1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____CIAO1_N1,Ratio_H_L_variability_____CIAO1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_CIAO1_N1,Ratio_H_L_count_CIAO1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_CIAO1_N1,Ratio_H_L_iso_count_CIAO1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_CIAO1_N1,Ratio_H_L_type_CIAO1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_CIAO1_N1____,Sequence_coverage_CIAO1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_CIAO1_N1,Intensity_L_CIAO1_N1,Intensity_H_CIAO1_N1,Intensity_CIAO1_N2,Intensity_L_CIAO1_N2,Intensity_H_CIAO1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_CIAO1_N1,metacell_Intensity_L_CIAO1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
CDK1;CDC2,-0.760765657122793,0.0249577346876077,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6;Q00526;K7ELV5;E7ESI2;G3V317,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6,12;12;8;7;2;2;2;1,12;12;8;7;2;2;2;1,10;10;6;5;0;0;0;0,Cyclin-dependent kinase 1,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|A0A087WZZ9|A0A087WZZ9_HUMAN Cycli",8,12,12,10,11,11,6,5,11,11,6,5,9,9,4,3,43.8,43.8,41.1,34.095,297,297;297;224;189;305;164;238;39,0.0,21.35,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.68779,2.146,19.747,35,13,Leave out requantified,0.64048,0.73456,0.25943,0.099524,2.3004,2.0284,0.29748,0.11896,24.043,11.96,103.8,77.417,12,12,6,5,1,1,6,5,Leave out requantified,Leave out requantified,Median,Median,38.7,38.7,22.6,17.5,1847400000,1213700000,633690000,592900000,339920000,252980000,707270000,409400000,297870000,289050000,241250000,47791000,258140000,223090000,35052000,,,,0,505;1118;6042;6043;6689;7460;7662;9877;9878;9990;10257;13003,True;True;True;True;True;True;True;True;True;True;True;True,595;1380;7496;7497;8274;9219;9498;9499;12126;12127;12259;12569;15777,1400;1401;1402;1403;3262;3263;17276;17277;17278;17279;17280;17281;19119;19120;19121;21217;21879;21880;21881;21882;21883;21884;21885;27965;27966;27967;27968;27969;28279;28280;28977;28978;36406;36407;36408;36409;36410,2392;2393;2394;2395;5479;5480;5481;28554;28555;28556;28557;28558;28559;28560;28561;28562;28563;28564;28565;28566;31668;31669;31670;31671;31672;31673;31674;35102;36109;36110;36111;36112;36113;36114;36115;36116;36117;36118;36119;36120;36121;36122;36123;45845;45846;45847;45848;45849;45850;45851;45852;45853;45854;45855;46340;46341;46342;46343;46344;46345;47479;47480;47481;47482;47483;47484;59598;59599;59600;59601;59602;59603;59604;59605,2392;5480;28555;28566;31673;35102;36118;45849;45855;46345;47480;59602,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_1,quanti,quanti,quanti,quanti
HDLBP,-0.885502658172435,0.0785496158860704,Q00341;A0A024R4E5;C9JHZ8;H0Y394;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JHZ8;H0Y394;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6,4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1,4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1,4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JHZ8|C9JHZ8_HUMAN Vigilin (Fragment) O",19,4,4,4,3,3,2,2,3,3,2,2,3,3,2,2,3.8,3.8,3.8,141.45,1268,1268;1268;141;973;332;224;221;164;147;128;126;96;81;79;69;53;46;19;17,0.0,7.3288,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.807,2.4444,33.174,9,4,Leave out requantified,0.70857,0.98858,0.20376,0.23756,2.2744,2.6272,0.21457,0.25799,35.092,20.988,15.55,,3,3,2,1,0,1,2,1,Leave out requantified,Median,Median,Median,2.8,2.8,2.1,2.1,242860000,147430000,95432000,82838000,47807000,35031000,89520000,43745000,45775000,48189000,37950000,10240000,22313000,17928000,4385600,,,,2,514;9602;12453;13230,True;True;True;True,606;11794;15130;16028,1426;1427;27162;27163;34831;34832;36981;36982;36983;36984,2429;2430;44432;44433;56943;60475;60476;60477;60478;60479;60480;60481,2429;44433;56943;60478,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
PSMA2,-1.41855409119554,0.00272401562887495,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,9;9;4;3;1,9;9;4;3;1,9;9;4;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,9,9,9,8,8,3,4,8,8,3,4,8,8,3,4,49.6,49.6,49.6,25.898,234,234;234;164;48;36,0.0,22.095,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32559,0.97921,12.356,25,9,Leave out requantified,0.2832,0.35815,0.092339,0.08299,0.91895,0.99766,0.098495,0.099226,20.977,11.69,197.2,28.318,8,8,4,5,1,0,3,5,Leave out requantified,Leave out requantified,Median,Median,41.5,41.5,20.9,29.1,1557800000,1148600000,409220000,483000000,371200000,111810000,617120000,451360000,165760000,306150000,186270000,119880000,151530000,139760000,11776000,,,,4,444;1578;5417;5530;7343;9509;9683;12588;16684,True;True;True;True;True;True;True;True;True,527;1949;6697;6698;6856;6857;9067;11686;11900;15286;20183,1241;1242;4703;4704;15437;15438;15439;15440;15831;15832;15833;15834;15835;15836;20885;20886;26930;26931;27418;27419;27420;27421;35220;35221;46795,2128;2129;8022;25482;25483;25484;25485;25486;25487;25488;25489;25490;25491;26158;26159;26160;26161;26162;26163;26164;26165;26166;26167;26168;34627;44100;44909;44910;44911;44912;44913;44914;44915;57582;57583;57584;57585;77037,2128;8022;25483;26158;34627;44100;44909;57585;77037,,,,,-1;-1;-1;-1;-1,protein_5,quanti,quanti,quanti,quanti
BAG6;BAT3,1.99934644563888,0.00410061913713935,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,3;3;3;3;2;2;2,3;3;3;3;2;2;2,3;3;3;3;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JL47|A0A0G2JL47_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,7,3,3,3,1,2,3,3,1,2,3,3,1,2,3,3,3.2,3.2,3.2,119.41,1132,1132;1077;1126;1132;515;742;742,0.0,12.103,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.47882,0.55014,91.87,8,5,Median,0.46795,0.62493,0.55128,0.36024,1.1676,1.3341,0.60326,0.37565,,9.0673,89.856,40.92,1,2,3,2,0,0,3,2,Median,Median,Plateau,Median,1.1,2.0,3.2,3.2,223710000,160790000,62920000,16787000,10550000,6236800,38951000,21741000,17210000,97035000,71814000,25221000,70941000,56689000,14252000,,,,5,702;8447;8705,True;True;True,834;10441;10754,1984;1985;24111;24112;24113;24856;24857;24858;24859,3326;3327;39774;39775;39776;39777;40920;40921;40922;40923;40924;40925;40926;40927;40928,3327;39777;40924,,,,,-1;-1;-1;-1;-1;-1;-1,protein_6,quanti,quanti,quanti,quanti
TAF15,-0.278350812791633,0.505855757250572,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9;A0A075B7F4,2;2;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7F4|A0A075B7F4_HUMAN TA,3,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,5.9,5.9,5.9,61.829,592,592;449;214,0.0,3.4662,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.1628,0.17093,148.15,8,5,Median,0.31464,0.44007,0.11085,0.07545,1.1343,1.3016,0.11808,0.080829,,2.5173,63.045,120.83,1,2,3,2,0,0,3,2,Median,Median,Median,Median,2.9,2.9,5.9,5.9,595310000,466260000,129060000,115510000,87691000,27820000,244970000,161260000,83710000,153010000,142300000,10712000,81829000,75014000,6815100,,,,10,103;12410,True;True,114;15082,257;258;259;260;261;262;34720;34721,424;425;426;427;428;429;430;431;432;433;56800;56801,429;56801,,,,,-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
TXNRD1,0.0415704001912012,0.864975385904916,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,18;18;18;18;18;18;15;11;6;6;4;4;3;1;1;1;1;1;1;1;1,18;18;18;18;18;18;15;11;6;6;4;4;3;1;1;1;1;1;1;1;1,18;18;18;18;18;18;15;11;6;6;4;4;3;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",21,18,18,18,11,17,11,12,11,17,11,12,11,17,11,12,38.4,38.4,38.4,70.905,649,649;648;568;548;482;498;460;175;103;139;70;72;53;501;523;44;494;524;338;306;463,0.0,97.233,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.26399,0.74862,38.799,59,37,Leave out requantified,0.20536,0.31156,0.075847,0.13331,0.72991,0.91268,0.11761,0.15743,22.836,17.938,67.897,98.989,12,19,12,16,3,7,11,16,Leave out requantified,Leave out requantified,Median,Median,21.4,38.4,25.4,24.2,3934000000,3299800000,634230000,897440000,739040000,158400000,1170000000,845750000,324250000,915510000,869210000,46299000,951070000,845790000,105280000,,,,11,3057;3822;4418;6079;7390;7574;7599;8920;10155;11502;11503;13486;15523;15869;15904;16006;16119;16585,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3758;4666;4667;5401;7541;9131;9373;9374;9375;9408;9409;11005;12442;14018;14019;16321;18806;19214;19270;19398;19399;19532;19533;20071,8808;8809;10774;10775;10776;10777;10778;10779;10780;12430;17374;17375;21055;21056;21057;21058;21591;21592;21593;21594;21660;21661;21662;21663;21664;21665;21666;25436;28707;28708;32301;32302;32303;32304;32305;32306;37678;43619;43620;43621;43622;44576;44577;44724;44725;44726;44727;45019;45020;45021;45022;45023;45024;45340;45341;45342;45343;45344;45345;46538;46539;46540;46541,14770;14771;14772;17880;17881;17882;17883;17884;17885;17886;17887;17888;17889;20680;28755;28756;34885;34886;34887;34888;34889;35648;35649;35650;35651;35755;35756;35757;35758;35759;35760;35761;35762;35763;35764;35765;41885;41886;41887;47062;47063;47064;52959;52960;52961;52962;52963;52964;52965;52966;52967;61665;71915;71916;71917;71918;71919;73515;73516;73749;73750;73751;73752;73753;73754;73755;73756;74268;74269;74270;74271;74272;74273;74274;74275;74276;74277;74769;74770;74771;74772;74773;74774;74775;74776;74777;74778;74779;74780;74781;74782;76584;76585;76586;76587;76588;76589,14772;17883;20680;28755;34885;35649;35761;41886;47064;52964;52967;61665;71918;73515;73756;74268;74771;76586,3,,274,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_12,quanti,quanti,quanti,quanti
EIF2B4,1.6165197453651,0.101948318692483,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69,6;6;6;3;3;1,6;6;6;3;3;1,6;6;6;3;3;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,6,6,6,2,1,2,6,2,1,2,6,2,1,2,6,17.2,17.2,17.2,57.557,523,523;520;544;194;228;235,0.0,20.909,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.2338,0.26026,146.62,11,9,Median,1.1583,0.43715,0.10658,0.20407,3.831,1.107,0.1128,0.2462,166.4,,72.846,69.879,2,1,2,6,1,0,2,6,Median,Median,Median,Median,4.4,2.1,6.1,17.2,358750000,276020000,82736000,75850000,34652000,41198000,32800000,23465000,9334600,55170000,50800000,4370100,194930000,167100000,27833000,,,,14,8240;11671;11866;15004;15734;16003,True;True;True;True;True;True,10195;14224;14466;18131;19050;19395,23536;32768;32769;33290;41979;41980;41981;41982;44205;44206;45015,38793;38794;53665;53666;54487;54488;69146;69147;69148;69149;69150;69151;69152;69153;69154;72910;72911;74263,38793;53665;54488;69146;72910;74263,,,,,-1;-1;-1;-1;-1;-1,protein_15,quanti,quanti,quanti,quanti
KHSRP,-1.25288307813285,0.0073888290409208,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3;M0R251;M0QYG1;M0R263;M0R0C6,Q92945;A0A087WTP3;M0R0I5,17;17;9;7;5;3;1;1;1;1,14;14;7;5;4;2;0;0;0;0,14;14;7;5;4;2;0;0;0;0,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,10,17,14,14,13,13,10,8,11,12,9,7,11,12,9,7,30.1,25.3,25.3,73.114,711,711;711;279;169;116;269;79;114;143;176,0.0,113.48,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43922,1.3378,13.574,38,18,Leave out requantified,0.39889,0.4807,0.11338,0.20045,1.412,1.338,0.11992,0.2053,14.577,13.055,84.163,110.27,11,12,8,7,2,1,8,7,Leave out requantified,Leave out requantified,Median,Median,25.2,26.4,17.3,14.1,2937000000,2140900000,796100000,1012900000,701330000,311590000,1158500000,772440000,386020000,473550000,406710000,66843000,292050000,260400000,31647000,,,,17,678;679;867;2058;2283;4524;4526;5673;5777;6051;6054;6207;10166;10318;13439;14287;15631,False;False;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True,806;807;1048;2538;2811;5543;5545;7055;7056;7194;7506;7509;7510;7693;12455;12640;16270;17276;18928,1905;1906;1907;1908;1909;2514;2515;2516;2517;6116;6117;6718;12792;12793;12795;12796;16299;16300;16301;16302;16619;17301;17302;17305;17306;17307;17308;17309;17755;17756;17757;17758;28736;28737;28738;28739;29132;29133;29134;29135;37537;37538;37539;37540;39913;39914;43938,3207;3208;3209;3210;3211;3212;3213;3214;3215;3216;3217;3218;3219;3220;3221;3222;3223;4272;4273;4274;4275;4276;10474;10475;11394;11395;21292;21293;21295;21296;26996;26997;26998;26999;27000;27001;27481;28606;28607;28608;28609;28612;28613;28614;28615;28616;28617;28618;28619;28620;28621;28622;29405;29406;29407;29408;29409;29410;47110;47111;47112;47113;47114;47115;47728;47729;47730;47731;47732;47733;47734;47735;61416;61417;61418;61419;61420;61421;61422;61423;65587;65588;65589;65590;65591;65592;65593;72487;72488,3208;3216;4273;10474;11395;21292;21296;26998;27481;28607;28614;29408;47115;47735;61416;65588;72488,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_18,quanti,quanti,quanti,quanti
PYCR2,-0.737407147256917,0.319244498007244,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12,5;5;4;2;1;1,4;4;3;1;1;1,4;4;3;1;1;1,Pyrroline-5-carboxylate reductase 2,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,6,5,4,4,3,3,2,3,2,2,1,2,2,2,1,2,20.6,16.6,16.6,33.637,320,320;246;359;319;87;157,0.0,6.0535,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.55665,1.4457,26.644,7,3,Leave out requantified,0.58045,0.4806,0.19705,0.19681,1.4289,1.2016,0.2178,0.22087,7.9277,35.738,,74.817,2,2,1,2,0,0,1,2,Median,Median,Median,Median,11.2,14.7,9.1,12.8,140940000,97771000,43166000,31401000,19066000,12335000,59603000,40066000,19536000,13513000,11068000,2444700,36421000,27571000,8849600,,,,19,4498;10128;12806;13373;15193,True;True;False;True;True,5511;12413;15550;15551;16195;18387,12723;28643;35853;35854;35855;35856;35857;37349;37350;37351;37352;42614,21187;46959;58631;58632;58633;58634;58635;58636;58637;58638;58639;58640;58641;58642;58643;58644;61100;61101;61102;61103;61104;61105;61106;61107;61108;61109;61110;61111;61112;61113;70235,21187;46959;58639;61103;70235,,,,,-1;-1;-1;-1;-1;-1,protein_20,quanti,quanti,quanti,quanti
HNRNPDL,0.736210214855156,0.266184760847995,A0A087WU03,A0A087WU03,2,2,2,,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,1,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,40.4,40.4,40.4,6.7215,57,57,0.045037,1.0142,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27264,0.51135,108.8,5,1,Median,0.33858,0.32527,0.11126,,1.0106,0.70866,0.12017,,,46.15,37.256,,1,2,2,0,0,0,1,0,Median,Median,Median,Median,40.4,40.4,40.4,31.6,182870000,155420000,27451000,27175000,19945000,7229600,44137000,31308000,12829000,87562000,80169000,7393100,23998000,23998000,0,,,,22,9986;9987,True;True,12255;12256,28268;28269;28270;28271;28272;28273,46325;46326;46327;46328;46329;46330;46331;46332,46325;46329,,,,,-1,protein_23,quanti,quanti,quanti,quanti
