DCAF6_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Gene_names,logFC (DCAF6_vs_zBirA),P_Value (DCAF6_vs_zBirA),isDifferential (DCAF6_vs_zBirA),Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Gene_names,Fasta_headers,Peptides,Unique_peptides,Sequence_coverage____,Sequence_length
HDLBP,-0.263299805,0.166116037596229,0,Q00341;A0A024R4E5;H0Y394;C9JHZ8;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;H0Y394,5;5;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1,5;5;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1,5;5;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1,Vigilin,HDLBP,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|H0Y394|H0Y394_HUMAN Vigilin (Fragment) O",5,5,4.5,1268
PSMA2,0.0630590231,0.824674974687455,0,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,11;11;4;3;1,11;11;4;3;1,11;11;4;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,PSMA2,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,11,11,53.8,234
BAG6;BAT3,0.5899140843,0.0052372310456341,0,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1;F6UR09;F6U1F2;F6XTU0;A0A0G2JJR8;A0A1B0GX79;F6WML8;F6VEM6;F6X9W3;F6U341,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,4;4;4;4;3;3;3;1;1;1;1;1;1;1;1;1,4;4;4;4;3;3;3;1;1;1;1;1;1;1;1;1,4;4;4;4;3;3;3;1;1;1;1;1;1;1;1;1,Large proline-rich protein BAG6,BAG6;BAT3,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JL47|A0A0G2JL47_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,4,4,4.5,1132
TAF15,0.0828801405,0.545642786276755,0,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,5;5;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,TAF15,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,5,2,7.6,592
TXNRD1,0.3286990305,0.122407254100381,0,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,18;18;18;18;18;18;15;10;5;5;4;4;3;1;1;1;1;1;1;1;1,18;18;18;18;18;18;15;10;5;5;4;4;3;1;1;1;1;1;1;1;1,18;18;18;18;18;18;15;10;5;5;4;4;3;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,"sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",18,18,41.9,649
HMOX2,-0.4366231618,0.0749977710587872,0,P30519;I3L159;I3L1F5;A0A087WT44;I3L276;I3L4P8;A0A1B0GXH0;I3L463;I3L1Y2,P30519;I3L159;I3L1F5;A0A087WT44,5;5;5;5;2;2;2;2;1,5;5;5;5;2;2;2;2;1,5;5;5;5;2;2;2;2;1,Heme oxygenase 2,HMOX2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,5,5,21.5,316
EIF2B4,-0.9721952481,0.162399831731964,0,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,5;5;5;2;2;1,5;5;5;2;2;1,5;5;5;2;2;1,Translation initiation factor eIF-2B subunit delta,EIF2B4,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,5,5,13.2,523
KHSRP,0.0601552685,0.606636903358944,0,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,22;22;13;8;5;2,20;20;11;6;4;2,20;20;11;6;4;2,Far upstream element-binding protein 2,KHSRP,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,22,20,35.7,711
