Gene_names,SMU1_vs_BirA_logFC,SMU1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_SMU1_N1,Peptides_SMU1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_SMU1_N1,Razor___unique_peptides_SMU1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_SMU1_N1,Unique_peptides_SMU1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_SMU1_N1,Identification_type_SMU1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_SMU1_N1,Ratio_H_L_SMU1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_SMU1_N1,Ratio_H_L_normalized_SMU1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____SMU1_N1,Ratio_H_L_variability_____SMU1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_SMU1_N1,Ratio_H_L_count_SMU1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_SMU1_N1,Ratio_H_L_iso_count_SMU1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_SMU1_N1,Ratio_H_L_type_SMU1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_SMU1_N1____,Sequence_coverage_SMU1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_SMU1_N1,Intensity_L_SMU1_N1,Intensity_H_SMU1_N1,Intensity_SMU1_N2,Intensity_L_SMU1_N2,Intensity_H_SMU1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_SMU1_N1,metacell_Intensity_L_SMU1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
CDK1;CDC2,-0.63675800945758,0.0382784867923932,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6;Q00526;K7ELV5;E7ESI2;G3V317,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6,13;13;8;7;2;2;2;1,13;13;8;7;2;2;2;1,11;11;6;5;0;0;0;0,Cyclin-dependent kinase 1,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|A0A087WZZ9|A0A087WZZ9_HUMAN Cycli",8,13,13,11,11,11,6,6,11,11,6,6,9,9,4,4,47.8,47.8,45.1,34.095,297,297;297;224;189;305;164;238;39,0.0,23.525,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.68779,2.146,19.747,34,12,Leave out requantified,0.64048,0.73456,0.36228,0.16252,2.3004,2.0284,0.46655,0.16835,24.043,11.96,50.14,90.782,12,12,4,6,1,1,4,6,Leave out requantified,Leave out requantified,Linear,Median,38.7,38.7,21.5,23.2,1981400000,1328600000,652800000,592900000,339920000,252980000,707270000,409400000,297870000,330560000,273970000,56592000,350650000,305290000,45359000,,,,0,504;1119;6249;6250;6919;7720;7929;10231;10232;10356;10645;11328;13481,True;True;True;True;True;True;True;True;True;True;True;True;True,613;1434;8004;8005;8832;9854;10150;10151;12961;12962;13106;13460;14260;16879,1465;1466;1467;1468;3437;3438;18410;18411;18412;18413;18414;18415;20333;20334;20335;20336;22573;23293;23294;23295;23296;23297;23298;23299;29727;29728;29729;29730;30059;30060;30828;30829;32619;32620;38603;38604;38605;38606,2470;2471;2472;2473;5718;5719;5720;30026;30027;30028;30029;30030;30031;30032;30033;30034;30035;30036;30037;30038;30039;33233;33234;33235;33236;33237;33238;33239;33240;33241;36870;37970;37971;37972;37973;37974;37975;37976;37977;37978;37979;37980;37981;37982;37983;48040;48041;48042;48043;48044;48045;48046;48047;48566;48567;48568;48569;48570;48571;49803;49804;49805;49806;49807;49808;52685;52686;52687;62443;62444;62445;62446;62447;62448;62449,2473;5719;30027;30039;33241;36870;37979;48044;48047;48571;49804;52685;62447,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_1,quanti,quanti,quanti,quanti
HDLBP,-0.727633321436976,0.308181838144929,Q00341;A0A024R4E5;C9JHZ8;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHS7;H0Y394;H7C0A4;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JHZ8;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHS7,5;5;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1,5;5;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1,5;5;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JHZ8|C9JHZ8_HUMAN Vigilin (Fragment) O",19,5,5,5,3,3,1,4,3,3,1,4,3,3,1,4,6.2,6.2,6.2,141.45,1268,1268;1268;141;224;221;164;147;126;973;332;128;96;81;79;69;53;46;19;17,0.0,7.1362,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.83619,2.4444,31.541,11,5,Leave out requantified,0.70857,0.98858,0.21131,0.27479,2.2744,2.6272,0.23916,0.29869,35.092,20.988,,122.36,3,3,1,4,0,1,1,3,Leave out requantified,Median,Median,Median,2.8,2.8,1.2,5.3,272990000,168940000,104050000,82838000,47807000,35031000,89520000,43745000,45775000,20515000,18969000,1545400,80114000,58419000,21695000,,,,2,513;2651;9936;12916;13703,True;True;True;True;True,624;3401;12597;16183;17133,1492;8045;28910;28911;36942;36943;36944;39213;39214;39215;39216,2513;13484;46629;46630;59679;63374;63375;63376;63377;63378;63379;63380;63381;63382,2513;13484;46630;59679;63378,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
PSMA2,-1.45576275120922,0.113382334551308,P25787;A0A024RA52;H3BT36;C9JCK5;H7C402,P25787;A0A024RA52,8;8;3;3;1,8;8;3;3;1,8;8;3;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,8,8,8,8,8,4,2,8,8,4,2,8,8,4,2,41.5,41.5,41.5,25.898,234,234;234;48;164;36,0.0,20.365,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32559,0.97921,12.356,23,7,Leave out requantified,0.2832,0.35815,0.106,0.14353,0.91895,0.99766,0.11531,0.14522,20.977,11.69,138.26,123.7,8,8,5,2,1,0,4,2,Leave out requantified,Leave out requantified,Median,Median,41.5,41.5,30.3,15.0,1645700000,1268600000,377030000,483000000,371200000,111810000,617120000,451360000,165760000,446940000,354910000,92031000,98591000,91162000,7429900,,,,3,447;1606;5576;5697;7595;9846;10025;13056,True;True;True;True;True;True;True;True,546;2050;7125;7294;7295;9684;12493;12714;16352,1297;1298;4938;4939;16424;16425;16426;16829;16830;16831;16832;16833;22221;22222;22223;28667;28668;29173;29174;29175;29176;37349;37350,2198;2199;8362;26817;26818;26819;26820;26821;26822;26823;26824;26825;27507;27508;27509;27510;27511;27512;27513;27514;27515;36336;36337;46291;47105;47106;47107;47108;47109;47110;60338;60339;60340;60341,2198;8362;26818;27507;36336;46291;47105;60341,,,,,-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
BAG6;BAT3,0.988775439072853,0.210556824990119,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,3;3;3;3;2;2;2,3;3;3;3;2;2;2,3;3;3;3;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JL47|A0A0G2JL47_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,7,3,3,3,1,2,3,1,1,2,3,1,1,2,3,1,3.2,3.2,3.2,119.41,1132,1132;1077;1126;1132;515;742;742,0.0,10.985,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.46795,0.67756,89.67,7,4,Median,0.46795,0.62493,0.38632,0.17333,1.1676,1.3341,0.43849,0.19348,,9.0673,73.503,,1,2,3,1,0,0,3,1,Median,Median,Median,Median,1.1,2.0,3.2,0.9,176580000,116440000,60145000,16787000,10550000,6236800,38951000,21741000,17210000,98626000,63466000,35160000,22219000,20680000,1538700,,,,5,708;8739;9013,True;True;True,873;11147;11496,2092;25685;25686;25687;26482;26483;26484,3472;41773;41774;41775;42975;42976;42977;42978;42979;42980,3472;41774;42979,,,,,-1;-1;-1;-1;-1;-1;-1,protein_6,quanti,quanti,quanti,quanti
DMD,21.3357213909496,9.95293197538124e-06,P11532;A0A087WV90;A0A5H1ZRP8;A0A087WTU7;A0A075B6G3,P11532;A0A087WV90;A0A5H1ZRP8;A0A087WTU7;A0A075B6G3,4;4;4;4;4,4;4;4;4;4,4;4;4;4;4,Dystrophin,sp|P11532|DMD_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=3;tr|A0A087WV90|A0A087WV90_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=1;tr|A0A5H1ZRP8|A0A5H1ZRP8_HUMAN Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=1;tr|A0A087WTU7|A0A0,5,4,4,4,0,0,3,1,0,0,3,1,0,0,3,1,1.7,1.7,1.7,426.74,3685,3685;3680;3681;3684;3685,0.050022,0.90632,,,By MS/MS,By MS/MS,0.042533,0.044232,55.137,4,4,Median,,,0.047746,0.037889,,,0.052165,0.037505,,,61.613,,0,0,3,1,0,0,3,1,Median,Median,Median,Median,0.0,0.0,1.5,0.2,178550000,170530000,8020800,0,0,0,0,0,0,144080000,138480000,5599700,34468000,32047000,2421100,,,,8,415;7571;9194;9440,True;True;True;True,509;9650;11709;12008,1217;22131;26977;27601,2076;36183;36184;43806;44684,2076;36183;43806;44684,,,,,-1;-1;-1;-1;-1,protein_9,quanti,quanti,imputed MEC,imputed MEC
TAF15,-0.350422687646841,0.446145951688232,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9;A0A075B7F4,2;2;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7F4|A0A075B7F4_HUMAN TA,3,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,5.9,5.9,5.9,61.829,592,592;449;214,0.0,3.4812,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.15493,0.16574,131.84,8,5,Median,0.31464,0.44007,0.15375,0.14602,1.1343,1.3016,0.16502,0.1468,,2.5173,86.511,11.358,1,2,3,2,0,0,3,2,Median,Median,Median,Median,2.9,2.9,5.9,5.9,618660000,483160000,135500000,115510000,87691000,27820000,244970000,161260000,83710000,161240000,149870000,11372000,96941000,84343000,12598000,,,,11,100;12877,True;True,112;16139,266;267;268;269;270;271;36835;36836,445;446;447;448;449;450;451;452;453;454;59530;59531,450;59531,,,,,-1;-1;-1,protein_12,quanti,quanti,quanti,quanti
TXNRD1,-0.201646629038738,0.482386798701563,Q16881;F8W809;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;E9PRI8;A0A182DWF2;D3YTF8;A0A182DWF3;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;F8W809;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;E2QRB9;E9PKD3,19;19;19;19;19;19;16;11;6;6;4;4;3;2;1;1;1;1;1;1;1,19;19;19;19;19;19;16;11;6;6;4;4;3;2;1;1;1;1;1;1;1,19;19;19;19;19;19;16;11;6;6;4;4;3;2;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|F8W809|F8W809_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reduct",21,19,19,19,11,17,9,10,11,17,9,10,11,17,9,10,38.4,38.4,38.4,70.905,649,649;498;648;568;548;482;460;175;103;139;70;72;53;44;494;501;523;524;338;306;463,0.0,83.384,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.26399,0.78378,22.013,59,37,Leave out requantified,0.20536,0.31156,0.17189,0.16923,0.72991,0.91268,0.27047,0.17967,22.836,17.938,95.281,118.96,13,19,13,14,4,7,13,13,Leave out requantified,Leave out requantified,Median,Median,21.4,38.4,16.5,22.7,4098500000,3318200000,780260000,930700000,765320000,165380000,1170000000,845750000,324250000,1142600000,985810000,156760000,855230000,721350000,133880000,,,,12,3093;3901;4528;6286;6287;7647;7837;7861;9239;10524;11957;11958;13962;16068;16439;16473;16574;16685;17162,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3967;4941;4942;5724;8053;8054;9759;9760;10022;10054;10055;11766;13302;13303;15024;15025;17435;20085;20534;20587;20588;20721;20722;20857;20858;21432,9318;9319;11442;11443;11444;11445;11446;11447;11448;11449;11450;13179;18519;18520;18521;22393;22394;22395;22396;22985;23057;23058;23059;23060;23061;23062;23063;23064;23065;27086;27087;30511;30512;30513;34314;34315;34316;34317;34318;34319;39933;46268;46269;46270;46271;47288;47436;47437;47438;47439;47751;47752;47753;47754;47755;47756;48076;48077;48078;48079;48080;49341;49342;49343,15467;15468;15469;18753;18754;18755;18756;18757;18758;18759;18760;18761;18762;18763;18764;21668;30251;30252;30253;36603;36604;36605;36606;36607;36608;37484;37591;37592;37593;37594;37595;37596;37597;37598;37599;37600;37601;37602;43977;43978;43979;49337;49338;49339;49340;55503;55504;55505;55506;55507;55508;55509;55510;55511;64611;75399;75400;75401;75402;75403;75404;77079;77334;77335;77336;77337;77338;77339;77340;77341;77860;77861;77862;77863;77864;77865;77866;77867;77868;77869;77870;78363;78364;78365;78366;78367;78368;78369;78370;78371;78372;78373;78374;78375;80282;80283;80284;80285;80286,15469;18757;21668;30251;30252;36603;37484;37592;43977;49339;55509;55511;64611;75399;77079;77340;77869;78366;80284,7,,274,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_13,quanti,quanti,quanti,quanti
HMOX2,-20.9414102958596,4.81494352102868e-06,P30519;I3L159;I3L1F5;A0A087WT44;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463,P30519;I3L159;I3L1F5;A0A087WT44,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,4;4;4;4;1;1;1;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,8,4,4,4,1,4,0,0,1,4,0,0,1,4,0,0,20.3,20.3,20.3,36.032,316,316;229;238;370;110;130;131;132,0.0,5.6471,By MS/MS,By MS/MS,,,0.47549,1.0139,20.534,5,1,Leave out requantified,0.5018,0.45056,,,1.563,1.0139,,,,14.057,,,1,4,0,0,0,1,0,0,Median,Leave out requantified,Median,Median,6.0,20.3,0.0,0.0,149060000,103640000,45416000,29652000,21118000,8533300,119410000,82523000,36883000,0,0,0,0,0,0,,,,14,2883;6359;10726;17249,True;True;True;True,3697;8141;13552;21535,8692;18732;18733;31033;49578,14470;30610;30611;30612;30613;30614;30615;30616;50122;80711,14470;30612;50122;80711,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_15,imputed MEC,imputed MEC,quanti,quanti
EIF2B4,1.80497171258686,0.00899260389554472,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,3;3;3;1;1;1,3;3;3;1;1;1,3;3;3;1;1;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,3,3,3,2,1,3,3,2,1,3,3,2,1,3,3,7.6,7.6,7.6,57.557,523,523;520;544;194;228;235,0.0,18.414,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40476,0.92707,166.63,8,6,Median,1.1583,0.43715,0.21516,0.75852,3.831,1.107,0.2348,0.84828,166.4,,118.99,208.3,2,1,3,2,1,0,3,2,Median,Median,Median,Median,4.4,2.1,7.6,7.6,413450000,300380000,113080000,75850000,34652000,41198000,32800000,23465000,9334600,131110000,105390000,25713000,173700000,136870000,36831000,,,,15,12327;15536;16291,True;True;True,15499;19381;20353,35332;35333;44538;44539;44540;44541;46878;46879;46880,57071;57072;57073;72526;72527;72528;72529;72530;72531;72532;72533;72534;76418;76419;76420,57072;72526;76420,,,,,-1;-1;-1;-1;-1;-1,protein_16,quanti,quanti,quanti,quanti
KHSRP,-0.59733575090592,0.0484722570594601,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,17;17;11;8;5;2,15;15;9;6;4;2,15;15;9;6;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,17,15,15,13,13,12,12,11,12,12,11,11,12,12,11,32.2,29.7,29.7,73.114,711,711;711;279;169;116;269,0.0,107.82,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.4357,1.3378,22.087,46,24,Leave out requantified,0.39889,0.4807,0.089899,0.13837,1.412,1.338,0.098097,0.15276,14.577,13.055,136.32,81.012,11,12,12,11,2,1,11,10,Leave out requantified,Leave out requantified,Median,Median,25.2,26.4,23.9,24.3,3559200000,2648000000,911170000,1012900000,701330000,311590000,1158500000,772440000,386020000,744390000,615740000,128650000,643400000,558490000,84911000,,,,17,681;682;878;2325;4632;4633;5851;6258;6260;6395;6417;7597;10541;10712;13906;14802;16182,False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,841;842;843;1106;2973;5872;5873;7521;7522;8015;8017;8018;8183;8211;9686;13325;13537;17371;18464;20220,2004;2005;2006;2007;2008;2009;2660;2661;2662;2663;7054;7055;13536;13537;13538;13539;17362;17363;17364;17365;18439;18440;18441;18442;18444;18445;18446;18447;18448;18449;18827;18901;18902;18903;18904;22227;30554;30555;30556;30557;31003;31004;31005;31006;39787;39788;39789;39790;42343;42344;42345;42346;46594;46595,3345;3346;3347;3348;3349;3350;3351;3352;3353;3354;3355;3356;3357;3358;3359;3360;3361;3362;4474;4475;4476;4477;4478;11860;11861;11862;22291;22292;22293;22294;28402;28403;28404;28405;28406;28407;30092;30093;30094;30095;30096;30097;30098;30100;30101;30102;30103;30104;30105;30106;30107;30108;30109;30110;30782;30783;30911;30912;30913;30914;30915;30916;36341;49399;49400;49401;49402;49403;49404;50081;50082;50083;50084;50085;50086;50087;50088;50089;64359;64360;64361;64362;64363;64364;64365;68817;68818;68819;68820;68821;68822;68823;68824;68825;75963;75964;75965;75966;75967,3347;3357;4475;11861;22291;22294;28404;30096;30101;30782;30914;36341;49404;50081;64359;68824;75967,9,,251,,-1;-1;-1;-1;-1;-1,protein_18,quanti,quanti,quanti,quanti
