ID,Intensity_L_WSB1_N1,Intensity_L_WSB1_N2,Intensity_L_BirA_alone_N1,Intensity_L_BirA_alone_N2
protein_1,25.5201743515666,24.8028204107059,23.441760234501,23.2054742740153
protein_2,25.8152534595412,25.8049214532705,26.0031842323145,25.7941057623985
protein_3,28.0130313842124,28.0654579527984,29.1139623669182,29.0074871653472
protein_4,25.4629159914099,25.3914337422854,23.8232053551768,24.6316987995801
protein_8,27.7132458660171,28.0011577318286,26.8783911382342,27.5225972215327
protein_9,28.905454448465,28.5804649213511,29.9744347583742,29.9134398663303
protein_12,26.3772271272328,25.5064975643216,24.8244355656231,26.5560767686177
protein_13,26.782725846922,26.2923170680883,25.5389009786448,24.7417909597899
protein_17,28.9832883296457,29.4750727508909,29.8159437216119,29.7826314689925
protein_18,31.2914443028565,31.2883105492659,29.3118641230511,28.9168304555311
protein_19,24.9203220629959,24.7197518447667,24.6769645577624,26.0602102689001
protein_23,24.3641743346779,26.0889349395384,24.7419894796695,25.1578118494128
protein_24,4.4365090982425,4.39377702312055,24.1202506954134,24.6525170809494
protein_26,24.7151705026707,24.3150417328388,24.7988650952087,25.5880447997389
protein_27,27.8253446538196,27.8436095449199,28.0159679464422,28.3961714228263
protein_28,23.1596224674061,22.710797888256,25.3617082132942,25.6395079018955
protein_31,29.3309280664803,29.8169128070559,29.3297822710582,28.8497049142072
protein_33,28.2195935764471,28.252534797968,27.5657327099927,27.2573782431137
protein_34,4.4365090982425,4.39377702312055,24.4603617531748,24.5174707884957
protein_36,26.4455298535574,27.5962204743452,27.7299136081359,27.4991470484109
protein_37,28.9278298444282,28.3890603803766,27.9085752337198,28.4997834178901
protein_41,24.8993098044181,26.0245118040114,24.1107588791031,23.5913923592853
protein_43,23.9556161084871,24.8857314164832,24.7670156082985,25.3847787504386
protein_46,25.0859629066662,22.9644745317045,23.8966519994917,24.9594414171897
protein_49,25.3823360270702,24.2791605373774,23.593542424019,24.6711034092621
protein_52,23.7582736288234,24.4332069198084,4.54533914757274,4.53120146157514
protein_53,31.6064817259306,32.25140238422,32.1583628378581,32.5132234474932
protein_54,25.4649241043507,26.0741518800269,24.7651660902175,25.1701546126512
protein_55,28.1277905381813,28.30568932137,27.1795895233292,26.9518341078553
protein_59,30.0614014438427,30.2733256997561,29.5056508446717,29.3805350265391
protein_62,25.8148336443074,25.7007175506947,25.619893642134,26.2171478455262
protein_64,25.0442031073905,23.9400465630205,23.5793463456069,24.1958299686075
protein_66,23.6776365977168,25.7406919375665,23.4022115826098,22.6689192794008
protein_68,28.4648572122658,28.2724700197552,28.9135210011863,28.2704896075372
protein_69,28.8424886584871,28.7363436189788,28.9544405984561,28.7345099562658
protein_73,27.2261399203825,27.2515156656021,26.4648390407969,26.0685925521129
protein_75,24.413558223436,23.0087819790189,4.54533914757274,4.53120146157514
protein_77,4.4365090982425,4.39377702312055,25.1781200435549,25.2370652741659
protein_78,24.7618280603203,25.6084427619518,26.9723013285954,27.2368035449527
protein_79,27.3608207064154,26.6806437468754,26.5075455004843,27.4183634415482
protein_80,24.7659819566394,23.3909950331316,24.6545447217232,27.1006844661075
protein_82,26.5550915082137,26.3345650681446,25.1527166931731,24.8592862402053
protein_83,28.3502855618948,27.9014006775263,28.8330856998956,28.4524807327712
protein_84,24.3416195664368,26.0537521896826,24.9252823084242,25.3960737619672
protein_86,24.3948611653429,24.9499835991443,24.4629093657221,29.2209295584245
protein_88,26.3889083590325,25.650285850115,25.8158363438764,23.7061240114232
protein_91,25.1915839421018,24.6339720608591,4.54533914757274,4.53120146157514
protein_93,27.8938744240397,28.0970687562459,29.2434789221987,28.5646959865096
protein_95,27.2351885131988,27.5240340923984,26.6708983445112,27.4824101531989
protein_96,29.8207653076915,30.0925860783915,29.5876084674805,29.0887395406518
protein_104,25.6579704696837,25.1622033373826,25.9853909501143,26.4905376206395
protein_106,23.8350552626989,24.9773828511045,25.5310943715604,25.1730300992344
protein_107,24.1279679753372,24.5433600712582,24.3852871454152,23.968717197196
protein_110,30.926858904682,30.650921526004,31.1100970112524,30.8815319808489
protein_113,26.8053025282511,25.6127761728876,26.9382827912789,26.6428535220531
protein_114,26.4417962564967,26.5834378486465,25.4948528988903,26.6577565138748
