Gene_names,TLE2_vs_BirA_logFC,TLE2_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_TLE2_N1,Peptides_TLE2_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_TLE2_N1,Razor___unique_peptides_TLE2_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_TLE2_N1,Unique_peptides_TLE2_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_TLE2_N1,Identification_type_TLE2_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_TLE2_N1,Ratio_H_L_TLE2_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_TLE2_N1,Ratio_H_L_normalized_TLE2_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____TLE2_N1,Ratio_H_L_variability_____TLE2_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_TLE2_N1,Ratio_H_L_count_TLE2_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_TLE2_N1,Ratio_H_L_iso_count_TLE2_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_TLE2_N1,Ratio_H_L_type_TLE2_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_TLE2_N1____,Sequence_coverage_TLE2_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_TLE2_N1,Intensity_L_TLE2_N1,Intensity_H_TLE2_N1,Intensity_TLE2_N2,Intensity_L_TLE2_N2,Intensity_H_TLE2_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_TLE2_N1,metacell_Intensity_L_TLE2_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
HDLBP,0.658082582980317,0.200347409656921,Q00341;A0A024R4E5;C9JHZ8;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHS7;H0Y394;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JHZ8;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHS7,7;7;4;4;4;4;4;4;4;3;3;3;2;2;2;2;2;1;1,7;7;4;4;4;4;4;4;4;3;3;3;2;2;2;2;2;1;1,7;7;4;4;4;4;4;4;4;3;3;3;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JHZ8|C9JHZ8_HUMAN Vigilin (Fragment) O",19,7,7,7,3,3,4,6,3,3,4,6,3,3,4,6,7.7,7.7,7.7,141.45,1268,1268;1268;141;332;224;221;164;147;126;973;128;96;81;79;69;53;46;19;17,0.0,10.914,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.60471,1.742,52.482,16,2,Leave out requantified,0.70857,0.98858,0.5977,0.53397,2.2744,2.6272,1.861,1.6879,35.092,20.988,29.081,59.574,3,3,4,6,0,1,0,1,Leave out requantified,Median,Leave out requantified,Leave out requantified,2.8,2.8,3.7,7.0,782580000,467290000,315290000,82838000,47807000,35031000,89520000,43745000,45775000,191190000,113030000,78165000,419030000,262710000,156320000,,,,1,591;2012;7228;8458;11986;15627;16583,True;True;True;True;True;True;True,617;2153;7807;9130;12897;16741;17753,1607;1608;6003;20770;20771;24376;34341;34342;34343;34344;44346;44347;47113;47114;47115;47116,2930;2931;2932;2933;11283;38611;38612;45351;45352;45353;63199;63200;63201;63202;81130;86156;86157;86158;86159;86160;86161;86162;86163,2932;11283;38611;45351;63200;81130;86157,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_2,quanti,quanti,quanti,quanti
PSMA2,-2.83568045074187,0.0280648878349645,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,9;9;4;3;1,9;9;4;3;1,9;9;4;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,9,9,9,8,8,3,2,8,8,3,2,8,8,3,2,49.6,49.6,49.6,25.898,234,234;234;164;48;36,0.0,17.638,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29749,0.95771,13.379,21,2,Leave out requantified,0.2832,0.35815,0.30162,0.2654,0.91895,0.99766,1.0759,0.74257,20.977,11.69,10.919,8.8799,8,8,3,2,1,0,1,0,Leave out requantified,Leave out requantified,Plateau,Median,41.5,41.5,20.9,17.1,1556000000,1181100000,374920000,483000000,371200000,111810000,617120000,451360000,165760000,374720000,294960000,79764000,81152000,63557000,17595000,,,,2,512;1856;6652;6790;9038;11865;12083;15786;20954,True;True;True;True;True;True;True;True;True,537;1989;7158;7318;9749;12773;13007;16915;22410,1390;1391;5529;5530;18975;18976;18977;19444;19445;25987;25988;34008;34009;34010;34658;34659;34660;34661;44813;44814;59587,2537;2538;10433;35111;35112;35113;35114;35115;35116;35117;35118;35119;35120;35121;36040;36041;36042;36043;36044;48371;62642;63866;63867;63868;63869;63870;63871;63872;63873;63874;82027;82028;82029;82030;82031;110234;110235,2537;10433;35118;36043;48371;62642;63873;82029;110235,,,,,-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
BAG6;BAT3,0.82868491371099,0.153409163527119,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,P46379;F6S6P2;X6REW1;A0A0G2JJM1;A0A0G2JL47;A0A024RCR6;A0A0G2JK23,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|F6S6P2|F6S6P2_HUMAN Large proline-rich protein BAG6 (Fragment) OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|X6REW1|X6REW1_HUMAN Large proline-rich protein BAG,7,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2.0,2.0,2.0,119.41,1132,1132;515;742;742;1077;1126;1132,0.0,9.5935,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.57864,1.5356,24.781,8,3,Leave out requantified,0.46795,0.62493,0.87203,0.82066,1.1676,1.3341,2.8381,2.3992,,9.0673,17.455,38.329,1,2,3,2,0,0,2,1,Median,Median,Median,Median,1.1,2.0,2.0,2.0,311750000,164530000,147220000,16787000,10550000,6236800,38951000,21741000,17210000,153650000,81797000,71856000,102360000,50438000,51918000,,,,3,10448;10803,True;True,11268;11651,30087;30088;30089;31151;31152;31153;31154;31155,55773;55774;55775;55776;55777;57665;57666;57667;57668;57669;57670;57671;57672;57673,55774;57667,,,,,-1;-1;-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
TAF15,1.33071844962169,0.0151923348502759,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,4;4;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,3,4,2,2,1,1,3,4,1,1,2,2,1,1,2,2,8.3,5.9,5.9,61.829,592,592;449;214,0.0,14.629,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.37535,1.1636,13.338,11,4,Leave out requantified,0.31464,0.44007,0.30951,0.29218,1.1343,1.3016,1.0613,0.93568,,2.5173,8.1945,7.9767,1,2,4,4,0,0,2,2,Median,Median,Median,Median,2.9,2.9,8.3,8.3,2253600000,1704000000,549610000,115510000,87691000,27820000,244970000,161260000,83710000,773500000,589110000,184380000,1119700000,865970000,253700000,,,,6,115;116;5350;15576,False;True;False;True,117;118;5711;16690,289;290;291;292;293;294;295;296;15047;15048;44207;44208;44209;44210,545;546;547;548;549;550;551;552;553;554;555;556;557;558;559;560;561;28019;28020;80919;80920;80921;80922;80923;80924,546;559;28019;80923,,,,,-1;-1;-1,protein_7,quanti,quanti,quanti,quanti
TXNRD1,-1.26620240330418,0.0103083675979348,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;E9PIR7;F8W809;E2QRB9;E9PKD3,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,16;16;16;16;16;16;14;9;4;4;3;3;2;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",21,16,16,16,11,16,9,8,11,16,9,8,11,16,9,8,34.2,34.2,34.2,70.905,649,649;648;568;548;482;498;460;175;103;139;70;72;53;501;523;44;494;524;338;306;463,0.0,82.288,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.28226,0.76895,21.782,52,20,Leave out requantified,0.20536,0.31134,0.31355,0.27914,0.72991,0.87662,1.0566,0.82882,22.836,18.504,10.209,11.631,13,18,11,10,4,7,4,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.4,34.2,20.0,17.4,4168800000,3186000000,982790000,930700000,765320000,165380000,1149300000,831230000,318120000,1148800000,862520000,286280000,939980000,726960000,213020000,,,,7,3654;4639;5396;7485;9112;9347;9373;12654;14329;14330;19447;19935;19977;20111;20263;20834,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,3905;4947;5764;8078;9830;10090;10119;13609;15375;15376;20828;21337;21387;21533;21692;22281,10457;10458;13041;13042;13043;13044;13045;13046;15181;21445;21446;26209;26210;26211;26212;26913;26989;26990;26991;26992;26993;26994;26995;26996;36249;36250;40888;40889;40890;40891;40892;40893;55498;55499;55500;55501;55502;56778;56933;56934;56935;56936;57319;57320;57321;57322;57725;57726;57727;57728;59252;59253,19578;19579;19580;24195;24196;24197;24198;24199;24200;24201;24202;24203;24204;24205;28268;39891;39892;48749;48750;48751;48752;48753;49867;49990;49991;49992;49993;49994;49995;49996;49997;49998;49999;50000;50001;50002;66810;66811;66812;75176;75177;75178;75179;75180;75181;75182;75183;75184;75185;75186;75187;102790;102791;102792;102793;102794;102795;102796;105232;105561;105562;105563;105564;105565;105566;105567;105568;105569;105570;105571;105572;105573;106301;106302;106303;106304;106305;106306;106307;106308;106309;107017;107018;107019;107020;107021;107022;107023;107024;107025;107026;107027;107028;107029;107030;109604;109605;109606;109607,19578;24197;28268;39892;48749;49867;49992;66812;75181;75186;102794;105232;105567;106303;107029;109605,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_8,quanti,quanti,quanti,quanti
HMOX2,1.76822116210191,0.0598513153014775,P30519;A0A087WT44;I3L159;I3L1F5;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463;I3L276,P30519;A0A087WT44;I3L159;I3L1F5,8;8;7;7;3;3;3;3;2,8;8;7;7;3;3;3;3;2,8;8;7;7;3;3;3;3;2,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|A0A087WT44|A0A087WT44_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2,9,8,8,8,1,4,4,7,1,4,4,7,1,4,4,7,32.3,32.3,32.3,36.032,316,316;370;229;238;110;130;131;132;110,0.0,11.868,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42683,1.1271,14.576,17,4,Leave out requantified,0.5018,0.45056,0.32992,0.41884,1.563,1.0139,1.1781,1.3067,,14.057,29.0,16.507,1,4,4,8,0,1,1,2,Median,Leave out requantified,Leave out requantified,Leave out requantified,6.0,20.3,15.8,25.0,1167200000,828920000,338250000,29652000,21118000,8533300,119410000,82523000,36883000,311930000,235350000,76580000,706180000,489930000,216250000,,,,9,567;3389;7566;12295;12296;12878;12879;20939,True;True;True;True;True;True;True;True,592;3621;8162;13228;13229;13847;13848;22395,1547;9756;21684;21685;21686;21687;21688;35245;35246;35247;36839;36840;36841;36842;59541;59542;59543,2807;18257;40337;40338;40339;40340;40341;40342;40343;40344;40345;40346;40347;40348;40349;40350;40351;40352;40353;40354;40355;40356;40357;64995;64996;64997;64998;67764;67765;67766;67767;67768;110148;110149;110150;110151;110152,2807;18257;40343;64996;64998;67766;67768;110150,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_10,quanti,quanti,quanti,quanti
EIF2B4,-0.643562935728848,0.159383905190806,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,3;3;3;1;1;1,3;3;3;1;1;1,3;3;3;1;1;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,3,3,3,2,1,1,2,2,1,1,2,2,1,1,2,7.6,7.6,7.6,57.557,523,523;520;544;194;228;235,0.0,8.4724,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38067,1.0762,19.356,6,1,Leave out requantified,1.1583,0.43715,0.41761,0.39752,3.831,1.107,1.3079,1.1,166.4,,,22.452,2,1,1,2,1,0,0,0,Median,Median,Median,Median,4.4,2.1,2.1,5.4,233740000,146610000,87129000,75850000,34652000,41198000,32800000,23465000,9334600,50715000,36650000,14065000,74371000,51839000,22532000,,,,10,14869;18783;19747,True;True;True,15949;20090;21142,42292;53469;53470;53471;53472;56280,77553;98767;98768;98769;98770;98771;98772;98773;98774;98775;104235,77553;98774;104235,,,,,-1;-1;-1;-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
KHSRP,0.141554106533924,0.580879294986603,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,20;20;12;8;5;2,18;18;10;6;4;2,18;18;10;6;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,20,18,18,12,14,14,15,10,13,14,15,10,13,14,15,38.4,35.9,35.9,73.114,711,711;711;279;169;116;269,0.0,116.68,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40328,1.3209,16.177,52,7,Leave out requantified,0.39889,0.4807,0.3789,0.41358,1.412,1.338,1.3168,1.3564,14.577,13.055,47.159,20.836,10,13,14,15,1,2,2,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,29.7,32.9,7723900000,5376400000,2347500000,976380000,671810000,304580000,1227700000,806910000,420750000,2443000000,1757300000,685720000,3076900000,2140400000,936490000,,,,14,777;778;1010;2694;5520;5521;5532;6991;7455;7459;7616;7651;8166;9041;9646;12671;12858;16823;17892;19601,False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,817;818;1071;2877;5907;5908;5921;7548;8043;8047;8215;8251;8818;9752;10412;13626;13826;18002;19132;20990,2145;2146;2147;2148;2149;2894;2895;2896;2897;7914;7915;7916;15607;15608;15609;15648;15649;20092;20093;20094;20095;21352;21353;21354;21355;21360;21361;21362;21363;21833;21834;21931;21932;21933;23537;25994;25995;27813;36293;36294;36295;36296;36799;36800;36801;36802;47797;47798;47799;47800;50844;50845;50846;50847;55926;55927;55928,3930;3931;3932;3933;3934;3935;3936;3937;3938;3939;3940;3941;3942;3943;3944;3945;3946;5358;5359;5360;5361;5362;5363;5364;14840;14841;14842;14843;14844;29126;29127;29128;29208;37354;37355;37356;37357;37358;37359;37360;37361;37362;37363;39686;39687;39688;39689;39690;39691;39692;39693;39698;39699;39700;39701;39702;39703;39704;39705;39706;39707;39708;39709;39710;40644;40645;40646;40855;40856;40857;40858;40859;40860;40861;40862;43818;48384;48385;48386;48387;48388;48389;48390;51547;51548;66883;66884;66885;66886;66887;66888;66889;66890;66891;66892;66893;66894;66895;67716;67717;67718;67719;67720;67721;67722;67723;87456;87457;87458;87459;87460;87461;87462;87463;87464;93474;93475;93476;93477;93478;93479;93480;93481;93482;93483;93484;103666;103667;103668;103669;103670,3931;3946;5363;14840;29127;29128;29208;37362;39689;39703;40646;40860;43818;48385;51547;66887;67717;87463;93480;103668,,,,,-1;-1;-1;-1;-1;-1,protein_15,quanti,quanti,quanti,quanti
PABPC1;PABPC3,1.53834821528389,0.00439154995056358,P11940;A0A087WTT1;E7ERJ7;E7EQV3;H0YAR2;Q9H361;H0YBN4;E5RGH3;E5RJB9;H0YB86;E5RH24;H0YAP2;Q5JQF8;E5RHG7;H0YAS6;H0YB75;H0YC10;E5RGC4;E5RFD8;H0YAS7,P11940;A0A087WTT1;E7ERJ7;E7EQV3;H0YAR2;Q9H361,26;26;25;25;15;13;9;8;8;7;7;7;3;3;2;2;1;1;1;1,26;26;25;25;15;13;9;8;8;7;7;7;3;3;2;2;1;1;1;1,13;13;13;13;10;8;2;1;0;5;0;6;0;0;2;2;1;0;0;1,Polyadenylate-binding protein 1;Polyadenylate-binding protein;Polyadenylate-binding protein 3,sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;tr|A0A087WTT1|A0A087WTT1_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=1;tr|E7ERJ7|E7ERJ7_HUMAN Polyadenylate-binding protein ,20,26,26,13,14,10,21,21,14,10,21,21,6,2,11,11,39.2,39.2,21.4,70.67,636,636;522;604;591;284;631;174;108;129;165;118;131;200;75;169;183;42;43;61;136,0.0,118.24,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.21371,0.72762,32.168,76,27,Leave out requantified,0.28599,0.30003,0.1999,0.222,1.0101,0.83688,0.67606,0.72554,27.65,10.223,12.195,44.73,14,10,27,25,6,1,11,9,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.7,16.0,35.5,36.0,10113000000,7772800000,2340300000,698640000,513790000,184850000,625080000,466590000,158490000,4259900000,3358000000,901870000,4529600000,3434500000,1095100000,,,,15,1082;1202;1527;2311;3502;4948;5419;5426;5427;6624;8025;8026;8485;8521;8522;8823;9979;12885;13327;13556;14229;15111;15866;15998;15999;21014,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1155;1284;1634;2472;3741;5272;5273;5792;5800;5801;7125;8673;8674;9158;9197;9198;9513;10772;13854;14330;14565;15269;16199;17003;17139;17140;22476,3125;3126;3127;3499;3500;3501;3502;3503;4503;4504;4505;6871;6872;6873;10055;10056;13906;13907;13908;13909;13910;13911;15270;15271;15296;15297;15298;18874;18875;23166;23167;23168;23169;23170;24433;24434;24542;24543;24544;24545;24546;24547;24548;24549;24550;25354;25355;25356;28775;28776;36855;38154;38155;38156;38764;38765;38766;40602;40603;40604;40605;42931;42932;42933;42934;45102;45103;45464;45465;45466;45467;45468;45469;45470;45471;59754;59755;59756;59757,5799;5800;5801;5802;6508;6509;6510;6511;6512;6513;6514;8458;8459;8460;8461;8462;8463;8464;12980;12981;12982;12983;12984;12985;18822;18823;25749;25750;25751;25752;25753;25754;25755;25756;25757;25758;25759;25760;25761;25762;25763;25764;25765;25766;25767;25768;28436;28437;28438;28439;28440;28496;28497;28498;28499;28500;28501;34903;34904;34905;43193;43194;43195;43196;43197;43198;43199;43200;45446;45447;45448;45633;45634;45635;45636;45637;45638;45639;45640;45641;45642;45643;45644;45645;45646;45647;45648;45649;47213;47214;47215;47216;47217;53299;53300;53301;53302;67793;67794;70123;70124;70125;70126;70127;70128;71278;71279;71280;74670;74671;74672;74673;74674;74675;78638;78639;78640;78641;78642;78643;78644;82565;83211;83212;83213;83214;83215;83216;83217;83218;83219;83220;83221;83222;83223;83224;83225;83226;110577;110578;110579;110580;110581;110582;110583;110584;110585;110586;110587,5800;6508;8459;12983;18822;25761;28438;28496;28501;34904;43195;43199;45446;45645;45647;47215;53300;67794;70128;71279;74670;78640;82565;83222;83225;110584,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_16,quanti,quanti,quanti,quanti
HNRNPDL,0.169256449653805,0.763102344409863,A0A087WU03,A0A087WU03,2,2,2,,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,40.4,40.4,40.4,6.7215,57,57,0.041908,0.51909,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.28245,0.77582,35.366,6,0,Leave out requantified,0.33858,0.32527,0.20114,0.22009,1.0106,0.70866,0.60239,0.65219,,46.15,,10.404,1,2,1,2,0,0,0,0,Median,Median,Median,Median,40.4,40.4,31.6,31.6,263300000,204950000,58346000,27175000,19945000,7229600,44137000,31308000,12829000,48236000,39387000,8848900,143750000,114310000,29439000,,,,19,12454;12455,True;True,13398;13399,35713;35714;35715;35716;35717;35718,65790;65791;65792;65793;65794;65795;65796;65797;65798;65799,65793;65795,,,,,-1,protein_20,quanti,quanti,quanti,quanti
