Gene_names,PAFAH1B1_vs_BirA_logFC,PAFAH1B1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_PAFAH1B1_N1,Peptides_PAFAHB_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_PAFAH1B1_N1,Razor___unique_peptides_PAFAHB_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_PAFAH1B1_N1,Unique_peptides_PAFAHB_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_PAFAH1B1_N1,Identification_type_PAFAHB_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_PAFAH1B1_N1,Ratio_H_L_PAFAHB_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_PAFAH1B1_N1,Ratio_H_L_normalized_PAFAHB_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____PAFAH1B1_N1,Ratio_H_L_variability_____PAFAHB_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_PAFAH1B1_N1,Ratio_H_L_count_PAFAHB_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_PAFAH1B1_N1,Ratio_H_L_iso_count_PAFAHB_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_PAFAH1B1_N1,Ratio_H_L_type_PAFAHB_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_PAFAH1B1_N1____,Sequence_coverage_PAFAHB_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_PAFAH1B1_N1,Intensity_L_PAFAH1B1_N1,Intensity_H_PAFAH1B1_N1,Intensity_PAFAHB_N2,Intensity_L_PAFAHB_N2,Intensity_H_PAFAHB_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_PAFAH1B1_N1,metacell_Intensity_L_PAFAHB_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
CDK1;CDC2,-0.426215368419619,0.134947620047196,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6;K7ELV5,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6,16;16;10;9;2,16;16;10;9;2,14;14;8;7;0,Cyclin-dependent kinase 1,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|A0A087WZZ9|A0A087WZZ9_HUMAN Cycli",5,16,16,14,11,11,10,11,11,11,10,11,9,9,9,9,52.9,52.9,50.2,34.095,297,297;297;224;189;164,0.0,32.179,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.65672,1.6963,18.143,48,6,Leave out requantified,0.64048,0.73456,0.64773,0.60496,2.3004,2.0284,1.5444,1.3971,24.043,11.96,15.619,14.087,12,12,12,12,1,1,0,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,38.7,38.7,31.3,40.1,5882400000,3494300000,2388100000,592900000,339920000,252980000,707270000,409400000,297870000,2293200000,1293400000,999780000,2289000000,1451500000,837450000,,,,0,673;1521;3693;9831;9832;10896;12235;12592;13185;16429;16430;16431;16578;16973;21530;26447,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,735;1725;4142;11070;11071;12305;13966;14453;15115;18712;18713;18714;18882;19343;24374;29908,1845;1846;1847;1848;4447;4448;10581;27545;27546;27547;27548;27549;30729;30730;30731;30732;34722;34723;34724;34725;35960;35961;35962;35963;35964;35965;35966;35967;37670;37671;46541;46542;46543;46544;46545;46546;46547;46966;46967;48042;48043;48044;48045;60399;60400;60401;60402;60403;74467;74468,3477;3478;3479;3480;3481;3482;8602;8603;8604;20494;52851;52852;52853;52854;52855;52856;52857;52858;52859;52860;52861;52862;59003;59004;59005;59006;59007;59008;59009;59010;59011;66378;66379;66380;66381;66382;68598;68599;68600;68601;68602;68603;68604;68605;68606;68607;68608;68609;68610;68611;68612;68613;71787;88456;88457;88458;88459;88460;88461;88462;88463;88464;88465;88466;88467;88468;88469;88470;88471;88472;88473;88474;88475;89229;89230;89231;89232;89233;89234;91224;91225;91226;91227;91228;91229;91230;91231;91232;114368;114369;114370;114371;114372;114373;114374;114375;114376;114377;114378;114379;142549;142550;142551;142552,3482;8603;20494;52857;52862;59007;66382;68607;71787;88464;88472;88475;89234;91225;114377;142549,,,,,-1;-1;-1;-1;-1,protein_1,quanti,quanti,quanti,quanti
HDLBP,0.9720042359472,0.0100432200388878,Q00341;A0A024R4E5;H0Y394;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JHZ8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;H7C2D1;C9JHS9,Q00341;A0A024R4E5;H0Y394;H7C0A4;C9JIZ1,9;9;6;5;5;4;4;3;3;3;3;3;2;2;2;2;2;1;1;1,9;9;6;5;5;4;4;3;3;3;3;3;2;2;2;2;2;1;1;1,9;9;6;5;5;4;4;3;3;3;3;3;2;2;2;2;2;1;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|H0Y394|H0Y394_HUMAN Vigilin (Fragment) O",20,9,9,9,3,3,6,6,3,3,6,6,3,3,6,6,10.4,10.4,10.4,141.45,1268,1268;1268;973;332;224;221;164;141;147;128;126;96;81;79;69;53;46;19;308;17,0.0,23.327,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.76974,1.9627,34.162,19,5,Leave out requantified,0.70857,0.98858,0.75798,0.66361,2.2744,2.6272,1.9627,1.6407,35.092,20.988,27.609,19.485,3,3,6,7,0,1,1,3,Leave out requantified,Median,Leave out requantified,Leave out requantified,2.8,2.8,7.7,7.4,1757600000,977700000,779940000,82838000,47807000,35031000,89520000,43745000,45775000,825980000,460820000,365160000,759300000,425330000,333970000,,,,2,682;1959;2243;2429;15305;15967;20715;21867;24650,True;True;True;True;True;True;True;True;True,746;2215;2533;2745;17474;18197;23458;24737;27821,1875;1876;5809;6583;6584;7146;7147;43467;45259;45260;58002;58003;61313;61314;61315;61316;61317;69243;69244,3561;3562;3563;3564;3565;11447;12888;12889;12890;12891;12892;13976;13977;13978;13979;82656;85945;85946;109731;116052;116053;116054;116055;116056;116057;116058;116059;116060;116061;132154;132155,3562;11447;12891;13977;82656;85946;109731;116061;132154,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
PSMA2,-0.0357963333185154,0.862443260553063,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,12;12;5;3;1,12;12;5;3;1,12;12;5;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,12,12,12,9,8,8,8,9,8,8,8,9,8,8,8,59.0,59.0,59.0,25.898,234,234;234;164;48;36,0.0,46.371,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35572,0.96046,13.382,39,5,Leave out requantified,0.28947,0.35579,0.407,0.3409,0.99254,0.96558,1.0268,0.90338,78.354,13.405,6.8132,14.163,9,8,11,11,1,0,1,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,41.9,41.9,49.6,49.1,6486700000,4622800000,1863900000,624670000,406130000,218530000,529480000,388590000,140890000,2735200000,1987800000,747360000,2597400000,1840200000,757110000,,,,3,213;600;2248;8760;8956;11987;12832;16108;19947;20899;22056;27327,True;True;True;True;True;True;True;True;True;True;True;True,235;655;2538;9843;10070;13641;13642;14714;18368;22618;23660;24945;30883,549;1654;1655;6590;6591;24475;24476;24477;24478;25071;25072;25073;25074;25075;25076;33957;33958;33959;33960;33961;36632;36633;36634;45681;45682;45683;45684;45685;45686;55949;55950;55951;55952;58536;58537;61846;76822;76823;76824,1050;3111;3112;12898;46862;46863;46864;46865;46866;46867;46868;46869;46870;46871;46872;46873;46874;46875;46876;46877;46878;48061;48062;48063;48064;48065;48066;48067;48068;48069;48070;48071;48072;48073;48074;48075;48076;48077;65058;65059;65060;65061;65062;65063;65064;69839;69840;69841;69842;86784;86785;86786;86787;86788;86789;86790;86791;86792;86793;86794;105893;105894;110815;110816;110817;110818;110819;117128;117129;146886;146887;146888;146889;146890,1050;3111;12898;46863;48069;65062;69842;86793;105893;110819;117128;146889,0;1,,70;92,,-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
BAG6;BAT3,1.75129971820846,0.0170203160510262,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1;F6UR09;F6U1F2;F6XTU0;A0A0G2JJR8;A0A1B0GX79;F6WML8;F6VEM6;F6X9W3;F6U341,P46379;A0A0G2JL47;A0A024RCR6;A0A0G2JK23;F6S6P2;X6REW1;A0A0G2JJM1,4;4;4;4;3;3;3;1;1;1;1;1;1;1;1;1,4;4;4;4;3;3;3;1;1;1;1;1;1;1;1;1,4;4;4;4;3;3;3;1;1;1;1;1;1;1;1;1,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JL47|A0A0G2JL47_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,16,4,4,4,1,2,3,4,1,2,3,4,1,2,3,4,4.0,4.0,4.0,119.41,1132,1132;1077;1126;1132;515;742;742;197;206;215;232;243;244;258;259;262,0.0,10.471,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.67525,1.5855,23.529,10,1,Leave out requantified,0.46795,0.62493,0.72136,0.66159,1.1676,1.3341,1.8814,1.7673,,9.0673,19.53,17.74,1,2,3,4,0,0,0,1,Median,Median,Leave out requantified,Leave out requantified,1.1,2.0,3.2,4.0,1009100000,541060000,468020000,16787000,10550000,6236800,38951000,21741000,17210000,441330000,217130000,224200000,512010000,291630000,220380000,,,,4,947;13934;14384;16052,True;True;True;True,1040;15929;16468;18299,2638;2639;39684;39685;39686;41070;41071;41072;41073;45517;45518,5043;5044;75655;75656;75657;75658;75659;78215;78216;78217;78218;78219;78220;78221;78222;78223;78224;78225;78226;86453;86454,5043;75656;78219;86453,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_5,quanti,quanti,quanti,quanti
TAF15,0.828333513348973,0.0602954820540711,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,5;5;1,3;3;1,3;3;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,3,5,3,3,1,1,5,5,1,1,3,3,1,1,3,3,14.0,11.7,11.7,61.829,592,592;449;214,0.0,7.4701,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42674,1.121,10.101,13,0,Leave out requantified,0.31464,0.44007,0.41321,0.44509,1.1343,1.3016,1.0417,1.1914,,2.5173,5.6262,2.4721,1,2,5,5,0,0,0,0,Median,Median,Leave out requantified,Leave out requantified,2.9,2.9,14.0,14.0,3313100000,2334000000,979120000,115510000,87691000,27820000,244970000,161260000,83710000,1500000000,1073100000,426920000,1452600000,1012000000,440670000,,,,10,136;137;7083;20653;22406,False;True;False;True;True,139;140;141;7878;23392;25326,319;320;321;322;323;324;325;326;327;328;19382;19383;57833;57834;62853;62854;62855,586;587;588;589;590;591;592;593;594;595;596;597;598;599;600;601;602;603;604;605;606;37101;37102;37103;109420;109421;109422;109423;119074;119075;119076,586;605;37103;109422;119076,5,,306,,-1;-1;-1,protein_11,quanti,quanti,quanti,quanti
TXNRD1,-0.262998753035365,0.198171541412672,Q16881;E9PIR7;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PRI8;E9PQI3;A0A182DWF2;D3YTF8;A0A182DWF3;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;E9PIR7;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E2QRB9;E9PKD3,20;20;20;20;20;20;18;10;5;5;3;3;2;2;1;1;1;1;1;1;1,20;20;20;20;20;20;18;10;5;5;3;3;2;2;1;1;1;1;1;1;1,20;20;20;20;20;20;18;10;5;5;3;3;2;2;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|E9PIR7|E9PIR7_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reduct",21,20,20,20,10,16,14,12,10,16,14,12,10,16,14,12,37.9,37.9,37.9,70.905,649,649;482;648;568;548;498;460;175;103;139;70;72;44;53;494;501;523;524;338;306;463,0.0,91.238,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33156,0.88879,24.389,63,16,Leave out requantified,0.2047,0.31134,0.36378,0.37767,0.71201,0.87662,0.92534,1.0024,22.365,18.504,24.851,24.117,12,18,16,17,2,7,2,5,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,20.6,34.2,27.4,25.1,11119000000,7983100000,3135900000,884830000,728210000,156610000,1149300000,831230000,318120000,4862600000,3488800000,1373800000,4222300000,2934900000,1287300000,,,,11,4691;5772;6108;7151;9833;9885;11897;12082;12448;12486;14794;16820;18979;18980;25351;25999;26052;26223;26410;27176,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,5239;6416;6795;7959;11072;11133;13513;13772;14272;14322;16916;19152;21566;21567;28681;29399;29470;29665;29866;30720,13134;15859;15860;16755;16756;16757;16758;16759;16760;16761;19602;19603;27550;27698;27699;33669;33670;34319;34320;34321;35514;35515;35635;35636;35637;35638;35639;35640;35641;42149;42150;47600;47601;47602;47603;47604;53473;53474;53475;53476;53477;53478;71463;71464;71465;71466;71467;73162;73365;73366;73367;73368;73369;73866;73867;73868;73869;73870;74355;74356;74357;74358;76425,25299;30273;30274;30275;30276;30277;31953;31954;31955;31956;31957;31958;31959;31960;31961;31962;31963;31964;31965;31966;37484;52863;53176;53177;64543;64544;65680;65681;65682;65683;65684;67773;67774;67982;67983;67984;67985;67986;67987;67988;67989;67990;67991;67992;67993;80246;80247;90427;90428;90429;90430;90431;90432;101389;101390;101391;101392;101393;101394;101395;101396;101397;101398;101399;101400;101401;101402;101403;101404;101405;136645;136646;136647;136648;136649;136650;136651;136652;136653;136654;136655;136656;139958;140394;140395;140396;140397;140398;140399;140400;140401;140402;140403;140404;140405;140406;141406;141407;141408;141409;141410;141411;141412;141413;141414;141415;141416;141417;141418;142317;142318;142319;142320;142321;142322;142323;142324;142325;142326;142327;142328;142329;142330;142331;142332;142333;142334;146082,25299;30274;31957;37484;52863;53176;64543;65682;67774;67991;80246;90429;101389;101405;136650;139958;140404;141413;142331;146082,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_12,quanti,quanti,quanti,quanti
HMOX2,2.0645028642141,0.040878245818977,P30519;A0A087WT44;I3L159;I3L1F5;I3L4P8;A0A1B0GXH0;I3L463;I3L276;I3L1Y2,P30519;A0A087WT44;I3L159;I3L1F5,8;8;7;7;3;3;3;2;2,8;8;7;7;3;3;3;2;2,8;8;7;7;3;3;3;2;2,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|A0A087WT44|A0A087WT44_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2,9,8,8,8,1,4,5,5,1,4,5,5,1,4,5,5,45.9,45.9,45.9,36.032,316,316;370;229;238;130;131;132;110;110,0.0,21.823,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.51307,1.2926,19.371,17,2,Leave out requantified,0.5018,0.45056,0.5564,0.52711,1.563,1.0139,1.4346,1.3741,,14.057,16.141,9.5312,1,4,6,6,0,1,0,1,Median,Leave out requantified,Leave out requantified,Leave out requantified,6.0,20.3,26.9,31.6,2886400000,1827300000,1059100000,29652000,21118000,8533300,119410000,82523000,36883000,1320500000,868130000,452400000,1416800000,855520000,561270000,,,,14,1563;4275;9998;11277;16390;17092;17899;27307,True;True;True;True;True;True;True;True,1774;4783;11254;12729;18669;19474;20367;30860,4579;4580;12086;28028;28029;28030;28031;28032;28033;31783;46435;46436;48365;50569;50570;76762;76763,8849;8850;8851;23328;53797;53798;53799;53800;53801;53802;53803;53804;53805;53806;53807;53808;53809;53810;53811;53812;53813;60958;60959;60960;88232;88233;88234;88235;91762;95951;95952;95953;146770;146771;146772,8850;23328;53805;60958;88235;91762;95952;146772,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_15,quanti,quanti,quanti,quanti
EIF2B4,2.12965910841516,0.0056045423238672,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,8;8;8;3;3;1,8;8;8;3;3;1,8;8;8;3;3;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,8,8,8,2,1,8,5,2,1,8,5,2,1,8,5,25.4,25.4,25.4,57.557,523,523;520;544;194;228;235,0.0,72.244,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42499,1.0386,13.996,16,2,Leave out requantified,1.1583,0.43715,0.39675,0.41224,3.831,1.107,0.98152,1.048,166.4,,14.85,8.3216,2,1,8,5,1,0,1,0,Median,Median,Leave out requantified,Leave out requantified,4.4,2.1,25.4,15.9,2008100000,1338500000,669610000,75850000,34652000,41198000,32800000,23465000,9334600,1217400000,815050000,402320000,682100000,465350000,216750000,,,,16,13591;19347;19740;21345;24528;25076;25763;26217,True;True;True;True;True;True;True;True,15554;21962;22392;24170;27686;28368;29140;29659,38744;54401;55387;55388;59865;59866;68905;68906;68907;68908;70694;70695;72511;72512;72513;73852,73881;103020;104876;104877;104878;104879;104880;104881;113251;113252;113253;113254;113255;113256;113257;113258;113259;113260;131478;131479;131480;131481;131482;131483;131484;131485;131486;131487;131488;135082;135083;135084;138719;138720;138721;138722;138723;141382,73881;103020;104879;113258;131478;135084;138721;141382,,,,,-1;-1;-1;-1;-1;-1,protein_17,quanti,quanti,quanti,quanti
NDUFS7,0.547731661013756,0.280846602539047,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1,3;3;3;3;3,3;3;3;3;3,3;3;3;3;3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial","sp|O75251|NDUS7_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS7 PE=1 SV=3;tr|F5H5N1|F5H5N1_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens OX=9606 GN=ND",5,3,3,3,1,1,1,2,1,1,1,2,1,1,1,2,16.0,16.0,16.0,23.563,213,213;182;214;214;236,0.0,4.4277,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.61655,1.509,25.396,5,2,Median,0.57883,0.59369,1.0343,0.70497,1.3537,1.2412,2.3342,1.6671,,,,14.093,1,1,1,2,0,0,1,1,Median,Median,Median,Median,5.2,5.2,4.2,10.8,280330000,153970000,126360000,14775000,8271000,6504300,17203000,9797200,7405800,92123000,47961000,44162000,156220000,87937000,68288000,,,,19,12984;19431;26750,True;True;True,14891;22050;30233,37123;37124;54597;75244;75245,70836;70837;70838;103340;143977;143978,70836;103340;143978,,,,,-1;-1;-1;-1;-1,protein_20,quanti,quanti,quanti,quanti
KHSRP,-0.316339175137362,0.153996848364633,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3;M0R251;M0QYG1;M0R263;M0R0C6,Q92945;A0A087WTP3;M0R0I5,23;23;13;10;5;4;2;2;2;2,18;18;10;7;4;2;0;0;0;0,18;18;10;7;4;2;0;0;0;0,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,10,23,18,18,12,13,17,20,10,12,14,16,10,12,14,16,39.8,35.0,35.0,73.114,711,711;711;279;169;116;269;79;114;143;176,0.0,129.74,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.49425,1.3262,11.996,55,9,Leave out requantified,0.39889,0.4807,0.53285,0.51659,1.412,1.338,1.4071,1.392,14.577,13.055,15.233,12.563,10,12,15,18,1,1,3,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,35.0,36.8,10932000000,7156800000,3774700000,976380000,671810000,304580000,1158500000,772440000,386020000,4504100000,2933700000,1570500000,4292500000,2778900000,1513600000,,,,21,909;910;968;1180;2918;2919;3218;7311;7312;7313;7328;9211;9389;9842;9845;10090;11990;16842;17071;22133;23409;25582;25612,False;False;True;True;False;False;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True,1001;1002;1003;1063;1311;3302;3303;3617;8156;8157;8158;8176;10386;10595;11083;11086;11355;13645;19178;19449;25030;26438;28935;28969,2532;2533;2534;2535;2536;2537;2538;2697;3394;3395;3396;3397;3398;8593;8594;8595;9354;9355;20163;20164;20165;20166;20167;20212;20213;25901;25902;25903;25904;26403;26404;27579;27580;27581;27582;27583;27587;27588;27589;27590;28295;28296;28297;28298;33967;33968;47660;47661;47662;47663;48311;48312;48313;48314;62071;62072;62073;62074;65690;65691;65692;65693;72074;72075;72136;72137;72138,4856;4857;4858;4859;4860;4861;4862;4863;4864;4865;4866;4867;4868;4869;4870;4871;4872;4873;5174;6669;6670;6671;6672;6673;6674;6675;6676;16827;16828;16829;18137;18138;18139;38679;38680;38681;38682;38683;38770;38771;38772;38773;49784;49785;49786;49787;49788;49789;49790;49791;49792;49793;49794;49795;49796;49797;50709;50710;50711;50712;50713;50714;52926;52927;52928;52929;52930;52931;52936;52937;52938;52939;52940;52941;52942;52943;52944;52945;54376;54377;54378;54379;54380;54381;54382;65071;65072;65073;65074;90523;90524;90525;90526;90527;90528;90529;90530;91682;91683;91684;91685;91686;91687;91688;91689;91690;91691;91692;117538;117539;117540;117541;117542;117543;117544;117545;117546;124951;124952;124953;124954;124955;124956;124957;124958;124959;124960;124961;124962;137953;137954;137955;137956;137957;137958;138052;138053;138054;138055;138056,4857;4859;5174;6676;16827;16829;18137;38679;38681;38682;38772;49797;50714;52930;52942;54382;65074;90528;91688;117538;124960;137956;138055,11;12;13,,251;257;266,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_22,quanti,quanti,quanti,quanti
