CRBN_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
Gene_names,logFC (CRBN_vs_zBirA),P_Value (CRBN_vs_zBirA),isDifferential (CRBN_vs_zBirA),Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Gene_names,Fasta_headers,Peptides,Unique_peptides,Sequence_coverage____,Sequence_length
SERPINB6,-0.5887016567,0.00539834553665816,0,A0A024QZX5;A0A087X1N8;P35237;A0A2R8Y6A7;A0A2R8YD12,A0A024QZX5;A0A087X1N8;P35237;A0A2R8Y6A7;A0A2R8YD12,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,Serpin B6,SERPINB6,tr|A0A024QZX5|A0A024QZX5_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;tr|A0A087X1N8|A0A087X1N8_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1;sp|P35237|SPB6_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=3;tr|A0,2,2,8.9,380
HDLBP,-0.4276892916,0.0238385795671386,0,Q00341;A0A024R4E5;H0Y394;H7C0A4;C9JIZ1;C9J5E5;C9JZI8;C9JK79;C9JES8;C9JHZ8;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;H7BZC3;H7C2D1;C9JHS9,Q00341;A0A024R4E5;H0Y394,11;11;8;5;5;4;4;3;3;3;3;3;2;2;2;2;2;1;1;1;1,11;11;8;5;5;4;4;3;3;3;3;3;2;2;2;2;2;1;1;1;1,11;11;8;5;5;4;4;3;3;3;3;3;2;2;2;2;2;1;1;1;1,Vigilin,HDLBP,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|H0Y394|H0Y394_HUMAN Vigilin (Fragment) O",11,11,13.5,1268
PSMA2,-0.1326899575,0.302926093916402,0,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52;C9JCK5,13;13;7;3;1,13;13;7;3;1,13;13;7;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,PSMA2,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1;tr|C9JCK5|C9JCK5_HUMAN Proteasome endopeptidase complex ,13,13,56.8,234
BAG6;BAT3,0.2219260758,0.201321645822515,0,P46379;A0A0G2JK23;A0A024RCR6;A0A0G2JL47;A0A0G2JJM1;X6REW1;F6S6P2;F6X9W3;F6U341;F6VEM6;F6UR09;F6WML8;A0A1B0GX79;A0A0G2JJR8;F6XTU0;F6U1F2;H0Y710;H0Y4L1,P46379;A0A0G2JK23;A0A024RCR6;A0A0G2JL47;A0A0G2JJM1;X6REW1;F6S6P2,7;7;7;7;4;4;4;2;2;2;2;2;2;2;2;2;1;1,7;7;7;7;4;4;4;2;2;2;2;2;2;2;2;2;1;1,7;7;7;7;4;4;4;2;2;2;2;2;2;2;2;2;1;1,Large proline-rich protein BAG6,BAG6;BAT3,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JK23|A0A0G2JK23_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,7,7,8.7,1132
TAF15,-0.0690946275,0.631990999001991,0,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,7;7;1,4;4;1,4;4;1,TATA-binding protein-associated factor 2N,TAF15,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,7,4,17.7,592
TXNRD1,0.3469309714,0.123308771079959,0,Q16881;A0A087WSY9;A0A087WSW9;A0A182DWI3;E9PIR7;F8W809;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A087WSW9;A0A182DWI3;E9PIR7;F8W809;E2QRB9;E9PKD3,19;19;19;18;18;18;15;11;6;6;4;4;3;1;1;1;1;1;1;1;1,19;19;19;18;18;18;15;11;6;6;4;4;3;1;1;1;1;1;1;1;1,19;19;19;18;18;18;15;11;6;6;4;4;3;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,"sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A087WSW9|A0A087WSW9_HUMAN Thioredoxi",19,19,41.6,649
HMOX2,0.000462064,0.997387716579193,0,P30519;A0A087WT44;I3L159;I3L1F5;I3L4P8;A0A1B0GXH0;I3L463;I3L276;I3L1Y2,P30519;A0A087WT44;I3L159;I3L1F5;I3L4P8;A0A1B0GXH0;I3L463,12;12;10;10;6;6;6;5;3,12;12;10;10;6;6;6;5;3,12;12;10;10;6;6;6;5;3,Heme oxygenase 2,HMOX2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|A0A087WT44|A0A087WT44_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2,12,12,56,316
EIF2B4,-0.9885566872,0.137184081340407,0,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9,8;8;8;3;3;1,8;8;8;3;3;1,8;8;8;3;3;1,Translation initiation factor eIF-2B subunit delta,EIF2B4,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,8,8,25.4,523
