Gene_names,WDR26_vs_BirA_logFC,WDR26_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_Bira_alone_N1,Peptides_Bira_alone_N2,Peptides_WDR26_N1,Peptides_WDR26_N2,Razor___unique_peptides_Bira_alone_N1,Razor___unique_peptides_Bira_alone_N2,Razor___unique_peptides_WDR26_N1,Razor___unique_peptides_WDR26_N2,Unique_peptides_Bira_alone_N1,Unique_peptides_Bira_alone_N2,Unique_peptides_WDR26_N1,Unique_peptides_WDR26_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_Bira_alone_N1,Identification_type_Bira_alone_N2,Identification_type_WDR26_N1,Identification_type_WDR26_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_Bira_alone_N1,Ratio_H_L_Bira_alone_N2,Ratio_H_L_WDR26_N1,Ratio_H_L_WDR26_N2,Ratio_H_L_normalized_Bira_alone_N1,Ratio_H_L_normalized_Bira_alone_N2,Ratio_H_L_normalized_WDR26_N1,Ratio_H_L_normalized_WDR26_N2,Ratio_H_L_variability_____Bira_alone_N1,Ratio_H_L_variability_____Bira_alone_N2,Ratio_H_L_variability_____WDR26_N1,Ratio_H_L_variability_____WDR26_N2,Ratio_H_L_count_Bira_alone_N1,Ratio_H_L_count_Bira_alone_N2,Ratio_H_L_count_WDR26_N1,Ratio_H_L_count_WDR26_N2,Ratio_H_L_iso_count_Bira_alone_N1,Ratio_H_L_iso_count_Bira_alone_N2,Ratio_H_L_iso_count_WDR26_N1,Ratio_H_L_iso_count_WDR26_N2,Ratio_H_L_type_Bira_alone_N1,Ratio_H_L_type_Bira_alone_N2,Ratio_H_L_type_WDR26_N1,Ratio_H_L_type_WDR26_N2,Sequence_coverage_Bira_alone_N1____,Sequence_coverage_Bira_alone_N2____,Sequence_coverage_WDR26_N1____,Sequence_coverage_WDR26_N2____,Intensity,Intensity_L,Intensity_H,Intensity_Bira_alone_N1,Intensity_L_Bira_alone_N1,Intensity_H_Bira_alone_N1,Intensity_Bira_alone_N2,Intensity_L_Bira_alone_N2,Intensity_H_Bira_alone_N2,Intensity_WDR26_N1,Intensity_L_WDR26_N1,Intensity_H_WDR26_N1,Intensity_WDR26_N2,Intensity_L_WDR26_N2,Intensity_H_WDR26_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_WDR26_N1,metacell_Intensity_L_WDR26_N2,metacell_Intensity_L_Bira_alone_N1,metacell_Intensity_L_Bira_alone_N2
CDK1;CDC2,-1.70336026452059,0.00332493438106627,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6;Q00526;K7ELV5;E7ESI2;G3V317,P06493;A0A024QZP7;A0A087WZZ9;E5RIU6,13;13;9;8;2;2;2;1,13;13;9;8;2;2;2;1,11;11;7;6;0;0;0;0,Cyclin-dependent kinase 1,"sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=3;tr|A0A024QZP7|A0A024QZP7_HUMAN Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a OS=Homo sapiens OX=9606 GN=CDK1 PE=1 SV=1;tr|A0A087WZZ9|A0A087WZZ9_HUMAN Cycli",8,13,13,11,11,11,4,7,11,11,4,7,9,9,3,5,48.5,48.5,45.8,34.095,297,297;297;224;189;305;164;238;39,0.0,18.05,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.67146,2.0328,19.547,37,9,Leave out requantified,0.64048,0.73456,0.5987,0.66246,2.3004,2.0284,1.551,1.8063,24.043,11.96,22.185,11.79,12,12,5,8,1,1,3,4,Leave out requantified,Leave out requantified,Median,Leave out requantified,38.7,38.7,13.5,28.3,2041200000,1189400000,851750000,592900000,339920000,252980000,707270000,409400000,297870000,262670000,159830000,102830000,478340000,280270000,198070000,,,,0,594;1320;7514;7515;8314;9268;9513;12319;12405;12406;12549;12876;16144,True;True;True;True;True;True;True;True;True;True;True;True;True,671;1542;8933;8934;9883;11040;11356;14632;14734;14735;14889;15259;19020,1600;1601;1602;1603;3799;3800;3801;21455;21456;21457;21458;21459;23896;23897;26638;27454;27455;27456;27457;27458;27459;27460;27461;27462;35380;35607;35608;35609;35610;36006;36007;36843;36844;36845;45837;45838;45839;45840;45841;45842;45843,3060;3061;3062;3063;3064;7295;7296;7297;41575;41576;41577;41578;41579;41580;41581;41582;41583;41584;41585;46366;46367;46368;46369;51473;51474;52885;52886;52887;52888;52889;52890;52891;52892;52893;52894;52895;52896;52897;52898;52899;52900;52901;68044;68045;68512;68513;68514;68515;68516;68517;68518;68519;69207;69208;69209;69210;69211;69212;70770;70771;70772;70773;70774;70775;70776;87509;87510;87511;87512;87513;87514;87515;87516;87517;87518,3061;7295;41575;41583;46367;51474;52889;68044;68514;68517;69209;70775;87510,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_1,quanti,quanti,quanti,quanti
HDLBP,-0.00185728139079089,0.994601395366871,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H0Y394;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,Q00341;A0A024R4E5;C9JIZ1;C9JHZ8;H0Y394;H7C0A4;C9J5E5;C9JZI8;C9JES8;C9JK79;C9JHS7;C9JT62,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,6;6;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;1;1,Vigilin,"sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1;tr|C9JIZ1|C9JIZ1_HUMAN Vigilin (Fragment) O",19,6,6,6,3,4,3,4,3,4,3,4,3,4,3,4,6.2,6.2,6.2,141.45,1268,1268;1268;224;141;973;332;221;164;147;128;126;96;81;79;69;53;46;19;17,0.0,9.8206,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.88343,2.167,40.139,14,2,Leave out requantified,0.70857,0.98858,1.0399,0.73962,2.2744,2.547,2.7067,1.8806,35.092,19.513,4.0392,36.573,3,4,3,4,0,1,1,0,Leave out requantified,Leave out requantified,Plateau,Leave out requantified,2.8,4.0,3.3,4.5,502330000,275370000,226960000,82838000,47807000,35031000,103830000,48663000,55162000,144750000,80535000,64218000,170910000,98361000,72551000,,,,2,603;1911;2073;12071;15514;16411,True;True;True;True;True;True,682;2233;2415;14341;18287;19314,1627;5611;6070;6071;6072;34653;34654;34655;34656;43941;43942;46582;46583;46584;46585,3123;3124;3125;11028;11029;11030;11933;66553;66554;66555;66556;83848;88818;88819;88820;88821;88822;88823;88824,3123;11030;11933;66553;83848;88819,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_3,quanti,quanti,quanti,quanti
PSMA2,-1.82630536440411,0.00352526721205555,P25787;A0A024RA52;C9JCK5;H3BT36;H7C402,P25787;A0A024RA52,9;9;4;3;1,9;9;4;3;1,9;9;4;3;1,Proteasome subunit alpha type-2;Proteasome subunit alpha type,sp|P25787|PSA2_HUMAN Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2;tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1,5,9,9,9,8,8,4,5,8,8,4,5,8,8,4,5,41.9,41.9,41.9,25.898,234,234;234;164;48;36,0.0,17.061,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35136,0.99417,23.221,25,1,Leave out requantified,0.2832,0.35815,0.32989,0.53527,0.91895,0.99766,0.90581,1.4363,20.977,11.69,32.276,43.521,8,8,3,6,1,0,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,41.5,41.5,27.4,27.4,2045100000,1271500000,773630000,483000000,371200000,111810000,617120000,451360000,165760000,213460000,154400000,59059000,731570000,294560000,437010000,,,,3,526;1914;6724;6863;9106;11961;12177;14928;15655,True;True;True;True;True;True;True;True;True,598;2236;7968;7969;8145;8146;10840;14219;14469;17610;18450,1429;1430;5616;5617;19116;19117;19118;19119;19120;19562;19563;19564;19565;26196;26197;26198;34324;34325;34326;34327;34973;34974;34975;42334;44365;44366,2741;2742;11035;37015;37016;37017;37018;37019;37020;37021;37022;37023;37024;37025;37026;37926;37927;37928;37929;37930;37931;37932;37933;37934;37935;37936;50753;65965;67239;67240;67241;67242;67243;67244;67245;67246;67247;80909;84685;84686;84687;84688,2741;11035;37021;37929;50753;65965;67246;80909;84687,,,,,-1;-1;-1;-1;-1,protein_4,quanti,quanti,quanti,quanti
BAG6;BAT3,1.05634952663257,0.072781812325587,P46379;A0A0G2JK23;A0A024RCR6;A0A0G2JL47;A0A0G2JJM1;X6REW1;F6S6P2;F6UR09;F6U341;F6TC96;F6VEM6;F6WML8;A0A1B0GX79;A0A0G2JJR8;F6XTU0;F6U1F2;F6X9W3,P46379;A0A0G2JK23;A0A024RCR6;A0A0G2JL47;A0A0G2JJM1;X6REW1;F6S6P2,3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1,3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1,3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1,Large proline-rich protein BAG6,sp|P46379|BAG6_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=2;tr|A0A0G2JK23|A0A0G2JK23_HUMAN Large proline-rich protein BAG6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1;tr|A0A024RCR6|A0A024RCR6_HUMAN BAG6 OS=Homo sapiens OX=9,17,3,3,3,1,2,2,3,1,2,2,3,1,2,2,3,2.7,2.7,2.7,119.41,1132,1132;1132;1126;1077;742;742;515;197;262;158;258;244;243;232;215;206;259,0.0,8.6266,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.63285,1.4976,10.78,9,3,Leave out requantified,0.46795,0.62493,0.63861,0.7003,1.1676,1.3341,1.4976,1.8077,,9.0673,10.78,18.37,1,2,2,4,0,0,0,3,Median,Median,Median,Median,1.1,2.0,2.0,2.7,268800000,158270000,110530000,16787000,10550000,6236800,38951000,21741000,17210000,60379000,38879000,21500000,152680000,87104000,65580000,,,,4,10551;10888;19103,True;True;True,12554;12978;22457,30342;30343;30344;31397;31398;31399;31400;31401;54465,58506;58507;60495;60496;60497;60498;60499;60500;60501;60502;60503;60504;104922,58507;60497;104922,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_5,quanti,quanti,quanti,quanti
TAF15,1.06767966257068,0.0256619314378377,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,4;4;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,3,4,2,2,1,1,4,2,1,1,2,2,1,1,2,2,8.3,5.9,5.9,61.829,592,592;449;214,0.0,28.654,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.41278,1.188,1.9282,11,3,Leave out requantified,0.31464,0.44007,0.39518,0.3709,1.1343,1.3016,1.0533,1.0488,,2.5173,15.062,10.497,1,2,4,4,0,0,1,2,Median,Median,Median,Median,2.9,2.9,8.3,5.9,1616800000,1183900000,432920000,115510000,87691000,27820000,244970000,161260000,83710000,522450000,387220000,135230000,733890000,547730000,186160000,,,,11,117;118;5420;15470,False;True;False;True,127;128;6336;18239,292;293;294;295;296;297;298;299;15106;43817;43818;43819;43820,579;580;581;582;583;584;585;586;587;588;589;590;591;592;29337;29338;83655;83656;83657;83658;83659,580;589;29337;83659,,,,,-1;-1;-1,protein_12,quanti,quanti,quanti,quanti
TXNRD1,-1.20893292952031,0.0107659332084865,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E9PIR7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PLT3;E9PKI4;E9PQI3;D3YTF8;A0A182DWF3;E9PRI8;A0A182DWF2;Q9NNW7;E7EWK1;A0A096LPD9;A0A096LPK7,Q16881;A0A087WSY9;A0A182DWI3;A0A087WSW9;F8W809;E9PIR7;E2QRB9;E9PKD3,17;17;17;17;17;16;15;9;4;4;3;3;2;1;1;1;1;1;1;1;1,17;17;17;17;17;16;15;9;4;4;3;3;2;1;1;1;1;1;1;1;1,17;17;17;17;17;16;15;9;4;4;3;3;2;1;1;1;1;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic","sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|A0A087WSY9|A0A087WSY9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=2;tr|A0A182DWI3|A0A182DWI3_HUMAN Thioredoxi",21,17,17,17,10,16,9,10,10,16,9,10,10,16,9,10,37.8,37.8,37.8,70.905,649,649;648;568;548;498;482;460;175;103;139;70;72;53;501;523;44;494;524;338;306;463,0.0,37.311,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29713,0.79898,64.479,52,15,Leave out requantified,0.20536,0.31134,0.35454,0.32695,0.72991,0.87662,0.87612,0.92216,22.836,18.504,86.253,12.366,12,18,11,11,3,7,2,3,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,17.4,34.2,23.6,24.0,3840400000,2857600000,982760000,894700000,733610000,161090000,1149300000,831230000,318120000,686480000,478290000,208190000,1109800000,814480000,295370000,,,,12,3723;4725;5472;7560;9173;9412;9437;12746;14385;14386;14495;19258;19739;19783;19915;20070;20645,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,4375;5518;6402;8986;10928;11230;11263;11264;15105;16970;16971;17098;22638;23186;23249;23407;23576;24227,10579;10580;13145;13146;13147;13148;13149;13150;15254;21582;21583;26414;26415;26416;27125;27207;27208;27209;27210;27211;27212;27213;36509;36510;36511;36512;40894;40895;40896;40897;40898;40899;41169;54884;54885;54886;54887;54888;54889;56200;56384;56385;56386;56387;56769;56770;56771;57141;57142;57143;57144;58671;58672,20612;20613;20614;25457;25458;25459;25460;25461;25462;25463;25464;25465;29622;41847;41848;51122;51123;52292;52410;52411;52412;52413;52414;52415;52416;52417;52418;52419;52420;70192;70193;70194;70195;70196;78461;78462;78463;78464;78465;78466;78467;78468;78469;78470;78919;105748;105749;105750;105751;105752;105753;105754;105755;105756;105757;105758;108382;108765;108766;108767;108768;108769;108770;108771;108772;108773;109544;109545;109546;109547;109548;109549;109550;110224;110225;110226;110227;110228;110229;110230;110231;110232;110233;110234;110235;110236;110237;112938;112939;112940,20612;25459;29622;41848;51122;52292;52412;70196;78468;78469;78919;105750;108382;108765;109548;110236;112940,4,,274,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_13,quanti,quanti,quanti,quanti
HMOX2,1.33496223661821,0.0517142268071984,P30519;I3L159;I3L1F5;A0A087WT44;I3L4P8;A0A1B0GXH0;I3L463;I3L276;I3L1Y2,P30519;I3L159;I3L1F5;A0A087WT44,7;7;7;7;3;3;3;2;1,7;7;7;7;3;3;3;2;1,7;7;7;7;3;3;3;2;1,Heme oxygenase 2,sp|P30519|HMOX2_HUMAN Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2;tr|I3L159|I3L159_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1;tr|I3L1F5|I3L1F5_HUMAN Heme oxygenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=HM,9,7,7,7,2,5,6,4,2,5,6,4,2,5,6,4,35.1,35.1,35.1,36.032,316,316;229;238;370;130;131;132;110;110,0.0,8.9237,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.42683,1.0139,27.351,18,3,Leave out requantified,0.40632,0.43853,0.50421,0.42324,1.2155,0.98132,1.3106,1.1685,35.561,23.688,9.8362,76.49,2,5,6,5,0,1,2,0,Median,Leave out requantified,Leave out requantified,Leave out requantified,14.2,28.5,27.8,19.9,1212000000,772500000,439470000,54541000,40610000,13931000,153820000,109690000,44131000,503540000,313980000,189560000,500060000,308220000,191840000,,,,14,506;1357;3443;7642;12375;12961;20747,True;True;True;True;True;True;True,578;1586;4043;9080;9081;14696;15352;24344,1384;3924;3925;3926;3927;9835;21829;21830;21831;21832;21833;35517;35518;37063;37064;37065;58949;58950,2681;7546;7547;19197;42330;42331;42332;42333;42334;42335;42336;42337;42338;42339;42340;42341;42342;42343;42344;42345;42346;42347;42348;42349;42350;68319;68320;71134;71135;71136;113488;113489,2681;7546;19197;42342;68320;71136;113488,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_15,quanti,quanti,quanti,quanti
EIF2B4,-0.521735646715975,0.451448465865986,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,Q9UI10;A0A087WTA5;E7ERK9;H7C2L8;A0A087WW69;F8W8L6,2;2;2;1;1;1,2;2;2;1;1;1,2;2;2;1;1;1,Translation initiation factor eIF-2B subunit delta,sp|Q9UI10|EI2BD_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=2;tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1;tr|E7ERK9|E7E,6,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,4.4,4.4,4.4,57.557,523,523;520;544;194;228;235,0.0,7.6698,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48984,1.2763,15.948,6,1,Leave out requantified,1.1583,0.43715,0.48046,0.49498,3.831,1.107,1.1122,1.2923,166.4,,,14.19,2,1,1,2,1,0,0,0,Median,Median,Median,Median,4.4,2.1,2.1,4.4,242090000,146290000,95798000,75850000,34652000,41198000,32800000,23465000,9334600,31145000,19656000,11489000,102290000,68513000,33777000,,,,15,18589;19564,True;True,21807;22984,52787;52788;52789;52790;55694;55695,101529;101530;101531;101532;101533;101534;101535;101536;101537;107319;107320,101536;107319,,,,,-1;-1;-1;-1;-1;-1,protein_16,quanti,quanti,quanti,quanti
KHSRP,-0.381000500952943,0.23757016872352,Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0R3J3,Q92945;A0A087WTP3;M0R0I5,20;20;13;8;5;2,18;18;11;6;4;2,18;18;11;6;4;2,Far upstream element-binding protein 2,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,6,20,18,18,12,13,14,14,10,12,14,13,10,12,14,13,35.9,33.3,33.3,73.114,711,711;711;279;169;116;269,0.0,68.301,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.49252,1.3509,16.04,49,4,Leave out requantified,0.39889,0.4807,0.53087,0.56435,1.412,1.338,1.4109,1.4784,14.577,13.055,20.989,34.119,10,12,14,13,1,1,0,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.2,26.4,25.6,28.1,5298800000,3488500000,1810300000,976380000,671810000,304580000,1158500000,772440000,386020000,1583000000,1014300000,568660000,1581000000,1029900000,551030000,,,,19,793;794;1031;2710;3176;4019;5601;5602;7047;7175;7526;7530;7692;7727;9109;12766;12945;16637;17666;19417,False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,906;907;908;1187;3165;3733;4707;6574;6575;8395;8560;8947;8951;9137;9178;10843;15126;15333;19567;20748;22816,2186;2187;2188;2189;2190;2191;2915;2916;2917;2918;7866;7867;7868;9174;11253;15742;15743;15744;20186;20187;20188;20189;20582;20583;21486;21487;21488;21489;21493;21494;21495;21496;21977;21978;22078;22079;22080;22081;26203;36549;36550;36551;36552;37026;37027;37028;37029;47222;47223;50089;50090;50091;50092;55319;55320,4187;4188;4189;4190;4191;4192;4193;4194;4195;4196;4197;4198;4199;4200;4201;4202;4203;4204;5640;5641;5642;5643;5644;5645;5646;15353;15354;15355;15356;15357;17975;21818;30679;30680;30681;39229;39230;39231;39232;39233;39234;39235;39236;39237;39238;39239;39944;39945;39946;41640;41641;41642;41643;41644;41645;41646;41647;41651;41652;41653;41654;41655;41656;41657;41658;41659;41660;41661;42625;42626;42627;42628;42629;42630;42862;42863;42864;42865;42866;42867;42868;42869;50758;50759;50760;70259;70260;70261;70262;70263;70264;70265;70266;70267;70268;70269;70270;70271;70272;70273;70274;71075;71076;71077;71078;71079;71080;71081;71082;71083;71084;71085;71086;90080;90081;90082;90083;90084;95890;95891;95892;95893;95894;95895;95896;95897;95898;95899;95900;106682;106683;106684,4187;4197;5640;15356;17975;21818;30680;30681;39238;39944;41644;41661;42626;42867;50758;70267;71079;90083;95898;106683,6,,251,,-1;-1;-1;-1;-1;-1,protein_20,quanti,quanti,quanti,quanti
HNRNPDL,1.66101274882285,0.0442583409221958,A0A087WU03,A0A087WU03,2,2,2,,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,40.4,40.4,40.4,6.7215,57,57,0.00093721,1.9084,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31343,0.78896,32.991,9,0,Leave out requantified,0.33858,0.32527,0.34257,0.27202,1.0106,0.70866,0.93522,0.6248,,46.15,9.7948,11.941,1,2,3,3,0,0,0,0,Median,Median,Median,Median,40.4,40.4,40.4,40.4,488640000,361570000,127060000,27175000,19945000,7229600,44137000,31308000,12829000,282420000,207660000,74758000,134900000,102660000,32248000,,,,23,12544;12545,True;True,14883;14884,35983;35984;35985;35986;35987;35988;35989;35990;35991,69161;69162;69163;69164;69165;69166;69167;69168;69169;69170;69171;69172;69173;69174;69175;69176;69177;69178;69179,69164;69170,,,,,-1,protein_24,quanti,quanti,quanti,quanti
