Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity FBXW8-N1,Intensity FBXW8-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q9NRN7,Q9NRN7,2,2,2,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT,sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2,2,2,5.2,4.08688509245965,4.17955488494526,23.2945994360307,24.397412467283
Q86UK0,Q86UK0,2,2,2,ATP-binding cassette sub-family A member 12,ABCA12,sp|Q86UK0|ABCAC_HUMAN ATP-binding cassette sub-family A member 12 OS=Homo sapiens OX=9606 GN=ABCA12 PE=1 SV=3,2,2,0.7,4.08688509245965,4.17955488494526,24.1592326418786,23.833956556474
P21439;P08183;H7C0M2,P21439;P08183;H7C0M2,2;1;1,2;1;1,2;1;1,Multidrug resistance protein 3;Multidrug resistance protein 1,ABCB4;ABCB1,sp|P21439|MDR3_HUMAN Phosphatidylcholine translocator ABCB4 OS=Homo sapiens OX=9606 GN=ABCB4 PE=1 SV=2;sp|P08183|MDR1_HUMAN ATP-dependent translocase ABCB1 OS=Homo sapiens OX=9606 GN=ABCB1 PE=1 SV=3;tr|H7C0M2|H7C0M2_HUMAN Phosphatidylcholine translocator A,2,2,2.0,4.08688509245965,4.17955488494526,25.4010964315382,25.3548105652978
Q8WU67;J3KTE1,Q8WU67;J3KTE1,2;2,2;2,2;2,Phospholipase ABHD3,ABHD3,sp|Q8WU67|ABHD3_HUMAN Phospholipase ABHD3 OS=Homo sapiens OX=9606 GN=ABHD3 PE=2 SV=2;tr|J3KTE1|J3KTE1_HUMAN Phospholipase ABHD3 OS=Homo sapiens OX=9606 GN=ABHD3 PE=1 SV=1,2,2,3.2,4.08688509245965,4.17955488494526,24.2444355498821,23.5453359374686
Q86TX2;G3V4F2,Q86TX2;G3V4F2,18;16,18;16,2;1,Acyl-coenzyme A thioesterase 1,ACOT1,sp|Q86TX2|ACOT1_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1;tr|G3V4F2|G3V4F2_HUMAN Acyl-coenzyme A thioesterase 1 OS=Homo sapiens OX=9606 GN=ACOT1 PE=1 SV=1,18,2,58.7,27.1150550837836,27.7773722155401,30.652154860577,30.463339894737
P55265,P55265,29,29,2,Double-stranded RNA-specific adenosine deaminase,ADAR,sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,29,2,32.1,4.08688509245965,4.17955488494526,30.2405901012697,29.9350864814328
O43865;H0Y8B3,O43865;H0Y8B3,6;4,6;4,2;0,Putative adenosylhomocysteinase 2;Adenosylhomocysteinase,AHCYL1;AHCYL2,sp|O43865|SAHH2_HUMAN S-adenosylhomocysteine hydrolase-like protein 1 OS=Homo sapiens OX=9606 GN=AHCYL1 PE=1 SV=2;tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1,6,2,12.1,4.08688509245965,4.17955488494526,26.6035695268123,26.3900490072837
H7C0V5,H7C0V5,6,2,2,,ANKHD1-EIF4EBP3,tr|H7C0V5|H7C0V5_HUMAN ANKHD1-EIF4EBP3 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=ANKHD1-EIF4EBP3 PE=4 SV=1,6,2,18.6,21.4129964793311,21.5242049979308,22.7074829937707,24.4367608419954
Q8NF67,Q8NF67,2,2,2,Putative ankyrin repeat domain-containing protein 20A12 pseudogene,ANKRD20A12P,sp|Q8NF67|A2012_HUMAN Putative ankyrin repeat domain-containing protein 20A12 pseudogene OS=Homo sapiens OX=9606 GN=ANKRD20A12P PE=5 SV=3,2,2,5.3,4.08688509245965,4.17955488494526,26.3755895383239,24.2324244405929
Q6AI12,Q6AI12,2,2,2,Ankyrin repeat domain-containing protein 40,ANKRD40,sp|Q6AI12|ANR40_HUMAN Ankyrin repeat domain-containing protein 40 OS=Homo sapiens OX=9606 GN=ANKRD40 PE=1 SV=2,2,2,4.9,4.08688509245965,4.17955488494526,23.4332624725697,23.1417801626986
A0A590UKC4;Q13367;A0A590UJW5;A0A590UKD3;A0A590UJU0;A0A590UJ60;A0A590UK04;A0A5F9UJV3;A0A2R8Y2A8;A0A590UJU7,A0A590UKC4;Q13367;A0A590UJW5;A0A590UKD3;A0A590UJU0;A0A590UJ60;A0A590UK04;A0A5F9UJV3;A0A2R8Y2A8;A0A590UJU7,4;3;3;3;3;3;3;3;3;2,2;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1,AP-3 complex subunit beta-2,AP3B2,tr|A0A590UKC4|A0A590UKC4_HUMAN AP-3 complex subunit beta OS=Homo sapiens OX=9606 GN=AP3B2 PE=1 SV=1;sp|Q13367|AP3B2_HUMAN AP-3 complex subunit beta-2 OS=Homo sapiens OX=9606 GN=AP3B2 PE=1 SV=2;tr|A0A590UJW5|A0A590UJW5_HUMAN AP complex subunit beta OS=Homo,4,2,6.5,4.08688509245965,4.17955488494526,25.7567395136028,25.4605148901572
P53365;A0A087X1E4,P53365;A0A087X1E4,2;2,2;2,2;2,Arfaptin-2,ARFIP2,sp|P53365|ARFP2_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1;tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,2,2,4.1,4.08688509245965,4.17955488494526,23.3003369184145,21.8010452032896
P05089;A0A5F9ZGN6,P05089;A0A5F9ZGN6,2;2,2;2,2;2,Arginase-1,ARG1,sp|P05089|ARGI1_HUMAN Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=2;tr|A0A5F9ZGN6|A0A5F9ZGN6_HUMAN Arginase OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=1,2,2,9.0,24.7201498843343,26.7042032478849,4.53773594237288,4.43907541479704
